skill_id,description,src_path
aegisops-ai,"Autonomous DevSecOps & FinOps Guardrails. Orchestrates Gemini 3 Flash to audit Linux Kernel patches, Terraform cost drifts, and K8s compliance.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/aegisops-ai/SKILL.md
c4-container,Expert C4 Container-level documentation specialist.,lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/c4-container/SKILL.md
docker-expert,"You are an advanced Docker containerization expert with comprehensive, practical knowledge of container optimization, security hardening, multi-stage builds, orchestration patterns, and production deployment strategies based on current industry best practices.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/docker-expert/SKILL.md
docker-patterns,"Docker and Docker Compose patterns for local development, container security, networking, volume strategies, and multi-service orchestration. Use when setting up containerized development environments or reviewing Docker configurations.",lib/affaan-m-everything-claude-code/.kiro/skills/docker-patterns/SKILL.md
gitops-workflow,Complete guide to implementing GitOps workflows with ArgoCD and Flux for automated Kubernetes deployments.,lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/gitops-workflow/SKILL.md
helm-chart-scaffolding,"Comprehensive guidance for creating, organizing, and managing Helm charts for packaging and deploying Kubernetes applications.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/helm-chart-scaffolding/SKILL.md
istio-traffic-management,Comprehensive guide to Istio traffic management for production service mesh deployments.,lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/istio-traffic-management/SKILL.md
k8s-manifest-generator,"Step-by-step guidance for creating production-ready Kubernetes manifests including Deployments, Services, ConfigMaps, Secrets, and PersistentVolumeClaims.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/k8s-manifest-generator/SKILL.md
k8s-security-policies,"Comprehensive guide for implementing NetworkPolicy, PodSecurityPolicy, RBAC, and Pod Security Standards in Kubernetes.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/k8s-security-policies/SKILL.md
kubernetes-architect,"Expert Kubernetes architect specializing in cloud-native infrastructure, advanced GitOps workflows (ArgoCD/Flux), and enterprise container orchestration.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/kubernetes-architect/SKILL.md
kubernetes-deployment,"Kubernetes deployment workflow for container orchestration, Helm charts, service mesh, and production-ready K8s configurations.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/kubernetes-deployment/SKILL.md
linkerd-patterns,"Production patterns for Linkerd service mesh - the lightweight, security-first service mesh for Kubernetes.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/linkerd-patterns/SKILL.md
mcp:setup-arxiv-mcp,Guide for setup arXiv paper search MCP server using Docker MCP,lib/neolabhq-context-engineering-kit/plugins/mcp/skills/setup-arxiv-mcp/SKILL.md
nemo-evaluator-sdk,"Evaluates LLMs across 100+ benchmarks from 18+ harnesses (MMLU, HumanEval, GSM8K, safety, VLM) with multi-backend execution. Use when needing scalable evaluation on local Docker, Slurm HPC, or cloud platforms. NVIDIA's enterprise-grade platform with container-first architecture for reproducible benchmarking.",lib/orchestra-research-ai-research-skills/11-evaluation/nemo-evaluator/SKILL.md
odoo-docker-deployment,"Production-ready Docker and docker-compose setup for Odoo with PostgreSQL, persistent volumes, environment-based configuration, and Nginx reverse proxy.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/odoo-docker-deployment/SKILL.md
service-mesh-expert,"Expert service mesh architect specializing in Istio, Linkerd, and cloud-native networking patterns. Masters traffic management, security policies, observability integration, and multi-cluster mesh con",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/service-mesh-expert/SKILL.md
service-mesh-observability,"Complete guide to observability patterns for Istio, Linkerd, and service mesh deployments.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/service-mesh-observability/SKILL.md
windows-vm,"Create, manage, or connect to a headless Windows 11 VM running in Docker with SSH access. Use when the user wants to spin up, stop, restart, or SSH into a Windows VM.",lib/obra-superpowers-lab/skills/windows-vm/SKILL.md
