skill_id,description,score,phase
analyzing-web-server-logs-for-intrusion,"Parse Apache and Nginx access logs to detect SQL injection attempts, local file inclusion, directory traversal, web scanner fingerprints, and brute-force patterns. Uses regex-based pattern matching against OWASP attack signatures, GeoIP enrichment for source attribution, and statistical anomaly detection for request frequency and response size outliers.",100,4
azure-cosmos-java,"Azure Cosmos DB SDK for Java. NoSQL database operations with global distribution, multi-model support, and reactive patterns.",100,4
azure-cosmos-rust,"Azure Cosmos DB SDK for Rust (NoSQL API). Use for document CRUD, queries, containers, and globally distributed data.",100,4
azure-postgres-ts,Connect to Azure Database for PostgreSQL Flexible Server from Node.js/TypeScript using the pg (node-postgres) package.,100,4
azure-resource-manager-mysql-dotnet,Azure MySQL Flexible Server SDK for .NET. Database management for MySQL Flexible Server deployments.,100,4
azure-resource-manager-postgresql-dotnet,Azure PostgreSQL Flexible Server SDK for .NET. Database management for PostgreSQL Flexible Server deployments.,100,4
azure-resource-manager-sql-dotnet,Azure Resource Manager SDK for Azure SQL in .NET.,100,4
azure-storage,"Azure Storage Services including Blob Storage, File Shares, Queue Storage, Table Storage, and Data Lake. Provides object storage, SMB file shares, async messaging, NoSQL key-value, and big data analytics capabilities. Includes access tiers (hot, cool, archive) and lifecycle management. USE FOR: blob storage, file shares, queue storage, table storage, data lake, upload files, download blobs, storage accounts, access tiers, lifecycle management. DO NOT USE FOR: SQL databases, Cosmos DB (use azure-prepare), messaging with Event Hubs or Service Bus (use azure-messaging).",100,4
cloudflare-d1,"Cloudflare D1 SQLite database with Workers, Drizzle ORM, migrations",100,4
database-migrations-sql-migrations,"SQL database migrations with zero-downtime strategies for PostgreSQL, MySQL, and SQL Server. Focus on data integrity and rollback plans.",100,4
