skill_id,description,src_path
azure-ai-agents-persistent-java,"Azure AI Agents Persistent SDK for Java. Low-level SDK for creating and managing AI agents with threads, messages, runs, and tools. Triggers: ""PersistentAgentsClient"", ""persistent agents java"", ""agent threads java"", ""agent runs java"", ""streaming agents java"".",lib/microsoft-skills/.github/plugins/azure-sdk-java/skills/azure-ai-agents-persistent-java/SKILL.md
azure-ai-anomalydetector-java,"Build anomaly detection applications with Azure AI Anomaly Detector SDK for Java. Use when implementing univariate/multivariate anomaly detection, time-series analysis, or AI-powered monitoring.",lib/microsoft-skills/.github/plugins/azure-sdk-java/skills/azure-ai-anomalydetector-java/SKILL.md
azure-ai-contentsafety-java,"Build content moderation applications with Azure AI Content Safety SDK for Java. Use when implementing text/image analysis, blocklist management, or harm detection for hate, violence, sexual content, and self-harm.",lib/microsoft-skills/.github/plugins/azure-sdk-java/skills/azure-ai-contentsafety-java/SKILL.md
azure-ai-formrecognizer-java,"Build document analysis applications with Azure Document Intelligence (Form Recognizer) SDK for Java. Use when extracting text, tables, key-value pairs from documents, receipts, invoices, or building custom document models.",lib/microsoft-skills/.github/plugins/azure-sdk-java/skills/azure-ai-formrecognizer-java/SKILL.md
azure-ai-projects-java,"Azure AI Projects SDK for Java. High-level SDK for Azure AI Foundry project management including connections, datasets, indexes, and evaluations. Triggers: ""AIProjectClient java"", ""azure ai projects java"", ""Foundry project java"", ""ConnectionsClient"", ""DatasetsClient"", ""IndexesClient"".",lib/microsoft-skills/.github/plugins/azure-sdk-java/skills/azure-ai-projects-java/SKILL.md
azure-ai-vision-imageanalysis-java,"Build image analysis applications with Azure AI Vision SDK for Java. Use when implementing image captioning, OCR text extraction, object detection, tagging, or smart cropping.",lib/microsoft-skills/.github/plugins/azure-sdk-java/skills/azure-ai-vision-imageanalysis-java/SKILL.md
azure-ai-voicelive-java,"Azure AI VoiceLive SDK for Java. Real-time bidirectional voice conversations with AI assistants using WebSocket. Triggers: ""VoiceLiveClient java"", ""voice assistant java"", ""real-time voice java"", ""audio streaming java"", ""voice activity detection java"".",lib/microsoft-skills/.github/plugins/azure-sdk-java/skills/azure-ai-voicelive-java/SKILL.md
azure-appconfiguration-java,"Azure App Configuration SDK for Java. Centralized application configuration management with key-value settings, feature flags, and snapshots. Triggers: ""ConfigurationClient java"", ""app configuration java"", ""feature flag java"", ""configuration setting java"", ""azure config java"".",lib/microsoft-skills/.github/plugins/azure-sdk-java/skills/azure-appconfiguration-java/SKILL.md
azure-communication-callautomation-java,"Build call automation workflows with Azure Communication Services Call Automation Java SDK. Use when implementing IVR systems, call routing, call recording, DTMF recognition, text-to-speech, or AI-powered call flows.",lib/microsoft-skills/.github/plugins/azure-sdk-java/skills/azure-communication-callautomation-java/SKILL.md
azure-communication-callingserver-java,Azure Communication Services CallingServer (legacy) Java SDK. Note - This SDK is deprecated. Use azure-communication-callautomation instead for new projects. Only use this skill when maintaining legacy code.,lib/microsoft-skills/.github/plugins/azure-sdk-java/skills/azure-communication-callingserver-java/SKILL.md
azure-communication-chat-java,"Build real-time chat applications with Azure Communication Services Chat Java SDK. Use when implementing chat threads, messaging, participants, read receipts, typing notifications, or real-time chat features.",lib/microsoft-skills/.github/plugins/azure-sdk-java/skills/azure-communication-chat-java/SKILL.md
azure-communication-common-java,"Azure Communication Services common utilities for Java. Use when working with CommunicationTokenCredential, user identifiers, token refresh, or shared authentication across ACS services.",lib/microsoft-skills/.github/plugins/azure-sdk-java/skills/azure-communication-common-java/SKILL.md
