skill_id,description,score,phase
Resume Bullet Writer,Transform weak resume bullets into achievement-focused statements with metrics and impact,100,4
Resume Quantifier,Find opportunities to add metrics and estimate numbers when exact data unavailable,100,4
ab-test-setup,"Structured guide for setting up A/B tests with mandatory gates for hypothesis, metrics, and execution readiness.",100,5
alphafold-database,"Access AlphaFold 200M+ AI-predicted protein structures. Retrieve structures by UniProt ID, download PDB/mmCIF files, analyze confidence metrics (pLDDT, PAE), for drug discovery and structural biology.",100,4
analytics-tracking,"Design, audit, and improve analytics tracking systems that produce reliable, decision-ready data.",100,4
analyzing-cloud-storage-access-patterns,"Detect abnormal access patterns in AWS S3, GCS, and Azure Blob Storage by analyzing CloudTrail Data Events, GCS audit logs, and Azure Storage Analytics. Identifies after-hours bulk downloads, access from new IP addresses, unusual API calls (GetObject spikes), and potential data exfiltration using statistical baselines and time-series anomaly detection.",100,4
apify-content-analytics,"Track engagement metrics, measure campaign ROI, and analyze content performance across Instagram, Facebook, YouTube, and TikTok.",100,4
app-analytics,"When the user wants to set up, interpret, or improve their app analytics and tracking. Also use when the user mentions ""analytics"", ""tracking"", ""metrics"", ""KPIs"", ""App Store Connect analytics"", ""install tracking"", ""funnel"", ""attribution"", or ""how is my app performing"". For A/B testing, see ab-test-store-listing. For retention metrics, see retention-optimization.",100,4
asc-metrics,"When the user wants to analyze their own app's actual performance data from App Store Connect — real downloads, revenue, IAP, subscriptions, trials, or country breakdowns synced via Appeeky Connect. Use when the user asks about ""my downloads"", ""my revenue"", ""how is my app performing"", ""ASC data"", ""sales and trends"", ""my subscription numbers"", ""App Store Connect metrics"", or wants to compare periods or top markets. For third-party app estimates, see app-analytics. For subscription analytics depth, see monetization-strategy.",100,4
azure-ai-textanalytics-py,"Azure AI Text Analytics SDK for sentiment analysis, entity recognition, key phrases, language detection, PII, and healthcare NLP. Use for natural language processing on text.",100,4
azure-kusto,"Query and analyze data in Azure Data Explorer (Kusto/ADX) using KQL for log analytics, telemetry, and time series analysis. WHEN: KQL queries, Kusto database queries, Azure Data Explorer, ADX clusters, log analytics, time series data, IoT telemetry, anomaly detection.",100,4
azure-monitor-opentelemetry-exporter-java,"Azure Monitor OpenTelemetry Exporter for Java. Export OpenTelemetry traces, metrics, and logs to Azure Monitor/Application Insights.",100,4
azure-monitor-opentelemetry-ts,"Auto-instrument Node.js applications with distributed tracing, metrics, and logs.",100,4
azure-monitor-query-java,Azure Monitor Query SDK for Java. Execute Kusto queries against Log Analytics workspaces and query metrics from Azure resources.,100,4
azure-monitor-query-py,Azure Monitor Query SDK for Python. Use for querying Log Analytics workspaces and Azure Monitor metrics.,100,4
building-soc-metrics-and-kpi-tracking,"Builds SOC performance metrics and KPI tracking dashboards measuring Mean Time to Detect (MTTD), Mean Time to Respond (MTTR), alert quality ratios, analyst productivity, and detection coverage using SIEM data. Use when SOC leadership needs operational visibility, continuous improvement tracking, or executive-level reporting on security operations effectiveness.",100,5
building-vulnerability-dashboard-with-defectdojo,"Deploy DefectDojo as a centralized vulnerability management dashboard with scanner integrations, deduplication, metrics tracking, and Jira ticketing workflows.",100,5
business-analyst,"Master modern business analysis with AI-powered analytics, real-time dashboards, and data-driven insights. Build comprehensive KPI frameworks, predictive models, and strategic recommendations.",100,5
