"id","description","path","triggers","src","primary_hub","assigned_hubs","match_score","is_primary"
"analyzing-docker-container-forensics","Investigate compromised Docker containers by analyzing images, layers, volumes, logs, and runtime artifacts to identify malicious activity and evidence.","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-docker-container-forensics/SKILL.md","analyzing;docker;container;forensics","external:mukul975-Anthropic-Cybersecurity-Skills","devops/docker-k8s","devops/docker-k8s","8","true"
"analyzing-kubernetes-audit-logs",">","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-kubernetes-audit-logs/SKILL.md","analyzing;kubernetes;audit;logs","external:mukul975-Anthropic-Cybersecurity-Skills","devops/docker-k8s","devops/docker-k8s","4","true"
"auditing-kubernetes-cluster-rbac",">","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/auditing-kubernetes-cluster-rbac/SKILL.md","auditing;kubernetes;cluster;rbac","external:mukul975-Anthropic-Cybersecurity-Skills","devops/docker-k8s","devops/docker-k8s","4","true"
"c4-container","Expert C4 Container-level documentation specialist.","skill-manage/src/antigravity-awesome-skills/skills/c4-container/SKILL.md","c4;container","external:antigravity-awesome-skills","devops/docker-k8s","devops/docker-k8s","4","true"
"docker-expert","You are an advanced Docker containerization expert with comprehensive, practical knowledge of container optimization, security hardening, multi-stage builds, orchestration patterns, and production deployment strategies based on current industry best practices.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-devops-cloud/skills/docker-expert/SKILL.md","docker;expert","external:antigravity-awesome-skills","devops/docker-k8s","devops/docker-k8s","12","true"
"helm-chart-scaffolding","Comprehensive guidance for creating, organizing, and managing Helm charts for packaging and deploying Kubernetes applications.","skill-manage/src/antigravity-awesome-skills/skills/helm-chart-scaffolding/SKILL.md","helm;chart;scaffolding","external:antigravity-awesome-skills","devops/docker-k8s","devops/docker-k8s","8","true"
"implementing-container-network-policies-with-calico","Enforce Kubernetes network segmentation using Calico CNI network policies and global network policies to control pod-to-pod traffic, restrict egress, and implement zero-trust microsegmentation.","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-container-network-policies-with-calico/SKILL.md","implementing;container;network;policies;with","external:mukul975-Anthropic-Cybersecurity-Skills","devops/docker-k8s","devops/docker-k8s","8","true"
"implementing-image-provenance-verification-with-cosign","Sign and verify container image provenance using Sigstore Cosign with keyless OIDC-based signing, attestations, and Kubernetes admission enforcement.","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-image-provenance-verification-with-cosign/SKILL.md","implementing;image;provenance;verification;with","external:mukul975-Anthropic-Cybersecurity-Skills","devops/docker-k8s","devops/docker-k8s","8","true"
"implementing-kubernetes-pod-security-standards","Pod Security Standards (PSS) define three levels of security policies -- Privileged, Baseline, and Restricted -- enforced by the Pod Security Admission (PSA) controller built into Kubernetes 1.25+. PS","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-kubernetes-pod-security-standards/SKILL.md","implementing;kubernetes;pod;security;standards","external:mukul975-Anthropic-Cybersecurity-Skills","devops/docker-k8s","devops/docker-k8s","4","true"
"implementing-network-policies-for-kubernetes","Kubernetes NetworkPolicies provide pod-level network segmentation by defining ingress and egress rules that control traffic flow between pods, namespaces, and external endpoints. Combined with CNI plu","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-network-policies-for-kubernetes/SKILL.md","implementing;network;policies;for;kubernetes","external:mukul975-Anthropic-Cybersecurity-Skills","devops/docker-k8s","devops/docker-k8s","4","true"
