skill_id,hub,sub_hub,score
cloudflare-security,server-side,serverless-edge,100
go-to-market-strategy,business,strategy,100
performance-monitoring,server-side,observability,100
agent-tool-builder,ai,prompting-factory,100
ai-agents-architect,server-side,architect,100
ai-native-cli,ai,prompting-factory,100
architecture,server-side,architect,100
asc-app-create-ui,mobile,ios,100
building-identity-governance-lifecycle-process,code-quality,security,100
building-incident-response-playbook,code-quality,security,100
crewai,ai,prompting-factory,100
database-architect,server-side,databases,100
ddd-strategic-design,server-side,architect,100
design-an-interface,server-side,architect,100
dse-loop,server-side,architect,100
gan-style-harness,ai,prompting-factory,100
implementing-just-in-time-access-provisioning,code-quality,security,100
implementing-privileged-access-workstation,code-quality,security,100
llm-application-dev-ai-assistant,ai,prompting-factory,100
machine-learning-ops-ml-pipeline,ai,prompting-factory,100
memory-systems,ai,prompting-factory,100
multi-agent-patterns,ai,prompting-factory,100
nosql-expert,server-side,databases,100
performing-access-review-and-certification,code-quality,security,100
sadd:multi-agent-patterns,ai,prompting-factory,100
software-architecture,server-side,architect,100
team-composition-analysis,business,operations,100
tool-design,ai,prompting-factory,100
workflow-orchestration-patterns,server-side,frameworks,100
