skill_id,description,score,phase
azure-ai-agents-persistent-java,"Azure AI Agents Persistent SDK for Java. Low-level SDK for creating and managing AI agents with threads, messages, runs, and tools. Triggers: ""PersistentAgentsClient"", ""persistent agents java"", ""agent threads java"", ""agent runs java"", ""streaming agents java"".",100,1
azure-ai-anomalydetector-java,"Build anomaly detection applications with Azure AI Anomaly Detector SDK for Java. Use when implementing univariate/multivariate anomaly detection, time-series analysis, or AI-powered monitoring.",100,1
azure-ai-contentsafety-java,"Build content moderation applications with Azure AI Content Safety SDK for Java. Use when implementing text/image analysis, blocklist management, or harm detection for hate, violence, sexual content, and self-harm.",100,1
azure-ai-formrecognizer-java,"Build document analysis applications with Azure Document Intelligence (Form Recognizer) SDK for Java. Use when extracting text, tables, key-value pairs from documents, receipts, invoices, or building custom document models.",100,1
azure-ai-projects-java,"Azure AI Projects SDK for Java. High-level SDK for Azure AI Foundry project management including connections, datasets, indexes, and evaluations. Triggers: ""AIProjectClient java"", ""azure ai projects java"", ""Foundry project java"", ""ConnectionsClient"", ""DatasetsClient"", ""IndexesClient"".",100,1
azure-ai-vision-imageanalysis-java,"Build image analysis applications with Azure AI Vision SDK for Java. Use when implementing image captioning, OCR text extraction, object detection, tagging, or smart cropping.",100,1
azure-ai-voicelive-java,"Azure AI VoiceLive SDK for Java. Real-time bidirectional voice conversations with AI assistants using WebSocket. Triggers: ""VoiceLiveClient java"", ""voice assistant java"", ""real-time voice java"", ""audio streaming java"", ""voice activity detection java"".",100,1
azure-appconfiguration-java,"Azure App Configuration SDK for Java. Centralized application configuration management with key-value settings, feature flags, and snapshots. Triggers: ""ConfigurationClient java"", ""app configuration java"", ""feature flag java"", ""configuration setting java"", ""azure config java"".",100,1
azure-communication-callautomation-java,"Build call automation workflows with Azure Communication Services Call Automation Java SDK. Use when implementing IVR systems, call routing, call recording, DTMF recognition, text-to-speech, or AI-powered call flows.",100,1
azure-communication-callingserver-java,Azure Communication Services CallingServer (legacy) Java SDK. Note - This SDK is deprecated. Use azure-communication-callautomation instead for new projects. Only use this skill when maintaining legacy code.,100,1
azure-communication-chat-java,"Build real-time chat applications with Azure Communication Services Chat Java SDK. Use when implementing chat threads, messaging, participants, read receipts, typing notifications, or real-time chat features.",100,1
azure-communication-common-java,"Azure Communication Services common utilities for Java. Use when working with CommunicationTokenCredential, user identifiers, token refresh, or shared authentication across ACS services.",100,1
azure-communication-sms-java,"Send SMS messages with Azure Communication Services SMS Java SDK. Use when implementing SMS notifications, alerts, OTP delivery, bulk messaging, or delivery reports.",100,1
azure-compute-batch-java,"Azure Batch SDK for Java. Run large-scale parallel and HPC batch jobs with pools, jobs, tasks, and compute nodes. Triggers: ""BatchClient java"", ""azure batch java"", ""batch pool java"", ""batch job java"", ""HPC java"", ""parallel computing java"".",100,1
azure-cosmos-java,"Azure Cosmos DB SDK for Java. NoSQL database operations with global distribution, multi-model support, and reactive patterns. Triggers: ""CosmosClient java"", ""CosmosAsyncClient"", ""cosmos database java"", ""cosmosdb java"", ""document database java"".",100,1
azure-data-tables-java,"Build table storage applications with Azure Tables SDK for Java. Use when working with Azure Table Storage or Cosmos DB Table API for NoSQL key-value data, schemaless storage, or structured data at scale.",100,1
azure-eventgrid-java,"Build event-driven applications with Azure Event Grid SDK for Java. Use when publishing events, implementing pub/sub patterns, or integrating with Azure services via events.",100,1
azure-identity-java,"Azure Identity library for Java authentication with Azure services. Use when implementing DefaultAzureCredential, managed identity, service principal, or any Azure authentication pattern in Java applications.",100,1
azure-messaging-webpubsub-java,"Build real-time web applications with Azure Web PubSub SDK for Java. Use when implementing WebSocket-based messaging, live updates, chat applications, or server-to-client push notifications.",100,1
azure-monitor-ingestion-java,"Azure Monitor Ingestion SDK for Java. Send custom logs to Azure Monitor via Data Collection Rules (DCR) and Data Collection Endpoints (DCE). Triggers: ""LogsIngestionClient java"", ""azure monitor ingestion java"", ""custom logs java"", ""DCR java"", ""data collection rule java"".",100,1
azure-monitor-query-java,"Azure Monitor Query SDK for Java. Execute Kusto queries against Log Analytics workspaces and query metrics from Azure resources. Triggers: ""LogsQueryClient java"", ""MetricsQueryClient java"", ""kusto query java"", ""log analytics java"", ""azure monitor query java"". Note: This package is deprecated. Migrate to azure-monitor-query-logs and azure-monitor-query-metrics.",100,1
azure-security-keyvault-secrets-java,"Azure Key Vault Secrets Java SDK for secret management. Use when storing, retrieving, or managing passwords, API keys, connection strings, or other sensitive configuration data.",100,1
