skill_id,description,score,phase
ai-seo,"When the user wants to optimize content for AI search engines, get cited by LLMs, or appear in AI-generated answers. Also use when the user mentions 'AI SEO,' 'AEO,' 'GEO,' 'LLMO,' 'answer engine optimization,' 'generative engine optimization,' 'LLM optimization,' 'AI Overviews,' 'optimize for ChatGPT,' 'optimize for Perplexity,' 'AI citations,' 'AI visibility,' 'zero-click search,' 'how do I show up in AI answers,' 'LLM mentions,' or 'optimize for Claude/Gemini.' Use this whenever someone wants their content to be cited or surfaced by AI assistants and AI search engines. For traditional technical and on-page SEO audits, see seo-audit. For structured data implementation, see schema-markup.",100,4
brand-copywriter,"Writes marketing copy using proven copywriting frameworks. Use when user needs copy for ads (Facebook, Instagram, TikTok, YouTube), landing pages, sales pages, email sequences, LinkedIn posts, product descriptions, or any marketing content.",100,4
ckm:banner-design,"Design banners for social media, ads, website heroes, creative assets, and print. Multiple art direction options with AI-generated visuals. Actions: design, create, generate banner. Platforms: Facebook, Twitter/X, LinkedIn, YouTube, Instagram, Google Display, website hero, print. Styles: minimalist, gradient, bold typography, photo-based, illustrated, geometric, retro, glassmorphism, 3D, neon, duotone, editorial, collage. Uses ui-ux-pro-max, frontend-design, ai-artist, ai-multimodal skills.",100,4
ckm:brand,"Brand voice, visual identity, messaging frameworks, asset management, brand consistency. Activate for branded content, tone of voice, marketing assets, brand compliance, style guides.",100,4
competitor-alternatives,"When the user wants to create competitor comparison or alternative pages for SEO and sales enablement. Also use when the user mentions 'alternative page,' 'vs page,' 'competitor comparison,' 'comparison page,' '[Product] vs [Product],' '[Product] alternative,' 'competitive landing pages,' 'how do we compare to X,' 'battle card,' or 'competitor teardown.' Use this for any content that positions your product against competitors. Covers four formats: singular alternative, plural alternatives, you vs competitor, and competitor vs competitor. For sales-specific competitor docs, see sales-enablement.",100,4
compress-images,"Compress images for web/SEO performance using cwebp. Use when optimizing images for faster page loads, reducing file sizes, or converting JPG/PNG to WebP format.",100,4
conducting-external-reconnaissance-with-osint,"Conducts external reconnaissance using Open Source Intelligence (OSINT) techniques to map an organization's external attack surface without directly interacting with target systems. The tester gathers information from public sources including DNS records, certificate transparency logs, search engines, social media, code repositories, and data breach databases to build a comprehensive target profile. Activates for requests involving OSINT reconnaissance, external footprinting, attack surface mapping, or passive information gathering.",100,4
content-creator,"Professional-grade brand voice analysis, SEO optimization, and platform-specific content frameworks.",100,4
content-marketer,"Elite content marketing strategist specializing in AI-powered content creation, omnichannel distribution, SEO optimization, and data-driven performance marketing.",100,4
content-strategy,"When the user wants to plan a content strategy, decide what content to create, or figure out what topics to cover. Also use when the user mentions ""content strategy,"" ""what should I write about,"" ""content ideas,"" ""blog strategy,"" ""topic clusters,"" ""content planning,"" ""editorial calendar,"" ""content marketing,"" ""content roadmap,"" ""what content should I create,"" ""blog topics,"" ""content pillars,"" or ""I don't know what to write."" Use this whenever someone needs help deciding what content to produce, not just writing it. For writing individual pieces, see copywriting. For SEO-specific audits, see seo-audit. For social media content specifically, see social-content.",100,4
copy-editing,"When the user wants to edit, review, or improve existing marketing copy. Also use when the user mentions 'edit this copy,' 'review my copy,' 'copy feedback,' 'proofread,' 'polish this,' 'make this better,' 'copy sweep,' 'tighten this up,' 'this reads awkwardly,' 'clean up this text,' 'too wordy,' or 'sharpen the messaging.' Use this when the user already has copy and wants it improved rather than rewritten from scratch. For writing new copy, see copywriting.",100,4
customer-research,"When the user wants to conduct, analyze, or synthesize customer research. Use when the user mentions ""customer research,"" ""ICP research,"" ""talk to customers,"" ""analyze transcripts,"" ""customer interviews,"" ""survey analysis,"" ""support ticket analysis,"" ""voice of customer,"" ""VOC,"" ""build personas,"" ""customer personas,"" ""jobs to be done,"" ""JTBD,"" ""what do customers say,"" ""what are customers struggling with,"" ""Reddit mining,"" ""G2 reviews,"" ""review mining,"" ""digital watering holes,"" ""community research,"" ""forum research,"" ""competitor reviews,"" ""customer sentiment,"" or ""find out why customers churn/convert/buy."" Use for both analyzing existing research assets AND gathering new research from online sources. For writing copy informed by research, see copywriting. For acting on research to improve pages, see page-cro.",100,4
seo-aeo-best-practices,"SEO and AEO best practices for metadata, Open Graph, sitemaps, robots.txt, hreflang, JSON-LD structured data, EEAT, and content optimized for search engines and AI answer surfaces. Use this skill when implementing page SEO, technical SEO, schema markup, international SEO, AI-overview readiness, or improving content for Google, ChatGPT, Perplexity, and similar assistants.",lib/sanity-io-agent-toolkit/skills/seo-aeo-best-practices/SKILL.md
seo-geo,"Optimize content for AI Overviews (formerly SGE), ChatGPT web search, Perplexity, and other AI-powered search experiences. Generative Engine Optimization (GEO) analysis including brand mention signals, AI crawler accessibility, llms.txt compliance, passage-level citability scoring, and platform-specific optimization. Use when user says ""AI Overviews"", ""SGE"", ""GEO"", ""AI search"", ""LLM optimization"", ""Perplexity"", ""AI citations"", ""ChatGPT search"", or ""AI visibility"".",lib/agricidaniel-claude-seo/skills/seo-geo/SKILL.md
download-video,"Download videos from social media URLs (X/Twitter, YouTube, Instagram, TikTok, etc.) using yt-dlp. Use when saving a video locally, extracting content for transcription, or archiving video references.",100,4
email-marketing-bible,"Comprehensive, data-backed email marketing knowledge base. 908 sources, 4,798 insights. Use when reviewing email setups, building automation flows, diagnosing deliverability, writing email copy, selecting platforms, or pulling benchmarks. Covers strategy, flows, deliverability, copywriting, segmentation, compliance, cold email, and 19 industry playbooks.",100,4
keyword-extractor,Extracts up to 50 highly relevant SEO keywords from text. Use when user wants to generate or extract keywords for given text.,100,4
lead-magnet-generator,Creates viral lead magnet posts that drive comments and DMs. Produces 2 versions - a quick punchy format and a detailed format with bullet points. Use when user needs social media posts to give away a lead magnet in exchange for engagement.,100,4
lead-magnets,"When the user wants to create, plan, or optimize a lead magnet for email capture or lead generation. Also use when the user mentions ""lead magnet,"" ""gated content,"" ""content upgrade,"" ""downloadable,"" ""ebook,"" ""cheat sheet,"" ""checklist,"" ""template download,"" ""opt-in,"" ""freebie,"" ""PDF download,"" ""resource library,"" ""content offer,"" ""email capture content,"" ""Notion template,"" ""spreadsheet template,"" or ""what should I give away for emails."" Use this for planning what to create and how to distribute it. For interactive tools as lead magnets, see free-tool-strategy. For writing the actual content, see copywriting. For the email sequence after capture, see email-sequence.",100,4
odoo-ecommerce-configurator,"Expert guide for Odoo eCommerce and Website: product catalog, payment providers, shipping methods, SEO, and order-to-fulfillment workflow.",100,4
paid-ads,"When the user wants help with paid advertising campaigns on Google Ads, Meta (Facebook/Instagram), LinkedIn, Twitter/X, or other ad platforms. Also use when the user mentions 'PPC,' 'paid media,' 'ROAS,' 'CPA,' 'ad campaign,' 'retargeting,' 'audience targeting,' 'Google Ads,' 'Facebook ads,' 'LinkedIn ads,' 'ad budget,' 'cost per click,' 'ad spend,' or 'should I run ads.' Use this for campaign strategy, audience targeting, bidding, and optimization. For bulk ad creative generation and iteration, see ad-creative. For landing page optimization, see page-cro.",100,4
