skill_id,description,src_path
analyzing-android-malware-with-apktool,"Perform static analysis of Android APK malware samples using apktool for decompilation, jadx for Java source recovery, and androguard for permission analysis, manifest inspection, and suspicious API call detection.",lib/mukul975-anthropic-cybersecurity-skills/skills/analyzing-android-malware-with-apktool/SKILL.md
android-clean-architecture,适用于Android和Kotlin多平台项目的Clean Architecture模式——模块结构、依赖规则、用例、仓库以及数据层模式。,lib/affaan-m-everything-claude-code/docs/zh-CN/skills/android-clean-architecture/SKILL.md
android-design-guidelines,"Material Design 3 and Android platform guidelines. Use when building Android apps with Jetpack Compose or XML layouts, implementing Material You, navigation, or accessibility. Triggers on tasks involving Android UI, Compose components, dynamic color, or Material Design compliance.",lib/ehmo-platform-design-skills/skills/android/SKILL.md
android-java,"Android Java development with MVVM, ViewBinding, and Espresso testing",lib/alinaqi-claude-bootstrap/skills/android-java/SKILL.md
android-kotlin,"Android Kotlin development with Coroutines, Jetpack Compose, Hilt, and MockK testing",lib/alinaqi-claude-bootstrap/skills/android-kotlin/SKILL.md
hexagonal-architecture,"Design, implement, and refactor Ports & Adapters systems with clear domain boundaries, dependency inversion, and testable use-case orchestration across TypeScript, Java, Kotlin, and Go services.",lib/affaan-m-everything-claude-code/skills/hexagonal-architecture/SKILL.md
kotlin-coroutines-flows,Kotlin协程与Flow在Android和KMP中的模式——结构化并发、Flow操作符、StateFlow、错误处理和测试。,lib/affaan-m-everything-claude-code/docs/zh-CN/skills/kotlin-coroutines-flows/SKILL.md
kotlin-exposed-patterns,JetBrains Exposed ORM 模式，包括 DSL 查询、DAO 模式、事务、HikariCP 连接池、Flyway 迁移和仓库模式。,lib/affaan-m-everything-claude-code/docs/zh-CN/skills/kotlin-exposed-patterns/SKILL.md
kotlin-ktor-patterns,Ktor 服务器模式，包括路由 DSL、插件、身份验证、Koin DI、kotlinx.serialization、WebSockets 和 testApplication 测试。,lib/affaan-m-everything-claude-code/docs/zh-CN/skills/kotlin-ktor-patterns/SKILL.md
kotlin-patterns,"Coroutine'ler, null safety ve DSL builder'lar ile sağlam, verimli ve sürdürülebilir Kotlin uygulamaları oluşturmak için idiomatic Kotlin kalıpları, en iyi uygulamalar ve konvansiyonlar.",lib/affaan-m-everything-claude-code/docs/tr/skills/kotlin-patterns/SKILL.md
reverse-engineering-android-malware-with-jadx,"Reverse engineers malicious Android APK files using JADX decompiler to analyze Java/Kotlin source code, identify malicious functionality including data theft, C2 communication, privilege escalation, and overlay attacks. Examines manifest permissions, receivers, services, and native libraries. Activates for requests involving Android malware analysis, APK reverse engineering, mobile malware investigation, or Android threat analysis.",lib/mukul975-anthropic-cybersecurity-skills/skills/reverse-engineering-android-malware-with-jadx/SKILL.md
