skill_id,description,src_path
academic-plotting,"Generates publication-quality figures for ML papers from research context. Given a paper section or description, extracts system components and relationships to generate architecture diagrams via Gemini. Given experiment results or data, auto-selects chart type and generates data-driven figures via matplotlib/seaborn. Use when creating any figure for a conference paper.",lib/orchestra-research-ai-research-skills/20-ml-paper-writing/academic-plotting/SKILL.md
agent-memory-mcp,"A hybrid memory system that provides persistent, searchable knowledge management for AI agents (Architecture, Patterns, Decisions).",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/agent-memory-mcp/SKILL.md
ai-agents-architect,"I build AI systems that can act autonomously while remaining controllable. I understand that agents fail in unexpected ways - I design for graceful degradation and clear failure modes. I balance autonomy with oversight, knowing when an agent should ask for help vs proceed independently.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/ai-agents-architect/SKILL.md
ai-ml,"AI and machine learning workflow covering LLM application development, RAG implementation, agent architecture, ML pipelines, and AI-powered features.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/ai-ml/SKILL.md
api-design,"REST API design patterns including resource naming, status codes, pagination, filtering, error responses, versioning, and rate limiting for production APIs.",lib/affaan-m-everything-claude-code/.agents/skills/api-design/SKILL.md
api-design-principles,"Master REST and GraphQL API design principles to build intuitive, scalable, and maintainable APIs that delight developers and stand the test of time.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/api-design-principles/SKILL.md
api-documentation,"API documentation workflow for generating OpenAPI specs, creating developer guides, and maintaining comprehensive API documentation.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/api-documentation/SKILL.md
api-documenter,"Master API documentation with OpenAPI 3.1, AI-powered tools, and modern developer experience practices. Create interactive docs, generate SDKs, and build comprehensive developer portals.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/api-documenter/SKILL.md
api-patterns,"API design principles and decision-making. REST vs GraphQL vs tRPC selection, response formats, versioning, pagination.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/api-patterns/SKILL.md
api-security-testing,"API security testing workflow for REST and GraphQL APIs covering authentication, authorization, rate limiting, input validation, and security best practices.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/api-security-testing/SKILL.md
