"id","description","path","triggers","src","primary_hub","assigned_hubs","match_score","is_primary"
"analyzing-android-malware-with-apktool","Perform static analysis of Android APK malware samples using apktool for decompilation, jadx for Java source recovery, and androguard for permission analysis, manifest inspection, and suspicious API call detection.","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-android-malware-with-apktool/SKILL.md","analyzing;android;malware;with;apktool","external:mukul975-Anthropic-Cybersecurity-Skills","mobile/cross-platform","mobile/cross-platform","7","True"
"analyzing-ios-app-security-with-objection",">","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-ios-app-security-with-objection/SKILL.md","analyzing;ios;app;security;with","external:mukul975-Anthropic-Cybersecurity-Skills","mobile/cross-platform","mobile/cross-platform","7","True"
"android-aso","When the user wants to optimize their Google Play Store listing — title, short description, full description, keywords, ratings, or Play Store-specific features. Use when the user mentions ""Google Play"", ""Android"", ""Play Store"", ""Play Console"", ""short description"", ""full description indexed"", ""Google Play ASO"", or wants Google Play-specific keyword, creative, or ratings strategy. For iOS App Store optimization, see aso-audit and metadata-optimization.","skill-manage/src/aso-skills/skills/android-aso/SKILL.md","android;aso","external:aso-skills","mobile/cross-platform","mobile/cross-platform","11","True"
"android-jetpack-compose-expert","Expert guidance for building modern Android UIs with Jetpack Compose, covering state management, navigation, performance, and Material Design 3.","skill-manage/src/antigravity-awesome-skills/skills/android-jetpack-compose-expert/SKILL.md","android;jetpack;compose;expert","external:antigravity-awesome-skills","mobile/cross-platform","mobile/cross-platform","7","True"
"android-kotlin","Android Kotlin development with Coroutines, Jetpack Compose, Hilt, and MockK testing","skill-manage/src/alinaqi-claude-bootstrap/skills/android-kotlin/SKILL.md","android;kotlin","external:alinaqi-claude-bootstrap","mobile/cross-platform","mobile/cross-platform","11","True"
"app-clips","When the user wants to implement, optimize, or use App Clips for app discovery and conversion. Use when the user mentions ""App Clip"", ""app clip code"", ""mini app"", ""instant app"", ""App Clip card"", ""App Clip link"", ""no download required"", ""instant experience"", or wants to understand how App Clips appear in App Store search. For general App Store discoverability, see aso-audit. For marketing campaigns, see ua-campaign.","skill-manage/src/aso-skills/skills/app-clips/SKILL.md","app;clips","external:aso-skills","mobile/cross-platform","mobile/cross-platform","100","True"
"app-store-changelog","Generate user-facing App Store release notes from git history since the last tag.","skill-manage/src/antigravity-awesome-skills/skills/app-store-changelog/SKILL.md","app;store;changelog","external:antigravity-awesome-skills","mobile/cross-platform","mobile/cross-platform","100","True"
"app-store-optimization","Complete App Store Optimization (ASO) toolkit for researching, optimizing, and tracking mobile app performance on Apple App Store and Google Play Store","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-expo-react-native/skills/app-store-optimization/SKILL.md","app;store;optimization","external:antigravity-awesome-skills","mobile/cross-platform","mobile/cross-platform","9","True"
"app-store-preflight-skills",">","skill-manage/src/truongduy2611-app-store-preflight-skills/SKILL.md","app;store;preflight;skills","external:truongduy2611-app-store-preflight-skills","mobile/cross-platform","mobile/cross-platform","5","True"
"asc-notarization","Archive, export, and notarize macOS apps using xcodebuild and asc. Use when you need to prepare a macOS app for distribution outside the App Store with Developer ID signing and Apple notarization.","skill-manage/src/rudrankriyam-app-store-connect-cli-skills/skills/asc-notarization/SKILL.md","asc;notarization","external:rudrankriyam-app-store-connect-cli-skills","mobile/cross-platform","mobile/cross-platform","11","True"
"asc-screenshot-resize","Resize and validate App Store screenshots for all device classes using macOS sips. Use when preparing or fixing screenshots for App Store Connect submission.","skill-manage/src/rudrankriyam-app-store-connect-cli-skills/skills/asc-screenshot-resize/SKILL.md","asc;screenshot;resize","external:rudrankriyam-app-store-connect-cli-skills","mobile/cross-platform","mobile/cross-platform","7","True"
"asc-wall-submit","Submit or update a Wall of Apps entry in the App-Store-Connect-CLI repository using `asc apps wall submit`. Use when the user says ""submit to wall of apps"", ""add my app to the wall"", or ""wall-of-apps"".","skill-manage/src/rudrankriyam-app-store-connect-cli-skills/skills/asc-wall-submit/SKILL.md","asc;wall;submit","external:rudrankriyam-app-store-connect-cli-skills","mobile/cross-platform","mobile/cross-platform","5","True"
