skill_id,description,score,phase
angular-best-practices,"Angular performance optimization and best practices guide. Use when writing, reviewing, or refactoring Angular code for optimal performance, bundle size, and rendering efficiency.",100,1
clean-code,"This skill embodies the principles of ""Clean Code"" by Robert C. Martin (Uncle Bob). Use it to transform ""code that works"" into ""code that is clean.""",100,1
code-refactoring-context-restore,Use when working with code refactoring context restore,100,1
code-refactoring-refactor-clean,"You are a code refactoring expert specializing in clean code principles, SOLID design patterns, and modern software engineering best practices. Analyze and refactor the provided code to improve its quality, maintainability, and performance.",100,1
code-refactoring-tech-debt,"You are a technical debt expert specializing in identifying, quantifying, and prioritizing technical debt in software projects. Analyze the codebase to uncover debt, assess its impact, and create acti",100,1
code-review,Mandatory code reviews via /code-review before commits and deploys,100,1
code-review-ai-ai-review,"You are an expert AI-powered code review specialist combining automated static analysis, intelligent pattern recognition, and modern DevOps practices. Leverage AI tools (GitHub Copilot, Qodo, GPT-5, C",100,1
code-review-checklist,"Comprehensive checklist for conducting thorough code reviews covering functionality, security, performance, and maintainability",100,1
code-review-excellence,"Transform code reviews from gatekeeping to knowledge sharing through constructive feedback, systematic analysis, and collaborative improvement.",100,1
code-review:review-local-changes,Comprehensive review of local uncommitted changes using specialized agents with code improvement suggestions,100,1
code-review:review-pr,Comprehensive pull request review using specialized agents,100,1
code-reviewer,Elite code review expert specializing in modern AI-powered code,100,1
component-refactoring,"Refactor high-complexity React components in Dify frontend. Use when `pnpm analyze-component --json` shows complexity > 50 or lineCount > 300, when the user asks for code splitting, hook extraction, or complexity reduction, or when `pnpm analyze-component` warns to refactor before testing; avoid for simple/well-structured components, third-party wrappers, or when the user explicitly wants testing without refactoring.",100,1
comprehensive-review-pr-enhance,"Generate structured PR descriptions from diffs, add review checklists, risk assessments, and test coverage summaries. Use when the user says ""write a PR description"", ""improve this PR"", ""summarize my changes"", ""PR review"", ""pull request"", or asks to document a diff for reviewers.",100,1
improve-codebase-architecture,"Explore a codebase to find opportunities for architectural improvement, focusing on making the codebase more testable by deepening shallow modules. Use when user wants to improve architecture, find refactoring opportunities, consolidate tightly-coupled modules, or make a codebase more AI-navigable.",100,1
kaizen:kaizen,"Use when Code implementation and refactoring, architecturing or designing systems, process and workflow improvements, error handling and validation. Provide tehniquest to avoid over-engineering and apply iterative improvements.",100,1
plan-writing,"Structured task planning with clear breakdowns, dependencies, and verification criteria. Use when implementing features, refactoring, or any multi-step work.",100,1
receiving-code-review,"Use when receiving code review feedback, before implementing suggestions, especially if feedback seems unclear or technically questionable - requires technical rigor and verification, not performative agreement or blind implementation",100,1
request-refactor-plan,"Create a detailed refactor plan with tiny commits via user interview, then file it as a GitHub issue. Use when user wants to plan a refactor, create a refactoring RFC, or break a refactor into safe incremental steps.",100,1
requesting-code-review,"Use when completing tasks, implementing major features, or before merging to verify work meets requirements",100,1
springboot-tdd,"Test-driven development for Spring Boot using JUnit 5, Mockito, MockMvc, Testcontainers, and JaCoCo. Use when adding features, fixing bugs, or refactoring.",100,1
swift-concurrency,"Expert guidance on Swift Concurrency best practices, patterns, and implementation. Use when developers mention: (1) Swift Concurrency, async/await, actors, or tasks, (2) modern concurrency patterns or structured concurrency, (3) migrating to Swift 6 or strict concurrency checking, (4) data races or thread safety issues, (5) refactoring closures to async/await, (6) @MainActor, Sendable, or actor isolation, (7) concurrent code architecture or performance, (8) concurrency-related linter warnings, (9) AsyncSequence, AsyncStream, or task groups, (10) nonisolated, @preconcurrency, or @unchecked Sendable.",100,1
tdd:fix-tests,Systematically fix all failing tests after business logic changes or refactoring,100,1
uncle-bob-craft,"Use when performing code review, writing or refactoring code, or discussing architecture; complements clean-code and does not replace project linter/formatter.",100,1
vercel-react-best-practices,"React and Next.js performance optimization guidelines from Vercel Engineering. This skill should be used when writing, reviewing, or refactoring React/Next.js code to ensure optimal performance patterns. Triggers on tasks involving React components, Next.js pages, data fetching, bundle optimization, or performance improvements.",100,1
vibers-code-review,"Human review workflow for AI-generated GitHub projects with spec-based feedback, security review, and follow-up PRs from the Vibers service.",100,1
