skill_id,description,src_path
angular-best-practices,"Angular performance optimization and best practices guide. Use when writing, reviewing, or refactoring Angular code for optimal performance, bundle size, and rendering efficiency.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/angular-best-practices/SKILL.md
clean-code,"This skill embodies the principles of ""Clean Code"" by Robert C. Martin (Uncle Bob). Use it to transform ""code that works"" into ""code that is clean.""",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/clean-code/SKILL.md
code-refactoring-context-restore,Use when working with code refactoring context restore,lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/code-refactoring-context-restore/SKILL.md
code-refactoring-refactor-clean,"You are a code refactoring expert specializing in clean code principles, SOLID design patterns, and modern software engineering best practices. Analyze and refactor the provided code to improve its quality, maintainability, and performance.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/code-refactoring-refactor-clean/SKILL.md
code-refactoring-tech-debt,"You are a technical debt expert specializing in identifying, quantifying, and prioritizing technical debt in software projects. Analyze the codebase to uncover debt, assess its impact, and create acti",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/code-refactoring-tech-debt/SKILL.md
code-review,Mandatory code reviews via /code-review before commits and deploys,lib/alinaqi-claude-bootstrap/skills/code-review/SKILL.md
code-review-ai-ai-review,"You are an expert AI-powered code review specialist combining automated static analysis, intelligent pattern recognition, and modern DevOps practices. Leverage AI tools (GitHub Copilot, Qodo, GPT-5, C",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/code-review-ai-ai-review/SKILL.md
code-review-checklist,"Comprehensive checklist for conducting thorough code reviews covering functionality, security, performance, and maintainability",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/code-review-checklist/SKILL.md
code-review-excellence,"Transform code reviews from gatekeeping to knowledge sharing through constructive feedback, systematic analysis, and collaborative improvement.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/code-review-excellence/SKILL.md
code-review:review-local-changes,Comprehensive review of local uncommitted changes using specialized agents with code improvement suggestions,lib/neolabhq-context-engineering-kit/plugins/code-review/skills/review-local-changes/SKILL.md
code-review:review-pr,Comprehensive pull request review using specialized agents,lib/neolabhq-context-engineering-kit/plugins/code-review/skills/review-pr/SKILL.md
code-reviewer,Elite code review expert specializing in modern AI-powered code,lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/code-reviewer/SKILL.md
component-refactoring,"Refactor high-complexity React components in Dify frontend. Use when `pnpm analyze-component --json` shows complexity > 50 or lineCount > 300, when the user asks for code splitting, hook extraction, or complexity reduction, or when `pnpm analyze-component` warns to refactor before testing; avoid for simple/well-structured components, third-party wrappers, or when the user explicitly wants testing without refactoring.",lib/charlie85270-dorothy/.agents/skills/component-refactoring/SKILL.md
comprehensive-review-pr-enhance,"Generate structured PR descriptions from diffs, add review checklists, risk assessments, and test coverage summaries. Use when the user says ""write a PR description"", ""improve this PR"", ""summarize my changes"", ""PR review"", ""pull request"", or asks to document a diff for reviewers.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/comprehensive-review-pr-enhance/SKILL.md
improve-codebase-architecture,"Explore a codebase to find opportunities for architectural improvement, focusing on making the codebase more testable by deepening shallow modules. Use when user wants to improve architecture, find refactoring opportunities, consolidate tightly-coupled modules, or make a codebase more AI-navigable.",lib/mattpocock-skills/improve-codebase-architecture/SKILL.md
kaizen:kaizen,"Use when Code implementation and refactoring, architecturing or designing systems, process and workflow improvements, error handling and validation. Provide tehniquest to avoid over-engineering and apply iterative improvements.",lib/neolabhq-context-engineering-kit/plugins/kaizen/skills/kaizen/SKILL.md
plan-writing,"Structured task planning with clear breakdowns, dependencies, and verification criteria. Use when implementing features, refactoring, or any multi-step work.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/plan-writing/SKILL.md
receiving-code-review,"Use when receiving code review feedback, before implementing suggestions, especially if feedback seems unclear or technically questionable - requires technical rigor and verification, not performative agreement or blind implementation",lib/obra-superpowers/skills/receiving-code-review/SKILL.md
request-refactor-plan,"Create a detailed refactor plan with tiny commits via user interview, then file it as a GitHub issue. Use when user wants to plan a refactor, create a refactoring RFC, or break a refactor into safe incremental steps.",lib/mattpocock-skills/request-refactor-plan/SKILL.md
requesting-code-review,"Use when completing tasks, implementing major features, or before merging to verify work meets requirements",lib/obra-superpowers/skills/requesting-code-review/SKILL.md
springboot-tdd,"Test-driven development for Spring Boot using JUnit 5, Mockito, MockMvc, Testcontainers, and JaCoCo. Use when adding features, fixing bugs, or refactoring.",lib/affaan-m-everything-claude-code/docs/ja-JP/skills/springboot-tdd/SKILL.md
swift-concurrency,"Expert guidance on Swift Concurrency best practices, patterns, and implementation. Use when developers mention: (1) Swift Concurrency, async/await, actors, or tasks, (2) modern concurrency patterns or structured concurrency, (3) migrating to Swift 6 or strict concurrency checking, (4) data races or thread safety issues, (5) refactoring closures to async/await, (6) @MainActor, Sendable, or actor isolation, (7) concurrent code architecture or performance, (8) concurrency-related linter warnings, (9) AsyncSequence, AsyncStream, or task groups, (10) nonisolated, @preconcurrency, or @unchecked Sendable.",lib/joannis-claude-skills/swift-concurrency/SKILL.md
tdd:fix-tests,Systematically fix all failing tests after business logic changes or refactoring,lib/neolabhq-context-engineering-kit/plugins/tdd/skills/fix-tests/SKILL.md
uncle-bob-craft,"Use when performing code review, writing or refactoring code, or discussing architecture; complements clean-code and does not replace project linter/formatter.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/uncle-bob-craft/SKILL.md
vercel-react-best-practices,"React and Next.js performance optimization guidelines from Vercel Engineering. This skill should be used when writing, reviewing, or refactoring React/Next.js code to ensure optimal performance patterns. Triggers on tasks involving React components, Next.js pages, data fetching, bundle optimization, or performance improvements.",lib/charlie85270-dorothy/.agents/skills/vercel-react-best-practices/SKILL.md
vibers-code-review,"Human review workflow for AI-generated GitHub projects with spec-based feedback, security review, and follow-up PRs from the Vibers service.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/vibers-code-review/SKILL.md
