skill_id,description,src_path
app-analytics,"When the user wants to set up, interpret, or improve their app analytics and tracking. Also use when the user mentions ""analytics"", ""tracking"", ""metrics"", ""KPIs"", ""App Store Connect analytics"", ""install tracking"", ""funnel"", ""attribution"", or ""how is my app performing"". For A/B testing, see ab-test-store-listing. For retention metrics, see retention-optimization.",src/aso-skills/skills/app-analytics/SKILL.md
analytics-tracking,"Design, audit, and improve analytics tracking systems that produce reliable, decision-ready data.",src/antigravity-awesome-skills/plugins/antigravity-bundle-data-analytics/skills/analytics-tracking/SKILL.md
apify-content-analytics,"Track engagement metrics, measure campaign ROI, and analyze content performance across Instagram, Facebook, YouTube, and TikTok.",src/antigravity-awesome-skills/skills/apify-content-analytics/SKILL.md
asc-metrics,"When the user wants to analyze their own app's actual performance data from App Store Connect — real downloads, revenue, IAP, subscriptions, trials, or country breakdowns synced via Appeeky Connect. Use when the user asks about ""my downloads"", ""my revenue"", ""how is my app performing"", ""ASC data"", ""sales and trends"", ""my subscription numbers"", ""App Store Connect metrics"", or wants to compare periods or top markets. For third-party app estimates, see app-analytics. For subscription analytics depth, see monetization-strategy.",src/aso-skills/skills/asc-metrics/SKILL.md
azure-monitor-query-java,Azure Monitor Query SDK for Java. Execute Kusto queries against Log Analytics workspaces and query metrics from Azure resources.,src/antigravity-awesome-skills/skills/azure-monitor-query-java/SKILL.md
azure-monitor-query-py,Azure Monitor Query SDK for Python. Use for querying Log Analytics workspaces and Azure Monitor metrics.,src/antigravity-awesome-skills/skills/azure-monitor-query-py/SKILL.md
building-soc-metrics-and-kpi-tracking,"Builds SOC performance metrics and KPI tracking dashboards measuring Mean Time to Detect (MTTD), Mean Time to Respond (MTTR), alert quality ratios, analyst productivity, and detection coverage using SIEM data. Use when SOC leadership needs operational visibility, continuous improvement tracking, or executive-level reporting on security operations effectiveness.",src/mukul975-Anthropic-Cybersecurity-Skills/skills/building-soc-metrics-and-kpi-tracking/SKILL.md
building-vulnerability-dashboard-with-defectdojo,"Deploy DefectDojo as a centralized vulnerability management dashboard with scanner integrations, deduplication, metrics tracking, and Jira ticketing workflows.",src/mukul975-Anthropic-Cybersecurity-Skills/skills/building-vulnerability-dashboard-with-defectdojo/SKILL.md
metrics-dashboard,"Define and design a product metrics dashboard with key metrics, data sources, visualization types, and alert thresholds. Use when creating a metrics dashboard, defining KPIs, setting up product analytics, or building a data monitoring plan.",src/pm-skills/pm-product-discovery/skills/metrics-dashboard/SKILL.md
posthog-analytics,"PostHog analytics, event tracking, feature flags, dashboards",src/alinaqi-claude-bootstrap/skills/posthog-analytics/SKILL.md
retro,"Weekly engineering retrospective. Analyzes commit history, work patterns, and code quality metrics with persistent history and trend tracking. Team-aware: breaks down per-person contributions with praise and growth areas. Use when asked to ""weekly retro"", ""what did we ship"", or ""engineering retrospective"". Proactively suggest at the end of a work week or sprint.",src/gstack/retro/SKILL.md
segment-cdp,"Client-side tracking with Analytics.js. Include track, identify, page, and group calls. Anonymous ID persists until identify merges with user.",src/antigravity-awesome-skills/skills/segment-cdp/SKILL.md
startup-metrics-framework,"Comprehensive guide to tracking, calculating, and optimizing key performance metrics for different startup business models from seed through Series A.",src/antigravity-awesome-skills/plugins/antigravity-bundle-business-analyst/skills/startup-metrics-framework/SKILL.md
subscription-lifecycle,"When the user wants to optimize their subscription business end-to-end — from trial start through renewal, cancellation, and win-back. Use when the user mentions ""subscription lifecycle"", ""trial conversion"", ""churn"", ""cancellation"", ""win-back"", ""lapsed subscribers"", ""dunning"", ""billing retry"", ""grace period"", ""renewal rate"", ""subscriber LTV"", or ""resubscribe"". For paywall design and pricing strategy, see monetization-strategy. For subscription analytics dashboards, see app-analytics.",src/aso-skills/skills/subscription-lifecycle/SKILL.md
google-analytics-automation,"Automate Google Analytics tasks via Rube MCP (Composio): run reports, list accounts/properties, funnels, pivots, key events. Always search tools first for current schemas.",src/antigravity-awesome-skills/skills/google-analytics-automation/SKILL.md
Resume Bullet Writer,Transform weak resume bullets into achievement-focused statements with metrics and impact,src/Paramchoudhary-ResumeSkills/skills/resume-bullet-writer/SKILL.md
Resume Quantifier,Find opportunities to add metrics and estimate numbers when exact data unavailable,src/Paramchoudhary-ResumeSkills/skills/resume-quantifier/SKILL.md
ab-test-setup,"Structured guide for setting up A/B tests with mandatory gates for hypothesis, metrics, and execution readiness.",src/antigravity-awesome-skills/plugins/antigravity-bundle-data-analytics/skills/ab-test-setup/SKILL.md
alphafold-database,"Access AlphaFold 200M+ AI-predicted protein structures. Retrieve structures by UniProt ID, download PDB/mmCIF files, analyze confidence metrics (pLDDT, PAE), for drug discovery and structural biology.",src/K-Dense-AI-claude-scientific-skills/scientific-skills/alphafold-database/SKILL.md
analyzing-cloud-storage-access-patterns,"Detect abnormal access patterns in AWS S3, GCS, and Azure Blob Storage by analyzing CloudTrail Data Events, GCS audit logs, and Azure Storage Analytics. Identifies after-hours bulk downloads, access from new IP addresses, unusual API calls (GetObject spikes), and potential data exfiltration using statistical baselines and time-series anomaly detection.",src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-cloud-storage-access-patterns/SKILL.md
azure-ai-textanalytics-py,"Azure AI Text Analytics SDK for sentiment analysis, entity recognition, key phrases, language detection, PII, and healthcare NLP. Use for natural language processing on text.",src/antigravity-awesome-skills/skills/azure-ai-textanalytics-py/SKILL.md
azure-kusto,"Query and analyze data in Azure Data Explorer (Kusto/ADX) using KQL for log analytics, telemetry, and time series analysis. WHEN: KQL queries, Kusto database queries, Azure Data Explorer, ADX clusters, log analytics, time series data, IoT telemetry, anomaly detection.",src/microsoft-skills/.github/plugins/azure-skills/skills/azure-kusto/SKILL.md
azure-monitor-opentelemetry-exporter-java,"Azure Monitor OpenTelemetry Exporter for Java. Export OpenTelemetry traces, metrics, and logs to Azure Monitor/Application Insights.",src/antigravity-awesome-skills/skills/azure-monitor-opentelemetry-exporter-java/SKILL.md
azure-monitor-opentelemetry-ts,"Auto-instrument Node.js applications with distributed tracing, metrics, and logs.",src/antigravity-awesome-skills/plugins/antigravity-bundle-azure-ai-cloud/skills/azure-monitor-opentelemetry-ts/SKILL.md
business-analyst,"Master modern business analysis with AI-powered analytics, real-time dashboards, and data-driven insights. Build comprehensive KPI frameworks, predictive models, and strategic recommendations.",src/antigravity-awesome-skills/plugins/antigravity-bundle-business-analyst/skills/business-analyst/SKILL.md
cc-skill-clickhouse-io,"ClickHouse database patterns, query optimization, analytics, and data engineering best practices for high-performance analytical workloads.",src/antigravity-awesome-skills/skills/cc-skill-clickhouse-io/SKILL.md
charlie,"Your AI CFO for bootstrapped startups, named after Charlie Munger who embodied the principle that capital discipline is a competitive advantage. Provides financial frameworks for cash management, runway calculations, unit economics (LTV:CAC), capital allocation, hiring ROI, burn rate analysis, working capital optimization, and forecasting. Use for questions like ""should we make this hire?"", ""how much runway do we need?"", ""what metrics should I track?"", ""how do I forecast revenue?"", or any strategic financial decision at a self-funded company.",src/charlie-cfo-skill/SKILL.md
competitor-intel,"Analyzes competitors using web research to provide verified business metrics, actionable leverage strategies, and predicted next moves. Use when user needs competitive intelligence, competitor analysis, market positioning insights, or strategic leverage opportunities.",src/founder-skills/skills/competitor-intel/SKILL.md
crash-analytics,"When the user wants to monitor, triage, or reduce their app's crash rate — including setting up Crashlytics, prioritizing which crashes to fix first, interpreting crash data, and understanding how crashes affect App Store ranking. Use when the user mentions ""crash"", ""crashlytics"", ""crash rate"", ""ANR"", ""app not responding"", ""crash-free sessions"", ""crash-free users"", ""symbolication"", ""stability"", ""firebase crashes"", ""app crashing"", or ""crash report"". For overall analytics setup, see app-analytics.",src/aso-skills/skills/crash-analytics/SKILL.md
dask,"Distributed computing for larger-than-RAM pandas/NumPy workflows. Use when you need to scale existing pandas/NumPy code beyond memory or across clusters. Best for parallel file processing, distributed ML, integration with existing pandas code. For out-of-core analytics on single machine use vaex; for in-memory speed use polars.",src/K-Dense-AI-claude-scientific-skills/scientific-skills/dask/SKILL.md
data-scientist,"Expert data scientist for advanced analytics, machine learning, and statistical modeling. Handles complex data analysis, predictive modeling, and business intelligence.",src/antigravity-awesome-skills/skills/data-scientist/SKILL.md
datadog-automation,"Automate Datadog tasks via Rube MCP (Composio): query metrics, search logs, manage monitors/dashboards, create events and downtimes. Always search tools first for current schemas.",src/antigravity-awesome-skills/skills/datadog-automation/SKILL.md
detecting-insider-data-exfiltration-via-dlp,"Detects insider data exfiltration by analyzing DLP policy violations, file access patterns, upload volume anomalies, and off-hours activity in endpoint and cloud logs. Uses pandas for behavioral analytics and statistical baselines. Use when investigating insider threats or building user behavior analytics for data loss prevention.",src/mukul975-Anthropic-Cybersecurity-Skills/skills/detecting-insider-data-exfiltration-via-dlp/SKILL.md
detecting-insider-threat-with-ueba,"Implement User and Entity Behavior Analytics using Elasticsearch/OpenSearch to build behavioral baselines, calculate anomaly scores, perform peer group analysis, and detect insider threat indicators such as data exfiltration, privilege abuse, and unauthorized access patterns.",src/mukul975-Anthropic-Cybersecurity-Skills/skills/detecting-insider-threat-with-ueba/SKILL.md
detecting-typosquatting-packages-in-npm-pypi,"Detects typosquatting attacks in npm and PyPI package registries by analyzing package name similarity using Levenshtein distance and other string metrics, examining publish date heuristics to identify recently created packages mimicking established ones, and flagging download count anomalies where suspicious packages have disproportionately low usage compared to their legitimate targets. The analyst queries the PyPI JSON API and npm registry API to gather package metadata for automated comparison. Activates for requests involving package typosquatting detection, dependency confusion analysis, malicious package identification, or software supply chain threat hunting in package registries.",src/mukul975-Anthropic-Cybersecurity-Skills/skills/detecting-typosquatting-packages-in-npm-pypi/SKILL.md
exploratory-data-analysis,"Perform comprehensive exploratory data analysis on scientific data files across 200+ file formats. This skill should be used when analyzing any scientific data file to understand its structure, content, quality, and characteristics. Automatically detects file type and generates detailed markdown reports with format-specific analysis, quality metrics, and downstream analysis recommendations. Covers chemistry, bioinformatics, microscopy, spectroscopy, proteomics, metabolomics, and general scientific data formats.",src/K-Dense-AI-claude-scientific-skills/scientific-skills/exploratory-data-analysis/SKILL.md
finance-metrics-quickref,"Look up SaaS finance metrics, formulas, and benchmarks fast. Use when you need a quick metric definition, formula, or benchmark during analysis.",src/Product-Manager-Skills/skills/finance-metrics-quickref/SKILL.md
implementing-alert-fatigue-reduction,"Implements strategies to reduce SOC alert fatigue by tuning detection rules, consolidating duplicate alerts, implementing risk-based alerting, and measuring alert quality metrics to maintain analyst effectiveness and prevent critical alert dismissal. Use when SOC teams face overwhelming alert volumes, high false positive rates, or declining analyst performance.",src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-alert-fatigue-reduction/SKILL.md
implementing-dragos-platform-for-ot-monitoring,"Deploy and configure the Dragos Platform for OT network monitoring, leveraging its 600+ industrial protocol parsers, intelligence-driven threat detection analytics, and asset visibility capabilities to protect ICS environments against threat groups like VOLTZITE, GRAPHITE, and BAUXITE.",src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-dragos-platform-for-ot-monitoring/SKILL.md
implementing-siem-use-case-tuning,"Tune SIEM detection rules to reduce false positives by analyzing alert volumes, creating whitelists, adjusting thresholds, and measuring detection efficacy metrics in Splunk and Elastic",src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-siem-use-case-tuning/SKILL.md
implementing-siem-use-cases-for-detection,"Implements SIEM detection use cases by designing correlation rules, threshold alerts, and behavioral analytics mapped to MITRE ATT&CK techniques across Splunk, Elastic, and Sentinel. Use when SOC teams need to expand detection coverage, formalize use case lifecycle management, or build a detection library aligned to organizational threat profile.",src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-siem-use-cases-for-detection/SKILL.md
instagram,"Integracao completa com Instagram via Graph API. Publicacao, analytics, comentarios, DMs, hashtags, agendamento, templates e gestao de contas Business/Creator.",src/antigravity-awesome-skills/skills/instagram/SKILL.md
investigating-insider-threat-indicators,"Investigates insider threat indicators including data exfiltration attempts, unauthorized access patterns, policy violations, and pre-departure behaviors using SIEM analytics, DLP alerts, and HR data correlation. Use when SOC teams receive insider threat referrals from HR, detect anomalous data movement by employees, or need to build investigation timelines for potential insider threats.",src/mukul975-Anthropic-Cybersecurity-Skills/skills/investigating-insider-threat-indicators/SKILL.md
langfuse,"You are an expert in LLM observability and evaluation. You think in terms of traces, spans, and metrics. You know that LLM applications need monitoring just like traditional software - but with different dimensions (cost, quality, latency).",src/antigravity-awesome-skills/plugins/antigravity-bundle-llm-application-developer/skills/langfuse/SKILL.md
medchem,"Medicinal chemistry filters. Apply drug-likeness rules (Lipinski, Veber), PAINS filters, structural alerts, complexity metrics, for compound prioritization and library filtering.",src/K-Dense-AI-claude-scientific-skills/scientific-skills/medchem/SKILL.md
neuropixels-analysis,"Neuropixels neural recording analysis. Load SpikeGLX/OpenEphys data, preprocess, motion correction, Kilosort4 spike sorting, quality metrics, Allen/IBL curation, AI-assisted visual analysis, for Neuropixels 1.0/2.0 extracellular electrophysiology. Use when working with neural recordings, spike sorting, extracellular electrophysiology, or when the user mentions Neuropixels, SpikeGLX, Open Ephys, Kilosort, quality metrics, or unit curation.",src/K-Dense-AI-claude-scientific-skills/scientific-skills/neuropixels-analysis/SKILL.md
observability-monitoring-monitor-setup,"You are a monitoring and observability expert specializing in implementing comprehensive monitoring solutions. Set up metrics collection, distributed tracing, log aggregation, and create insightful da",src/antigravity-awesome-skills/skills/observability-monitoring-monitor-setup/SKILL.md
performing-user-behavior-analytics,"Performs User and Entity Behavior Analytics (UEBA) to detect anomalous user activities including impossible travel, unusual access patterns, privilege abuse, and insider threats using SIEM-based behavioral baselines and statistical analysis. Use when SOC teams need to identify compromised accounts or insider threats through deviation from established behavioral norms.",src/mukul975-Anthropic-Cybersecurity-Skills/skills/performing-user-behavior-analytics/SKILL.md
quant-analyst,"Build financial models, backtest trading strategies, and analyze market data. Implements risk metrics, portfolio optimization, and statistical arbitrage.",src/antigravity-awesome-skills/skills/quant-analyst/SKILL.md
risk-metrics-calculation,"Calculate portfolio risk metrics including VaR, CVaR, Sharpe, Sortino, and drawdown analysis. Use when measuring portfolio risk, implementing risk limits, or building risk monitoring systems.",src/antigravity-awesome-skills/skills/risk-metrics-calculation/SKILL.md
saas-economics-efficiency-metrics,Evaluate SaaS unit economics and capital efficiency. Use when deciding whether the business can scale efficiently or needs correction.,src/Product-Manager-Skills/skills/saas-economics-efficiency-metrics/SKILL.md
scikit-bio,"Biological data toolkit. Sequence analysis, alignments, phylogenetic trees, diversity metrics (alpha/beta, UniFrac), ordination (PCoA), PERMANOVA, FASTA/Newick I/O, for microbiome analysis.",src/K-Dense-AI-claude-scientific-skills/scientific-skills/scikit-bio/SKILL.md
training-check,"Periodically check WandB metrics during training to catch problems early (NaN, loss divergence, idle GPUs). Avoids wasting GPU hours on broken runs. Use when training is running and you want automated health checks.",src/wanshuiyin-Auto-claude-code-research-in-sleep/skills/skills-codex/training-check/SKILL.md
x-twitter-scraper,"X (Twitter) data platform skill — tweet search, user lookup, follower extraction, engagement metrics, giveaway draws, monitoring, webhooks, 19 extraction tools, MCP server.",src/antigravity-awesome-skills/skills/x-twitter-scraper/SKILL.md
youtube-automation,"Automate YouTube tasks via Rube MCP (Composio): upload videos, manage playlists, search content, get analytics, and handle comments. Always search tools first for current schemas.",src/antigravity-awesome-skills/skills/youtube-automation/SKILL.md
dpia-sentinel-oliver-schmidt-prietz,"GDPR Data Protection Impact Assessment (DPIA) guidance under Article 35 GDPR, EDPB Guidelines WP 248 rev.01, EDPB Opinion 28/2024 (AI), and national SA blacklists/whitelists. Triggers: ""DPIA"", ""DSFA"", ""Datenschutz-Folgenabschätzung"", ""impact assessment"", ""Art. 35"", ""do I need a DPIA"", descriptions of new high-risk processing (profiling, AI, biometrics, large-scale monitoring, special category data), Art. 36 prior consultation questions, national blacklist/whitelist queries.",src/lawvable-awesome-legal-skills/skills/dpia-sentinel-oliver-schmidt-prietz/SKILL.md
