skill_id,description,src_path
agent-framework-azure-ai-py,Build persistent agents on Azure AI Foundry using the Microsoft Agent Framework Python SDK.,lib/antigravity-awesome-skills/skills/agent-framework-azure-ai-py/SKILL.md
analyzing-network-flow-data-with-netflow,"Parse NetFlow v9 and IPFIX records to detect volumetric anomalies, port scanning, data exfiltration, and C2 beaconing patterns. Uses the Python netflow library to decode flow records, builds traffic baselines, and applies statistical analysis to identify flows with abnormal byte counts, connection durations, and periodic timing patterns.",lib/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-network-flow-data-with-netflow/SKILL.md
analyzing-powershell-script-block-logging,"Parse Windows PowerShell Script Block Logs (Event ID 4104) from EVTX files to detect obfuscated commands, encoded payloads, and living-off-the-land techniques. Uses python-evtx to extract and reconstruct multi-block scripts, applies entropy analysis and pattern matching for Base64-encoded commands, Invoke-Expression abuse, download cradles, and AMSI bypass attempts.",lib/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-powershell-script-block-logging/SKILL.md
analyzing-windows-prefetch-with-python,"Parse Windows Prefetch files using the windowsprefetch Python library to reconstruct application execution history, detect renamed or masquerading binaries, and identify suspicious program execution patterns.",lib/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-windows-prefetch-with-python/SKILL.md
azure-ai-contentsafety-py,Azure AI Content Safety SDK for Python. Use for detecting harmful content in text and images with multi-severity classification.,lib/antigravity-awesome-skills/skills/azure-ai-contentsafety-py/SKILL.md
azure-ai-contentunderstanding-py,"Azure AI Content Understanding SDK for Python. Use for multimodal content extraction from documents, images, audio, and video.",lib/antigravity-awesome-skills/skills/azure-ai-contentunderstanding-py/SKILL.md
azure-ai-language-conversations-py,"Implement Conversational Language Understanding (CLU) using the azure-ai-language-conversations Python SDK. Use when working with ConversationAnalysisClient to analyze conversation intent and entities, building NLP features, or integrating language understanding into applications.",lib/microsoft-skills/.github/plugins/azure-sdk-python/skills/azure-ai-language-conversations-py/SKILL.md
azure-ai-ml-py,"Azure Machine Learning SDK v2 for Python. Use for ML workspaces, jobs, models, datasets, compute, and pipelines.",lib/antigravity-awesome-skills/skills/azure-ai-ml-py/SKILL.md
azure-ai-transcription-py,Azure AI Transcription SDK for Python. Use for real-time and batch speech-to-text transcription with timestamps and diarization.,lib/antigravity-awesome-skills/skills/azure-ai-transcription-py/SKILL.md
azure-appconfiguration-py,"Azure App Configuration SDK for Python. Use for centralized configuration management, feature flags, and dynamic settings.",lib/antigravity-awesome-skills/skills/azure-appconfiguration-py/SKILL.md
azure-containerregistry-py,"Azure Container Registry SDK for Python. Use for managing container images, artifacts, and repositories.",lib/antigravity-awesome-skills/skills/azure-containerregistry-py/SKILL.md
azure-cosmos-py,"Azure Cosmos DB SDK for Python (NoSQL API). Use for document CRUD, queries, containers, and globally distributed data.",lib/antigravity-awesome-skills/skills/azure-cosmos-py/SKILL.md
azure-data-tables-py,"Azure Tables SDK for Python (Storage and Cosmos DB). Use for NoSQL key-value storage, entity CRUD, and batch operations.",lib/antigravity-awesome-skills/skills/azure-data-tables-py/SKILL.md
azure-eventgrid-py,"Azure Event Grid SDK for Python. Use for publishing events, handling CloudEvents, and event-driven architectures.",lib/antigravity-awesome-skills/skills/azure-eventgrid-py/SKILL.md
azure-eventhub-py,"Azure Event Hubs SDK for Python streaming. Use for high-throughput event ingestion, producers, consumers, and checkpointing.",lib/antigravity-awesome-skills/skills/azure-eventhub-py/SKILL.md
azure-identity-py,"Azure Identity SDK for Python authentication. Use for DefaultAzureCredential, managed identity, service principals, and token caching.",lib/antigravity-awesome-skills/plugins/antigravity-bundle-azure-ai-cloud/skills/azure-identity-py/SKILL.md
azure-keyvault-py,"Azure Key Vault SDK for Python. Use for secrets, keys, and certificates management with secure storage.",lib/antigravity-awesome-skills/skills/azure-keyvault-py/SKILL.md
azure-messaging-webpubsubservice-py,"Azure Web PubSub Service SDK for Python. Use for real-time messaging, WebSocket connections, and pub/sub patterns.",lib/antigravity-awesome-skills/skills/azure-messaging-webpubsubservice-py/SKILL.md
azure-mgmt-apicenter-py,"Azure API Center Management SDK for Python. Use for managing API inventory, metadata, and governance across your organization.",lib/antigravity-awesome-skills/skills/azure-mgmt-apicenter-py/SKILL.md
azure-mgmt-apimanagement-py,"Azure API Management SDK for Python. Use for managing APIM services, APIs, products, subscriptions, and policies.",lib/antigravity-awesome-skills/skills/azure-mgmt-apimanagement-py/SKILL.md
azure-mgmt-botservice-py,"Azure Bot Service Management SDK for Python. Use for creating, managing, and configuring Azure Bot Service resources.",lib/antigravity-awesome-skills/skills/azure-mgmt-botservice-py/SKILL.md
azure-mgmt-fabric-py,Azure Fabric Management SDK for Python. Use for managing Microsoft Fabric capacities and resources.,lib/antigravity-awesome-skills/skills/azure-mgmt-fabric-py/SKILL.md
azure-monitor-ingestion-py,Azure Monitor Ingestion SDK for Python. Use for sending custom logs to Log Analytics workspace via Logs Ingestion API.,lib/antigravity-awesome-skills/skills/azure-monitor-ingestion-py/SKILL.md
azure-monitor-opentelemetry-exporter-py,Azure Monitor OpenTelemetry Exporter for Python. Use for low-level OpenTelemetry export to Application Insights.,lib/antigravity-awesome-skills/skills/azure-monitor-opentelemetry-exporter-py/SKILL.md
azure-monitor-opentelemetry-py,Azure Monitor OpenTelemetry Distro for Python. Use for one-line Application Insights setup with auto-instrumentation.,lib/antigravity-awesome-skills/skills/azure-monitor-opentelemetry-py/SKILL.md
azure-monitor-query-py,Azure Monitor Query SDK for Python. Use for querying Log Analytics workspaces and Azure Monitor metrics.,lib/antigravity-awesome-skills/skills/azure-monitor-query-py/SKILL.md
azure-search-documents-py,"Azure AI Search SDK for Python. Use for vector search, hybrid search, semantic ranking, indexing, and skillsets.",lib/antigravity-awesome-skills/plugins/antigravity-bundle-azure-ai-cloud/skills/azure-search-documents-py/SKILL.md
azure-servicebus-py,"Azure Service Bus SDK for Python messaging. Use for queues, topics, subscriptions, and enterprise messaging patterns.",lib/antigravity-awesome-skills/skills/azure-servicebus-py/SKILL.md
azure-storage-blob-py,"Azure Blob Storage SDK for Python. Use for uploading, downloading, listing blobs, managing containers, and blob lifecycle.",lib/antigravity-awesome-skills/skills/azure-storage-blob-py/SKILL.md
azure-storage-file-datalake-py,"Azure Data Lake Storage Gen2 SDK for Python. Use for hierarchical file systems, big data analytics, and file/directory operations.",lib/antigravity-awesome-skills/skills/azure-storage-file-datalake-py/SKILL.md
azure-storage-file-share-py,"Azure Storage File Share SDK for Python. Use for SMB file shares, directories, and file operations in the cloud.",lib/antigravity-awesome-skills/skills/azure-storage-file-share-py/SKILL.md
azure-storage-queue-py,"Azure Queue Storage SDK for Python. Use for reliable message queuing, task distribution, and asynchronous processing.",lib/antigravity-awesome-skills/skills/azure-storage-queue-py/SKILL.md
dbos-python,"Guide for building reliable, fault-tolerant Python applications with DBOS durable workflows. Use when adding DBOS to existing Python code, creating workflows and steps, or using queues for concurrency control.",lib/antigravity-awesome-skills/skills/dbos-python/SKILL.md
detecting-shadow-it-cloud-usage,"Detect unauthorized SaaS and cloud service usage (shadow IT) by analyzing proxy logs, DNS query logs, and netflow data using Python pandas for traffic pattern analysis and domain classification.",lib/mukul975-Anthropic-Cybersecurity-Skills/skills/detecting-shadow-it-cloud-usage/SKILL.md
django-pro,"Master Django 5.x with async views, DRF, Celery, and Django Channels. Build scalable web applications with proper architecture, testing, and deployment.",lib/antigravity-awesome-skills/plugins/antigravity-bundle-python-pro/skills/django-pro/SKILL.md
edgartools,"Python library for accessing, analyzing, and extracting data from SEC EDGAR filings. Use when working with SEC filings, financial statements (income statement, balance sheet, cash flow), XBRL financial data, insider trading (Form 4), institutional holdings (13F), company financials, annual/quarterly reports (10-K, 10-Q), proxy statements (DEF 14A), 8-K current events, company screening by ticker/CIK/industry, multi-period financial analysis, or any SEC regulatory filings.",lib/K-Dense-AI-claude-scientific-skills/scientific-skills/edgartools/SKILL.md
fastapi-pro,"Build high-performance async APIs with FastAPI, SQLAlchemy 2.0, and Pydantic V2. Master microservices, WebSockets, and modern Python async patterns.",lib/antigravity-awesome-skills/plugins/antigravity-bundle-python-pro/skills/fastapi-pro/SKILL.md
fastapi-router-py,"Create FastAPI routers following established patterns with proper authentication, response models, and HTTP status codes.",lib/antigravity-awesome-skills/skills/fastapi-router-py/SKILL.md
fastapi-templates,"Create production-ready FastAPI projects with async patterns, dependency injection, and comprehensive error handling. Use when building new FastAPI applications or setting up backend API projects.",lib/antigravity-awesome-skills/plugins/antigravity-bundle-python-pro/skills/fastapi-templates/SKILL.md
fluidsim,"Framework for computational fluid dynamics simulations using Python. Use when running fluid dynamics simulations including Navier-Stokes equations (2D/3D), shallow water equations, stratified flows, or when analyzing turbulence, vortex dynamics, or geophysical flows. Provides pseudospectral methods with FFT, HPC support, and comprehensive output analysis.",lib/K-Dense-AI-claude-scientific-skills/scientific-skills/fluidsim/SKILL.md
geopandas,"Python library for working with geospatial vector data including shapefiles, GeoJSON, and GeoPackage files. Use when working with geographic data for spatial analysis, geometric operations, coordinate transformations, spatial joins, overlay operations, choropleth mapping, or any task involving reading/writing/analyzing vector geographic data. Supports PostGIS databases, interactive maps, and integration with matplotlib/folium/cartopy. Use for tasks like buffer analysis, spatial joins between datasets, dissolving boundaries, clipping data, calculating areas/distances, reprojecting coordinate systems, creating maps, or converting between spatial file formats.",lib/K-Dense-AI-claude-scientific-skills/scientific-skills/geopandas/SKILL.md
gget,"Fast CLI/Python queries to 20+ bioinformatics databases. Use for quick lookups: gene info, BLAST searches, AlphaFold structures, enrichment analysis. Best for interactive exploration, simple queries. For batch processing or advanced BLAST use biopython; for multi-database Python workflows use bioservices.",lib/K-Dense-AI-claude-scientific-skills/scientific-skills/gget/SKILL.md
hunting-for-defense-evasion-via-timestomping,Detect NTFS timestamp manipulation (MITRE T1070.006) by comparing $STANDARD_INFORMATION vs $FILE_NAME timestamps in the MFT. Uses analyzeMFT and Python to identify files with anomalous temporal patterns indicating anti-forensic timestomping activity.,lib/mukul975-Anthropic-Cybersecurity-Skills/skills/hunting-for-defense-evasion-via-timestomping/SKILL.md
implementing-mtls-for-zero-trust-services,"Configures mutual TLS (mTLS) authentication between microservices using Python cryptography library for certificate generation and ssl module for TLS verification. Validates certificate chains, checks expiration, and audits mTLS deployment status. Use when implementing zero-trust service-to-service authentication.",lib/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-mtls-for-zero-trust-services/SKILL.md
implementing-network-traffic-baselining,"Build network traffic baselines from NetFlow/IPFIX data using Python pandas for statistical analysis, z-score anomaly detection, and hourly/daily traffic pattern profiling",lib/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-network-traffic-baselining/SKILL.md
m365-agents-py,"Microsoft 365 Agents SDK for Python. Build multichannel agents for Teams/M365/Copilot Studio with aiohttp hosting, AgentApplication routing, streaming responses, and MSAL-based auth.",lib/antigravity-awesome-skills/skills/m365-agents-py/SKILL.md
matlab,"MATLAB and GNU Octave numerical computing for matrix operations, data analysis, visualization, and scientific computing. Use when writing MATLAB/Octave scripts for linear algebra, signal processing, image processing, differential equations, optimization, statistics, or creating scientific visualizations. Also use when the user needs help with MATLAB syntax, functions, or wants to convert between MATLAB and Python code. Scripts can be executed with MATLAB or the open-source GNU Octave interpreter.",lib/K-Dense-AI-claude-scientific-skills/scientific-skills/matlab/SKILL.md
n8n-code-python,"Write Python code in n8n Code nodes. Use when writing Python in n8n, using _input/_json/_node syntax, working with standard library, or need to understand Python limitations in n8n Code nodes.",lib/antigravity-awesome-skills/skills/n8n-code-python/SKILL.md
omero-integration,"Microscopy data management platform. Access images via Python, retrieve datasets, analyze pixels, manage ROIs/annotations, batch processing, for high-content screening and microscopy workflows.",lib/K-Dense-AI-claude-scientific-skills/scientific-skills/omero-integration/SKILL.md
pipecat-friday-agent,"Build a low-latency, Iron Man-inspired tactical voice assistant (F.R.I.D.A.Y.) using Pipecat, Gemini, and OpenAI.",lib/antigravity-awesome-skills/skills/pipecat-friday-agent/SKILL.md
pydeseq2,"Differential gene expression analysis (Python DESeq2). Identify DE genes from bulk RNA-seq counts, Wald tests, FDR correction, volcano/MA plots, for RNA-seq analysis.",lib/K-Dense-AI-claude-scientific-skills/scientific-skills/pydeseq2/SKILL.md
python,"Python development with ruff, mypy, pytest - TDD and type safety",lib/alinaqi-claude-bootstrap/skills/python/SKILL.md
python-development-python-scaffold,"You are a Python project architecture expert specializing in scaffolding production-ready Python applications. Generate complete project structures with modern tooling (uv, FastAPI, Django), type hint",lib/antigravity-awesome-skills/skills/python-development-python-scaffold/SKILL.md
python-ocr-backend-integration,python ocr uackend integration,lib/kreuzberg-dev-kreuzberg/.ai-rulez/domains/ocr-integration/skills/python-ocr-backend-integration/SKILL.md
python-packaging,"Comprehensive guide to creating, structuring, and distributing Python packages using modern packaging tools, pyproject.toml, and publishing to PyPI.",lib/antigravity-awesome-skills/skills/python-packaging/SKILL.md
python-patterns,"Python development principles and decision-making. Framework selection, async patterns, type hints, project structure. Teaches thinking, not copying.",lib/antigravity-awesome-skills/plugins/antigravity-bundle-python-pro/skills/python-patterns/SKILL.md
python-plugin-wrapper,python plugin wrapper,lib/kreuzberg-dev-kreuzberg/.ai-rulez/domains/plugin-system/skills/python-plugin-wrapper/SKILL.md
python-pro,"Master Python 3.12+ with modern features, async programming, performance optimization, and production-ready practices. Expert in the latest Python ecosystem including uv, ruff, pydantic, and FastAPI.",lib/antigravity-awesome-skills/plugins/antigravity-bundle-python-pro/skills/python-pro/SKILL.md
scikit-survival,"Comprehensive toolkit for survival analysis and time-to-event modeling in Python using scikit-survival. Use this skill when working with censored survival data, performing time-to-event analysis, fitting Cox models, Random Survival Forests, Gradient Boosting models, or Survival SVMs, evaluating survival predictions with concordance index or Brier score, handling competing risks, or implementing any survival analysis workflow with the scikit-survival library.",lib/K-Dense-AI-claude-scientific-skills/scientific-skills/scikit-survival/SKILL.md
setup,Detects your Python environment and guides you through installing plugin dependencies. Use on first-time setup or when MCP server fails to start.,lib/bitwize-music-studio-claude-ai-music-skills/skills/setup/SKILL.md
simpy,"Process-based discrete-event simulation framework in Python. Use this skill when building simulations of systems with processes, queues, resources, and time-based events such as manufacturing systems, service operations, network traffic, logistics, or any system where entities interact with shared resources over time.",lib/K-Dense-AI-claude-scientific-skills/scientific-skills/simpy/SKILL.md
