"skill_id","triggers","score","src_path"
"billing-automation","billing;automation","100","skills/billing-automation/SKILL.md"
"carrier-relationship-management","carrier;relationship;management","100","skills/carrier-relationship-management/SKILL.md"
"hubspot-integration","hubspot;integration","100","skills/hubspot-integration/SKILL.md"
"logistics-exception-management","logistics;exception;management","100","skills/logistics-exception-management/SKILL.md"
"micro-saas-launcher","micro;saas;launcher","100","skills/micro-saas-launcher/SKILL.md"
"odoo-accounting-setup","odoo;accounting;setup","100","skills/odoo-accounting-setup/SKILL.md"
"odoo-hr-payroll-setup","odoo;hr;payroll;setup","100","skills/odoo-hr-payroll-setup/SKILL.md"
"odoo-sales-crm-expert","odoo;sales;crm;expert","100","skills/odoo-sales-crm-expert/SKILL.md"
"pakistan-payments-stack","pakistan;payments;stack","100","skills/pakistan-payments-stack/SKILL.md"
"payment-integration","payment;integration","100","skills/payment-integration/SKILL.md"
"production-scheduling","production;scheduling","100","skills/production-scheduling/SKILL.md"
"returns-reverse-logistics","returns;reverse;logistics","100","skills/returns-reverse-logistics/SKILL.md"
"revops","revops","100","skills/revops/SKILL.md"
"risk-metrics-calculation","risk;metrics;calculation","100","skills/risk-metrics-calculation/SKILL.md"
"saas-mvp-launcher","saas;mvp;launcher","100","skills/saas-mvp-launcher/SKILL.md"
"stripe-integration","stripe;integration","100","skills/stripe-integration/SKILL.md"
"saas-revenue-growth-metrics","saas;revenue;growth;metrics","24","skills/saas-revenue-growth-metrics/SKILL.md"
"market-sizing-analysis","market;sizing;analysis","21","skills/market-sizing-analysis/SKILL.md"
"monetization","monetization","19","skills/monetization/SKILL.md"
"saas-economics-efficiency-metrics","saas;economics;efficiency;metrics","16","skills/saas-economics-efficiency-metrics/SKILL.md"
"finance-metrics-quickref","finance;metrics;quickref","15","skills/finance-metrics-quickref/SKILL.md"
"startup-business-analyst-market-opportunity","startup;business;analyst;market;opportunity","15","skills/startup-business-analyst-market-opportunity/SKILL.md"
"implementing-zero-trust-for-saas-applications","implementing;zero;trust;for;saas","12","skills/implementing-zero-trust-for-saas-applications/SKILL.md"
"product-manager","product;manager","11","skills/product-manager/SKILL.md"
"startup-business-analyst-financial-projections","startup;business;analyst;financial;projections","11","skills/startup-business-analyst-financial-projections/SKILL.md"
"finance-based-pricing-advisor","finance;based;pricing;advisor","9","skills/finance-based-pricing-advisor/SKILL.md"
"startup-financial-modeling","startup;financial;modeling","9","skills/startup-financial-modeling/SKILL.md"
"subscription-lifecycle","subscription;lifecycle","9","skills/subscription-lifecycle/SKILL.md"
"business-health-diagnostic","business;health;diagnostic","7","skills/business-health-diagnostic/SKILL.md"
"startup-analyst","startup;analyst","5","skills/startup-analyst/SKILL.md"
"startup-metrics-framework","startup;metrics;framework","5","skills/startup-metrics-framework/SKILL.md"
"storyboard","storyboard","5","skills/storyboard/SKILL.md"
"tts","tts","5","skills/tts/SKILL.md"
