skill_id,description,src_path
conductor-setup,Configure a Rails project to work with Conductor (parallel coding agents),lib/shpigford-skills/conductor-setup/SKILL.md
conventions,../../SKILL.md,lib/ethos-link-rails-conventions/skills/conventions/SKILL.md
django-access-review,django-access-review,lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/django-access-review/SKILL.md
elixir-pro,"Write idiomatic Elixir code with OTP patterns, supervision trees, and Phoenix LiveView. Masters concurrency, fault tolerance, and distributed systems.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/elixir-pro/SKILL.md
fastapi-templates,"Create production-ready FastAPI projects with async patterns, dependency injection, and comprehensive error handling. Use when building new FastAPI applications or setting up backend API projects.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/fastapi-templates/SKILL.md
laravel-plugin-discovery,"Discover and evaluate Laravel packages via LaraPlugins.io MCP. Use when the user wants to find plugins, check package health, or assess Laravel/PHP compatibility.",lib/affaan-m-everything-claude-code/skills/laravel-plugin-discovery/SKILL.md
nemo-guardrails,"NVIDIA's runtime safety framework for LLM applications. Features jailbreak detection, input/output validation, fact-checking, hallucination detection, PII filtering, toxicity detection. Uses Colang 2.0 DSL for programmable rails. Production-ready, runs on T4 GPU.",lib/orchestra-research-ai-research-skills/07-safety-alignment/nemo-guardrails/SKILL.md
new-rails-project,Create a new Rails project,lib/shpigford-skills/new-rails-project/SKILL.md
paypal-integration,"Master PayPal payment integration including Express Checkout, IPN handling, recurring billing, and refund workflows.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/paypal-integration/SKILL.md
rails-upgrade,"Analyze Rails application upgrade path. Checks current version, finds latest release, fetches upgrade notes and diffs, then performs selective upgrade preserving local customizations.",lib/robzolkos-skill-rails-upgrade/SKILL.md
skill-rails-upgrade,Analyze Rails apps and provide upgrade assessments,lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/skill-rails-upgrade/SKILL.md
torch-geometric,"Guide for building Graph Neural Networks with PyTorch Geometric (PyG). Use this skill whenever the user asks about graph neural networks, GNNs, node classification, link prediction, graph classification, message passing networks, heterogeneous graphs, neighbor sampling, or any task involving torch_geometric / PyG. Also trigger when you see imports from torch_geometric, or the user mentions graph convolutions (GCN, GAT, GraphSAGE, GIN), graph data structures, or working with relational/network data. Even if the user just says 'graph learning' or 'geometric deep learning', use this skill.",lib/k-dense-ai-claude-scientific-skills/scientific-skills/torch-geometric/SKILL.md
workflow-orchestration-patterns,"Master workflow orchestration architecture with Temporal, covering fundamental design decisions, resilience patterns, and best practices for building reliable distributed systems.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/workflow-orchestration-patterns/SKILL.md
