skill_id,description,score,phase
ab-test-setup,"When the user wants to plan, design, or implement an A/B test or experiment. Also use when the user mentions ""A/B test,"" ""split test,"" ""experiment,"" ""test this change,"" ""variant copy,"" ""multivariate test,"" ""hypothesis,"" ""should I test this,"" ""which version is better,"" ""test two versions,"" ""statistical significance,"" or ""how long should I run this test."" Use this whenever someone is comparing two approaches and wants to measure which performs better. For tracking implementation, see analytics-tracking. For page-level conversion optimization, see page-cro.",100,4
album-dashboard,"Shows a structured progress dashboard for an album with percentage complete per phase, blocking items, and status breakdown. Use for a quick visual overview of album progress.",100,4
analytics-tracking,"When the user wants to set up, improve, or audit analytics tracking and measurement. Also use when the user mentions ""set up tracking,"" ""GA4,"" ""Google Analytics,"" ""conversion tracking,"" ""event tracking,"" ""UTM parameters,"" ""tag manager,"" ""GTM,"" ""analytics implementation,"" ""tracking plan,"" ""how do I measure this,"" ""track conversions,"" ""attribution,"" ""Mixpanel,"" ""Segment,"" ""are my events firing,"" or ""analytics isn't working."" Use this whenever someone asks how to know if something is working or wants to measure marketing results. For A/B test measurement, see ab-test-setup.",100,4
app-analytics,"When the user wants to set up, interpret, or improve their app analytics and tracking. Also use when the user mentions ""analytics"", ""tracking"", ""metrics"", ""KPIs"", ""App Store Connect analytics"", ""install tracking"", ""funnel"", ""attribution"", or ""how is my app performing"". For A/B testing, see ab-test-store-listing. For retention metrics, see retention-optimization.",100,4
building-incident-response-dashboard,"Builds real-time incident response dashboards in Splunk, Elastic, or Grafana to provide SOC analysts and leadership with situational awareness during active incidents, tracking affected systems, containment status, IOC spread, and response timeline. Use when IR teams need unified visibility during incident coordination and post-incident reporting.",100,4
building-soc-metrics-and-kpi-tracking,"Builds SOC performance metrics and KPI tracking dashboards measuring Mean Time to Detect (MTTD), Mean Time to Respond (MTTR), alert quality ratios, analyst productivity, and detection coverage using SIEM data. Use when SOC leadership needs operational visibility, continuous improvement tracking, or executive-level reporting on security operations effectiveness.",100,4
business-analyst,"Master modern business analysis with AI-powered analytics, real-time dashboards, and data-driven insights. Build comprehensive KPI frameworks, predictive models, and strategic recommendations.",100,4
charlie,"Your AI CFO for bootstrapped startups, named after Charlie Munger who embodied the principle that capital discipline is a competitive advantage. Provides financial frameworks for cash management, runway calculations, unit economics (LTV:CAC), capital allocation, hiring ROI, burn rate analysis, working capital optimization, and forecasting. Use for questions like ""should we make this hire?"", ""how much runway do we need?"", ""what metrics should I track?"", ""how do I forecast revenue?"", or any strategic financial decision at a self-funded company.",100,4
chat-widget,"Build a real-time support chat system with a floating widget for users and an admin dashboard for support staff. Use when the user wants live chat, customer support chat, real-time messaging, or in-app support.",100,4
ecom,"Claude-powered ecommerce business review toolkit for D2C stores. Single command: review. Analyzes order transaction data across multiple time periods (30d/90d/365d), produces KPI trees with health signals, structured findings, and concrete action plans. Triggers on: ""ecommerce review"", ""store review"", ""store health"", ""revenue analysis"", ""customer analysis"", ""product analysis"", ""business review"".",100,4
google-analytics-automation,"Automate Google Analytics tasks via Rube MCP (Composio): run reports, list accounts/properties, funnels, pivots, key events. Always search tools first for current schemas.",100,4
kpi-dashboard-design,Comprehensive patterns for designing effective Key Performance Indicator (KPI) dashboards that drive business decisions.,100,4
llm-evaluation,"Master comprehensive evaluation strategies for LLM applications, from automated metrics to human evaluation and A/B testing.",100,4
metrics-dashboard,"Define and design a product metrics dashboard with key metrics, data sources, visualization types, and alert thresholds. Use when creating a metrics dashboard, defining KPIs, setting up product analytics, or building a data monitoring plan.",100,4
posthog-analytics,"PostHog analytics, event tracking, feature flags, dashboards",100,4
retro,"Weekly engineering retrospective. Analyzes commit history, work patterns, and code quality metrics with persistent history and trend tracking. Team-aware: breaks down per-person contributions with praise and growth areas. Use when asked to ""weekly retro"", ""what did we ship"", or ""engineering retrospective"". Proactively suggest at the end of a work week or sprint. (gstack)",100,4
signup-flow-cro,"When the user wants to optimize signup, registration, account creation, or trial activation flows. Also use when the user mentions ""signup conversions,"" ""registration friction,"" ""signup form optimization,"" ""free trial signup,"" ""reduce signup dropoff,"" ""account creation flow,"" ""people aren't signing up,"" ""signup abandonment,"" ""trial conversion rate,"" ""nobody completes registration,"" ""too many steps to sign up,"" or ""simplify our signup."" Use this whenever the user has a signup or registration flow that isn't performing. For post-signup onboarding, see onboarding-cro. For lead capture forms (not account creation), see form-cro.",100,4
startup-metrics-framework,"Comprehensive guide to tracking, calculating, and optimizing key performance metrics for different startup business models from seed through Series A.",100,4
tensorboard,"Visualize training metrics, debug models with histograms, compare experiments, visualize model graphs, and profile performance with TensorBoard - Google's ML visualization toolkit",100,4
