skill_id,description,src_path
backend-architect,"Expert backend architect specializing in scalable API design, microservices architecture, and distributed systems.",src/antigravity-awesome-skills/skills/backend-architect/SKILL.md
lightning-channel-factories,"Technical reference on Lightning Network channel factories, multi-party channels, LSP architectures, and Bitcoin Layer 2 scaling without soft forks. Covers Decker-Wattenhofer, timeout trees, MuSig2 key aggregation, HTLC/PTLC forwarding, and watchtower breach detection.",src/antigravity-awesome-skills/skills/lightning-channel-factories/SKILL.md
academic-plotting,"Generates publication-quality figures for ML papers from research context. Given a paper section or description, extracts system components and relationships to generate architecture diagrams via Gemini. Given experiment results or data, auto-selects chart type and generates data-driven figures via matplotlib/seaborn. Use when creating any figure for a conference paper.",src/Orchestra-Research-AI-research-SKILLs/20-ml-paper-writing/academic-plotting/SKILL.md
agent-memory-mcp,"A hybrid memory system that provides persistent, searchable knowledge management for AI agents (Architecture, Patterns, Decisions).",src/antigravity-awesome-skills/skills/agent-memory-mcp/SKILL.md
album-conceptualizer,"Designs album concepts, tracklist architecture, and thematic planning through 7 structured phases. Use when planning a new album or reworking an existing album concept.",src/bitwize-music-studio-claude-ai-music-skills/skills/album-conceptualizer/SKILL.md
architect-review,Master software architect specializing in modern architecture,src/antigravity-awesome-skills/skills/architect-review/SKILL.md
architecture-decision-records,"Comprehensive patterns for creating, maintaining, and managing Architecture Decision Records (ADRs) that capture the context and rationale behind significant technical decisions.",src/antigravity-awesome-skills/plugins/antigravity-bundle-architecture-design/skills/architecture-decision-records/SKILL.md
brainstorming,"Use before creative or constructive work (features, architecture, behavior). Transforms vague ideas into validated designs through disciplined reasoning and collaboration.",src/antigravity-awesome-skills/skills/brainstorming/SKILL.md
c4-architecture-c4-architecture,Generate comprehensive C4 architecture documentation for an existing repository/codebase using a bottom-up analysis approach.,src/antigravity-awesome-skills/skills/c4-architecture-c4-architecture/SKILL.md
c4-component,"Expert C4 Component-level documentation specialist. Synthesizes C4 Code-level documentation into Component-level architecture, defining component boundaries, interfaces, and relationships.",src/antigravity-awesome-skills/skills/c4-component/SKILL.md
cloud-solution-architect,"Transform the agent into a Cloud Solution Architect following Azure Architecture Center best practices. Use when designing cloud architectures, reviewing system designs, selecting architecture styles, applying cloud design patterns, making technology choices, or conducting Well-Architected Framework reviews.",src/microsoft-skills/.github/skills/cloud-solution-architect/SKILL.md
codex-collab,"Delegate tasks to Codex — run prompts, code review, research, pair programming, or any collaboration mode. Use when the user asks to use Codex, send work to Codex, have Codex review/investigate/implement something, or collaborate with Codex. Also use proactively when you want external feedback, a second opinion, or a fresh pair of eyes on code, architecture, or decisions.",src/Kevin7Qi-codex-collab/SKILL.md
computer-use-agents,"The fundamental architecture of computer use agents: observe screen, reason about next action, execute action, repeat. This loop integrates vision models with action execution through an iterative pipeline.",src/antigravity-awesome-skills/skills/computer-use-agents/SKILL.md
docs-architect,"Creates comprehensive technical documentation from existing codebases. Analyzes architecture, design patterns, and implementation details to produce long-form technical manuals and ebooks.",src/antigravity-awesome-skills/skills/docs-architect/SKILL.md
document-release,"Post-ship documentation update. Reads all project docs, cross-references the diff, updates README/ARCHITECTURE/CONTRIBUTING/CLAUDE.md to match what shipped, polishes CHANGELOG voice, cleans up TODOS, and optionally bumps VERSION. Use when asked to ""update the docs"", ""sync documentation"", or ""post-ship docs"". Proactively suggest after a PR is merged or code is shipped.",src/gstack/document-release/SKILL.md
domain-driven-design,Plan and route Domain-Driven Design work from strategic modeling to tactical implementation and evented architecture patterns.,src/antigravity-awesome-skills/plugins/antigravity-bundle-ddd-evented-architecture/skills/domain-driven-design/SKILL.md
dse-loop,"Autonomous design space exploration loop for computer architecture and EDA. Runs a program, analyzes results, tunes parameters, and iterates until objective is met or timeout. Use when user says ""DSE"", ""design space exploration"", ""sweep parameters"", ""optimize"", ""find best config"", or wants iterative parameter tuning.",src/wanshuiyin-Auto-claude-code-research-in-sleep/skills/dse-loop/SKILL.md
implementing-just-in-time-access-provisioning,"Implement Just-In-Time (JIT) access provisioning to eliminate standing privileges by granting temporary, time-bound access only when needed. This skill covers JIT architecture design, approval workflo",src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-just-in-time-access-provisioning/SKILL.md
improve-codebase-architecture,"Explore a codebase to find opportunities for architectural improvement, focusing on making the codebase more testable by deepening shallow modules. Use when user wants to improve architecture, find refactoring opportunities, consolidate tightly-coupled modules, or make a codebase more AI-navigable.",src/mattpocock-skills/improve-codebase-architecture/SKILL.md
multi-agent-patterns,"This skill should be used when the user asks to ""design multi-agent system"", ""implement supervisor pattern"", ""create swarm architecture"", ""coordinate multiple agents"", or mentions multi-agent patterns, context isolation, agent handoffs, sub-agents, or parallel agent execution.",src/antigravity-awesome-skills/skills/multi-agent-patterns/SKILL.md
multi-cloud-architecture,"Decision framework and patterns for architecting applications across AWS, Azure, and GCP.",src/antigravity-awesome-skills/skills/multi-cloud-architecture/SKILL.md
nanogpt,"Educational GPT implementation in ~300 lines. Reproduces GPT-2 (124M) on OpenWebText. Clean, hackable code for learning transformers. By Andrej Karpathy. Perfect for understanding GPT architecture from scratch. Train on Shakespeare (CPU) or OpenWebText (multi-GPU).",src/Orchestra-Research-AI-research-SKILLs/01-model-architecture/nanogpt/SKILL.md
paper-illustration,"Generate publication-quality AI illustrations for academic papers using Gemini image generation. Creates architecture diagrams, method illustrations with Claude-supervised iterative refinement loop. Use when user says ""生成图表"", ""画架构图"", ""AI绘图"", ""paper illustration"", ""generate diagram"", or needs visual figures for papers.",src/wanshuiyin-Auto-claude-code-research-in-sleep/skills/paper-illustration/SKILL.md
production-code-audit,"Autonomously deep-scan entire codebase line-by-line, understand architecture and patterns, then systematically transform it to production-grade, corporate-level professional quality with optimizations",src/antigravity-awesome-skills/skills/production-code-audit/SKILL.md
rwkv-architecture,"RNN+Transformer hybrid with O(n) inference. Linear time, infinite context, no KV cache. Train like GPT (parallel), infer like RNN (sequential). Linux Foundation AI project. Production at Windows, Office, NeMo. RWKV-7 (March 2025). Models up to 14B parameters.",src/Orchestra-Research-AI-research-SKILLs/01-model-architecture/rwkv/SKILL.md
uncle-bob-craft,"Use when performing code review, writing or refactoring code, or discussing architecture; complements clean-code and does not replace project linter/formatter.",src/antigravity-awesome-skills/skills/uncle-bob-craft/SKILL.md
wordpress-theme-development,"WordPress theme development workflow covering theme architecture, template hierarchy, custom post types, block editor support, responsive design, and WordPress 7.0 features: DataViews, Pattern Editing, Navigation Overlays, and admin refresh.",src/antigravity-awesome-skills/skills/wordpress-theme-development/SKILL.md
azure-eventgrid-dotnet,"Azure Event Grid SDK for .NET. Client library for publishing and consuming events with Azure Event Grid. Use for event-driven architectures, pub/sub messaging, CloudEvents, and EventGridEvents.",src/antigravity-awesome-skills/skills/azure-eventgrid-dotnet/SKILL.md
distributed-tracing,Implement distributed tracing with Jaeger and Tempo for request flow visibility across microservices.,src/antigravity-awesome-skills/plugins/antigravity-bundle-observability-monitoring/skills/distributed-tracing/SKILL.md
mermaid-expert,"Create Mermaid diagrams for flowcharts, sequences, ERDs, and architectures. Masters syntax for all diagram types and styling.",src/antigravity-awesome-skills/skills/mermaid-expert/SKILL.md
scientific-schematics,"Create publication-quality scientific diagrams using Nano Banana 2 AI with smart iterative refinement. Uses Gemini 3.1 Pro Preview for quality review. Only regenerates if quality is below threshold for your document type. Specialized in neural network architectures, system diagrams, flowcharts, biological pathways, and complex scientific visualizations.",src/K-Dense-AI-claude-scientific-skills/scientific-skills/scientific-schematics/SKILL.md
