skill_id,description,src_path
007,"Security audit, hardening, threat modeling (STRIDE/PASTA), Red/Blue Team, OWASP checks, code review, incident response, and infrastructure security for any project.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/007/SKILL.md
VibeSec-Skill,This skill helps Claude write secure web applications. Use this when working on any web application or when a user requests a scan or audit to ensure security best practices are followed.,lib/behisecc-vibesec-skill/SKILL.md
acquiring-disk-image-with-dd-and-dcfldd,Create forensically sound bit-for-bit disk images using dd and dcfldd while preserving evidence integrity through hash verification.,lib/mukul975-anthropic-cybersecurity-skills/skills/acquiring-disk-image-with-dd-and-dcfldd/SKILL.md
agentic-actions-auditor,"Audits GitHub Actions workflows for security vulnerabilities in AI agent integrations including Claude Code Action, Gemini CLI, OpenAI Codex, and GitHub AI Inference. Detects attack vectors where attacker-controlled input reaches. AI agents running in CI/CD pipelines.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/agentic-actions-auditor/SKILL.md
agentmail,"Email infrastructure for AI agents. Create accounts, send/receive emails, manage webhooks, and check karma balance via the AgentMail API.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/agentmail/SKILL.md
ai-engineering-toolkit,"6 production-ready AI engineering workflows: prompt evaluation (8-dimension scoring), context budget planning, RAG pipeline design, agent security audit (65-point checklist), eval harness building, and product sense coaching.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/ai-engineering-toolkit/SKILL.md
analyzing-active-directory-acl-abuse,"Detect dangerous ACL misconfigurations in Active Directory using ldap3 to identify GenericAll, WriteDACL, and WriteOwner abuse paths",lib/mukul975-anthropic-cybersecurity-skills/skills/analyzing-active-directory-acl-abuse/SKILL.md
analyzing-android-malware-with-apktool,"Perform static analysis of Android APK malware samples using apktool for decompilation, jadx for Java source recovery, and androguard for permission analysis, manifest inspection, and suspicious API call detection.",lib/mukul975-anthropic-cybersecurity-skills/skills/analyzing-android-malware-with-apktool/SKILL.md
analyzing-api-gateway-access-logs,"Parses API Gateway access logs (AWS API Gateway, Kong, Nginx) to detect BOLA/IDOR attacks, rate limit bypass, credential scanning, and injection attempts. Uses pandas for statistical analysis of request patterns and anomaly detection. Use when investigating API abuse or building API-specific threat detection rules.",lib/mukul975-anthropic-cybersecurity-skills/skills/analyzing-api-gateway-access-logs/SKILL.md
analyzing-apt-group-with-mitre-navigator,Analyze advanced persistent threat (APT) group techniques using MITRE ATT&CK Navigator to create layered heatmaps of adversary TTPs for detection gap analysis and threat-informed defense.,lib/mukul975-anthropic-cybersecurity-skills/skills/analyzing-apt-group-with-mitre-navigator/SKILL.md
analyzing-azure-activity-logs-for-threats,"Queries Azure Monitor activity logs and sign-in logs via azure-monitor-query to detect suspicious administrative operations, impossible travel, privilege escalation, and resource modifications. Builds KQL queries for threat hunting in Azure environments. Use when investigating suspicious Azure tenant activity or building cloud SIEM detections.",lib/mukul975-anthropic-cybersecurity-skills/skills/analyzing-azure-activity-logs-for-threats/SKILL.md
