skill_id,description,src_path
async-python-patterns,"Comprehensive guidance for implementing asynchronous Python applications using asyncio, concurrent programming patterns, and async/await for building high-performance, non-blocking systems.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/async-python-patterns/SKILL.md
bioservices,"Unified Python interface to 40+ bioinformatics services. Use when querying multiple databases (UniProt, KEGG, ChEMBL, Reactome) in a single workflow with consistent API. Best for cross-database analysis, ID mapping across services. For quick single-database lookups use gget; for sequence/file manipulation use biopython.",lib/k-dense-ai-claude-scientific-skills/scientific-skills/bioservices/SKILL.md
dbos-python,"Guide for building reliable, fault-tolerant Python applications with DBOS durable workflows. Use when adding DBOS to existing Python code, creating workflows and steps, or using queues for concurrency control.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/dbos-python/SKILL.md
dnanexus-integration,"DNAnexus cloud genomics platform. Build apps/applets, manage data (upload/download), dxpy Python SDK, run workflows, FASTQ/BAM/VCF, for genomics pipeline development and execution.",lib/k-dense-ai-claude-scientific-skills/scientific-skills/dnanexus-integration/SKILL.md
fastapi-pro,"Build high-performance async APIs with FastAPI, SQLAlchemy 2.0, and Pydantic V2. Master microservices, WebSockets, and modern Python async patterns.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/fastapi-pro/SKILL.md
fluidsim,"Framework for computational fluid dynamics simulations using Python. Use when running fluid dynamics simulations including Navier-Stokes equations (2D/3D), shallow water equations, stratified flows, or when analyzing turbulence, vortex dynamics, or geophysical flows. Provides pseudospectral methods with FFT, HPC support, and comprehensive output analysis.",lib/k-dense-ai-claude-scientific-skills/scientific-skills/fluidsim/SKILL.md
geopandas,"Python library for working with geospatial vector data including shapefiles, GeoJSON, and GeoPackage files. Use when working with geographic data for spatial analysis, geometric operations, coordinate transformations, spatial joins, overlay operations, choropleth mapping, or any task involving reading/writing/analyzing vector geographic data. Supports PostGIS databases, interactive maps, and integration with matplotlib/folium/cartopy. Use for tasks like buffer analysis, spatial joins between datasets, dissolving boundaries, clipping data, calculating areas/distances, reprojecting coordinate systems, creating maps, or converting between spatial file formats.",lib/k-dense-ai-claude-scientific-skills/scientific-skills/geopandas/SKILL.md
gget,"Fast CLI/Python queries to 20+ bioinformatics databases. Use for quick lookups: gene info, BLAST searches, AlphaFold structures, enrichment analysis. Best for interactive exploration, simple queries. For batch processing or advanced BLAST use biopython; for multi-database Python workflows use bioservices.",lib/k-dense-ai-claude-scientific-skills/scientific-skills/gget/SKILL.md
hugging-face-gradio,"Build or edit Gradio apps, layouts, components, and chat interfaces in Python.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/hugging-face-gradio/SKILL.md
hugging-face-trackio,"Track ML experiments with Trackio using Python logging, alerts, and CLI metric retrieval.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/hugging-face-trackio/SKILL.md
