skill_id,description,src_path
flowio,"Parse FCS (Flow Cytometry Standard) files v2.0-3.1. Extract events as NumPy arrays, read metadata/channels, convert to CSV/DataFrame, for flow cytometry data preprocessing.",src/K-Dense-AI-claude-scientific-skills/scientific-skills/flowio/SKILL.md
polars,"Fast in-memory DataFrame library for datasets that fit in RAM. Use when pandas is too slow but data still fits in memory. Lazy evaluation, parallel execution, Apache Arrow backend. Best for 1-100GB datasets, ETL pipelines, faster pandas replacement. For larger-than-RAM data use dask or vaex.",src/antigravity-awesome-skills/skills/polars/SKILL.md
ray-data,"Scalable data processing for ML workloads. Streaming execution across CPU/GPU, supports Parquet/CSV/JSON/images. Integrates with Ray Train, PyTorch, TensorFlow. Scales from single machine to 100s of nodes. Use for batch inference, data preprocessing, multi-modal data loading, or distributed ETL pipelines.",src/Orchestra-Research-AI-research-SKILLs/05-data-processing/ray-data/SKILL.md
data-engineering-data-pipeline,"You are a data pipeline architecture expert specializing in scalable, reliable, and cost-effective data pipelines for batch and streaming data processing.",src/antigravity-awesome-skills/skills/data-engineering-data-pipeline/SKILL.md
detecting-beaconing-patterns-with-zeek,"Performs statistical analysis of Zeek conn.log connection intervals to detect C2 beaconing patterns. Uses the ZAT library to load Zeek logs into Pandas DataFrames, calculates inter-arrival time standard deviation, and flags periodic connections with low jitter. Use when hunting for command-and-control callbacks in network data.",src/mukul975-Anthropic-Cybersecurity-Skills/skills/detecting-beaconing-patterns-with-zeek/SKILL.md
image-preprocessing-pipeline,image preprocessing pipeline,src/kreuzberg-dev-kreuzberg/.ai-rulez/domains/ocr-integration/skills/image-preprocessing-pipeline/SKILL.md
ml-pipeline-workflow,Complete end-to-end MLOps pipeline orchestration from data preparation through model deployment.,src/antigravity-awesome-skills/skills/ml-pipeline-workflow/SKILL.md
snowflake-development,"Comprehensive Snowflake development assistant covering SQL best practices, data pipeline design (Dynamic Tables, Streams, Tasks, Snowpipe), Cortex AI functions, Cortex Agents, Snowpark Python, dbt integration, performance tuning, and security hardening.",src/antigravity-awesome-skills/skills/snowflake-development/SKILL.md
umap-learn,"UMAP dimensionality reduction. Fast nonlinear manifold learning for 2D/3D visualization, clustering preprocessing (HDBSCAN), supervised/parametric UMAP, for high-dimensional data.",src/K-Dense-AI-claude-scientific-skills/scientific-skills/umap-learn/SKILL.md
xlsx,"Use this skill any time a spreadsheet file is the primary input or output. This means any task where the user wants to: open, read, edit, or fix an existing .xlsx, .xlsm, .csv, or .tsv file (e.g., adding columns, computing formulas, formatting, charting, cleaning messy data); create a new spreadsheet from scratch or from other data sources; or convert between tabular file formats. Trigger especially when the user references a spreadsheet file by name or path — even casually (like ""the xlsx in my downloads"") — and wants something done to it or produced from it. Also trigger for cleaning or restructuring messy tabular data files (malformed rows, misplaced headers, junk data) into proper spreadsheets. The deliverable must be a spreadsheet file. Do NOT trigger when the primary deliverable is a Word document, HTML report, standalone Python script, database pipeline, or Google Sheets API integration, even if tabular data is involved.",src/K-Dense-AI-claude-scientific-skills/scientific-skills/xlsx/SKILL.md
