skill_id,description,score,phase
agent-framework-azure-ai-py,Build persistent agents on Azure AI Foundry using the Microsoft Agent Framework Python SDK.,100,1
analyzing-network-flow-data-with-netflow,"Parse NetFlow v9 and IPFIX records to detect volumetric anomalies, port scanning, data exfiltration, and C2 beaconing patterns. Uses the Python netflow library to decode flow records, builds traffic baselines, and applies statistical analysis to identify flows with abnormal byte counts, connection durations, and periodic timing patterns.",100,1
analyzing-powershell-script-block-logging,"Parse Windows PowerShell Script Block Logs (Event ID 4104) from EVTX files to detect obfuscated commands, encoded payloads, and living-off-the-land techniques. Uses python-evtx to extract and reconstruct multi-block scripts, applies entropy analysis and pattern matching for Base64-encoded commands, Invoke-Expression abuse, download cradles, and AMSI bypass attempts.",100,1
analyzing-windows-prefetch-with-python,"Parse Windows Prefetch files using the windowsprefetch Python library to reconstruct application execution history, detect renamed or masquerading binaries, and identify suspicious program execution patterns.",100,1
azure-ai-contentsafety-py,Azure AI Content Safety SDK for Python. Use for detecting harmful content in text and images with multi-severity classification.,100,1
azure-ai-contentunderstanding-py,"Azure AI Content Understanding SDK for Python. Use for multimodal content extraction from documents, images, audio, and video.",100,1
azure-ai-language-conversations-py,"Implement Conversational Language Understanding (CLU) using the azure-ai-language-conversations Python SDK. Use when working with ConversationAnalysisClient to analyze conversation intent and entities, building NLP features, or integrating language understanding into applications.",100,1
azure-ai-ml-py,"Azure Machine Learning SDK v2 for Python. Use for ML workspaces, jobs, models, datasets, compute, and pipelines.",100,1
azure-ai-transcription-py,Azure AI Transcription SDK for Python. Use for real-time and batch speech-to-text transcription with timestamps and diarization.,100,1
azure-appconfiguration-py,"Azure App Configuration SDK for Python. Use for centralized configuration management, feature flags, and dynamic settings.",100,1
azure-containerregistry-py,"Azure Container Registry SDK for Python. Use for managing container images, artifacts, and repositories.",100,1
azure-cosmos-py,"Azure Cosmos DB SDK for Python (NoSQL API). Use for document CRUD, queries, containers, and globally distributed data.",100,1
azure-data-tables-py,"Azure Tables SDK for Python (Storage and Cosmos DB). Use for NoSQL key-value storage, entity CRUD, and batch operations.",100,1
azure-eventgrid-py,"Azure Event Grid SDK for Python. Use for publishing events, handling CloudEvents, and event-driven architectures.",100,1
azure-eventhub-py,"Azure Event Hubs SDK for Python streaming. Use for high-throughput event ingestion, producers, consumers, and checkpointing.",100,1
azure-identity-py,"Azure Identity SDK for Python authentication. Use for DefaultAzureCredential, managed identity, service principals, and token caching.",100,1
azure-keyvault-py,"Azure Key Vault SDK for Python. Use for secrets, keys, and certificates management with secure storage.",100,1
azure-messaging-webpubsubservice-py,"Azure Web PubSub Service SDK for Python. Use for real-time messaging, WebSocket connections, and pub/sub patterns.",100,1
azure-mgmt-apicenter-py,"Azure API Center Management SDK for Python. Use for managing API inventory, metadata, and governance across your organization.",100,1
azure-mgmt-apimanagement-py,"Azure API Management SDK for Python. Use for managing APIM services, APIs, products, subscriptions, and policies.",100,1
azure-mgmt-botservice-py,"Azure Bot Service Management SDK for Python. Use for creating, managing, and configuring Azure Bot Service resources.",100,1
azure-mgmt-fabric-py,Azure Fabric Management SDK for Python. Use for managing Microsoft Fabric capacities and resources.,100,1
azure-monitor-ingestion-py,Azure Monitor Ingestion SDK for Python. Use for sending custom logs to Log Analytics workspace via Logs Ingestion API.,100,1
azure-monitor-opentelemetry-exporter-py,Azure Monitor OpenTelemetry Exporter for Python. Use for low-level OpenTelemetry export to Application Insights.,100,1
azure-monitor-opentelemetry-py,Azure Monitor OpenTelemetry Distro for Python. Use for one-line Application Insights setup with auto-instrumentation.,100,1
azure-monitor-query-py,Azure Monitor Query SDK for Python. Use for querying Log Analytics workspaces and Azure Monitor metrics.,100,1
azure-search-documents-py,"Azure AI Search SDK for Python. Use for vector search, hybrid search, semantic ranking, indexing, and skillsets.",100,1
azure-servicebus-py,"Azure Service Bus SDK for Python messaging. Use for queues, topics, subscriptions, and enterprise messaging patterns.",100,1
azure-storage-blob-py,"Azure Blob Storage SDK for Python. Use for uploading, downloading, listing blobs, managing containers, and blob lifecycle.",100,1
azure-storage-file-datalake-py,"Azure Data Lake Storage Gen2 SDK for Python. Use for hierarchical file systems, big data analytics, and file/directory operations.",100,1
azure-storage-file-share-py,"Azure Storage File Share SDK for Python. Use for SMB file shares, directories, and file operations in the cloud.",100,1
azure-storage-queue-py,"Azure Queue Storage SDK for Python. Use for reliable message queuing, task distribution, and asynchronous processing.",100,1
dbos-python,"Guide for building reliable, fault-tolerant Python applications with DBOS durable workflows. Use when adding DBOS to existing Python code, creating workflows and steps, or using queues for concurrency control.",100,1
detecting-shadow-it-cloud-usage,"Detect unauthorized SaaS and cloud service usage (shadow IT) by analyzing proxy logs, DNS query logs, and netflow data using Python pandas for traffic pattern analysis and domain classification.",100,1
django-pro,"Master Django 5.x with async views, DRF, Celery, and Django Channels. Build scalable web applications with proper architecture, testing, and deployment.",100,1
edgartools,"Python library for accessing, analyzing, and extracting data from SEC EDGAR filings. Use when working with SEC filings, financial statements (income statement, balance sheet, cash flow), XBRL financial data, insider trading (Form 4), institutional holdings (13F), company financials, annual/quarterly reports (10-K, 10-Q), proxy statements (DEF 14A), 8-K current events, company screening by ticker/CIK/industry, multi-period financial analysis, or any SEC regulatory filings.",100,1
fastapi-pro,"Build high-performance async APIs with FastAPI, SQLAlchemy 2.0, and Pydantic V2. Master microservices, WebSockets, and modern Python async patterns.",100,1
fastapi-router-py,"Create FastAPI routers following established patterns with proper authentication, response models, and HTTP status codes.",100,1
fastapi-templates,"Create production-ready FastAPI projects with async patterns, dependency injection, and comprehensive error handling. Use when building new FastAPI applications or setting up backend API projects.",100,1
fluidsim,"Framework for computational fluid dynamics simulations using Python. Use when running fluid dynamics simulations including Navier-Stokes equations (2D/3D), shallow water equations, stratified flows, or when analyzing turbulence, vortex dynamics, or geophysical flows. Provides pseudospectral methods with FFT, HPC support, and comprehensive output analysis.",100,1
geopandas,"Python library for working with geospatial vector data including shapefiles, GeoJSON, and GeoPackage files. Use when working with geographic data for spatial analysis, geometric operations, coordinate transformations, spatial joins, overlay operations, choropleth mapping, or any task involving reading/writing/analyzing vector geographic data. Supports PostGIS databases, interactive maps, and integration with matplotlib/folium/cartopy. Use for tasks like buffer analysis, spatial joins between datasets, dissolving boundaries, clipping data, calculating areas/distances, reprojecting coordinate systems, creating maps, or converting between spatial file formats.",100,1
gget,"Fast CLI/Python queries to 20+ bioinformatics databases. Use for quick lookups: gene info, BLAST searches, AlphaFold structures, enrichment analysis. Best for interactive exploration, simple queries. For batch processing or advanced BLAST use biopython; for multi-database Python workflows use bioservices.",100,1
hunting-for-defense-evasion-via-timestomping,Detect NTFS timestamp manipulation (MITRE T1070.006) by comparing $STANDARD_INFORMATION vs $FILE_NAME timestamps in the MFT. Uses analyzeMFT and Python to identify files with anomalous temporal patterns indicating anti-forensic timestomping activity.,100,1
