skill_id,description,src_path
java-pro,"Master Java 21+ with modern features like virtual threads, pattern matching, and Spring Boot 3.x. Expert in the latest Java ecosystem including GraalVM, Project Loom, and cloud-native patterns.",src/antigravity-awesome-skills/skills/java-pro/SKILL.md
azure-ai-agents-persistent-java,"Azure AI Agents Persistent SDK for Java. Low-level SDK for creating and managing AI agents with threads, messages, runs, and tools.",src/antigravity-awesome-skills/skills/azure-ai-agents-persistent-java/SKILL.md
azure-ai-anomalydetector-java,"Build anomaly detection applications with Azure AI Anomaly Detector SDK for Java. Use when implementing univariate/multivariate anomaly detection, time-series analysis, or AI-powered monitoring.",src/antigravity-awesome-skills/skills/azure-ai-anomalydetector-java/SKILL.md
azure-ai-formrecognizer-java,Build document analysis applications using the Azure AI Document Intelligence SDK for Java.,src/antigravity-awesome-skills/skills/azure-ai-formrecognizer-java/SKILL.md
azure-ai-projects-java,"Azure AI Projects SDK for Java. High-level SDK for Azure AI Foundry project management including connections, datasets, indexes, and evaluations.",src/antigravity-awesome-skills/skills/azure-ai-projects-java/SKILL.md
azure-ai-vision-imageanalysis-java,"Build image analysis applications with Azure AI Vision SDK for Java. Use when implementing image captioning, OCR text extraction, object detection, tagging, or smart cropping.",src/antigravity-awesome-skills/skills/azure-ai-vision-imageanalysis-java/SKILL.md
azure-ai-voicelive-java,Azure AI VoiceLive SDK for Java. Real-time bidirectional voice conversations with AI assistants using WebSocket.,src/antigravity-awesome-skills/skills/azure-ai-voicelive-java/SKILL.md
azure-appconfiguration-java,"Azure App Configuration SDK for Java. Centralized application configuration management with key-value settings, feature flags, and snapshots.",src/antigravity-awesome-skills/skills/azure-appconfiguration-java/SKILL.md
azure-communication-callautomation-java,"Build server-side call automation workflows including IVR systems, call routing, recording, and AI-powered interactions.",src/antigravity-awesome-skills/skills/azure-communication-callautomation-java/SKILL.md
azure-communication-callingserver-java,"⚠️ DEPRECATED: This SDK has been renamed to Call Automation. For new projects, use azure-communication-callautomation instead. This skill is for maintaining legacy code only.",src/antigravity-awesome-skills/skills/azure-communication-callingserver-java/SKILL.md
azure-communication-chat-java,"Build real-time chat applications with thread management, messaging, participants, and read receipts.",src/antigravity-awesome-skills/skills/azure-communication-chat-java/SKILL.md
azure-communication-common-java,"Azure Communication Services common utilities for Java. Use when working with CommunicationTokenCredential, user identifiers, token refresh, or shared authentication across ACS services.",src/antigravity-awesome-skills/skills/azure-communication-common-java/SKILL.md
azure-communication-sms-java,"Send SMS messages with Azure Communication Services SMS Java SDK. Use when implementing SMS notifications, alerts, OTP delivery, bulk messaging, or delivery reports.",src/antigravity-awesome-skills/skills/azure-communication-sms-java/SKILL.md
azure-compute-batch-java,"Azure Batch SDK for Java. Run large-scale parallel and HPC batch jobs with pools, jobs, tasks, and compute nodes.",src/antigravity-awesome-skills/skills/azure-compute-batch-java/SKILL.md
azure-data-tables-java,Build table storage applications using the Azure Tables SDK for Java. Works with both Azure Table Storage and Cosmos DB Table API.,src/antigravity-awesome-skills/skills/azure-data-tables-java/SKILL.md
azure-eventgrid-java,"Build event-driven applications with Azure Event Grid SDK for Java. Use when publishing events, implementing pub/sub patterns, or integrating with Azure services via events.",src/antigravity-awesome-skills/skills/azure-eventgrid-java/SKILL.md
azure-eventhub-java,"Build real-time streaming applications with Azure Event Hubs SDK for Java. Use when implementing event streaming, high-throughput data ingestion, or building event-driven architectures.",src/antigravity-awesome-skills/skills/azure-eventhub-java/SKILL.md
azure-identity-java,Authenticate Java applications with Azure services using Microsoft Entra ID (Azure AD).,src/antigravity-awesome-skills/skills/azure-identity-java/SKILL.md
