skill_id,description,src_path
gmail,"Interact with Gmail - search emails, read messages, send emails, create drafts, and manage labels. Use when user asks to: search email, read email, send email, create email draft, mark as read, archive email, star email, or manage Gmail labels. Lightweight alternative to full Google Workspace MCP server with standalone OAuth authentication.",src/sanjay3290-ai-skills/skills/gmail/SKILL.md
gmail-automation,Lightweight Gmail integration with standalone OAuth authentication. No MCP server required.,src/antigravity-awesome-skills/skills/gmail-automation/SKILL.md
google-calendar,"Interact with Google Calendar - list calendars, view events, create/update/delete events, and find free time. Use when user asks to: check calendar, schedule a meeting, create an event, find available time, list upcoming events, delete or update a calendar event, or respond to meeting invitations. Lightweight alternative to full Google Workspace MCP server with standalone OAuth authentication.",src/sanjay3290-ai-skills/skills/google-calendar/SKILL.md
google-calendar-automation,Lightweight Google Calendar integration with standalone OAuth authentication. No MCP server required.,src/antigravity-awesome-skills/plugins/antigravity-bundle-revops-crm-automation/skills/google-calendar-automation/SKILL.md
google-chat,"Interact with Google Chat - list spaces, send messages, read conversations, and manage DMs. Use when user asks to: send a message on Google Chat, read chat messages, list chat spaces, find a chat room, send a DM, or create a new chat space. Lightweight alternative to full Google Workspace MCP server with standalone OAuth authentication.",src/sanjay3290-ai-skills/skills/google-chat/SKILL.md
google-docs,"Interact with Google Docs - create documents, search by title, read content, and edit text. Use when user asks to: create a Google Doc, find a document, read doc content, add text to a doc, or replace text in a document. Lightweight alternative to full Google Workspace MCP server with standalone OAuth authentication.",src/sanjay3290-ai-skills/skills/google-docs/SKILL.md
google-docs-automation,Lightweight Google Docs integration with standalone OAuth authentication. No MCP server required.,src/antigravity-awesome-skills/skills/google-docs-automation/SKILL.md
google-drive,"Interact with Google Drive - search files, find folders, list contents, download files, upload files, create folders, move, copy, rename, and trash files. Use when user asks to: search Google Drive, find a file/folder, list Drive contents, download or upload files, create folders, move files, or organize Drive content. Lightweight integration with standalone OAuth authentication supporting full read/write access.",src/sanjay3290-ai-skills/skills/google-drive/SKILL.md
google-drive-automation,Lightweight Google Drive integration with standalone OAuth authentication. No MCP server required. Full read/write access.,src/antigravity-awesome-skills/skills/google-drive-automation/SKILL.md
google-sheets,"Read and write Google Sheets spreadsheets - get content, update cells, append rows, fetch specific ranges, search for spreadsheets, and view metadata. Use when user asks to: read a spreadsheet, update cells, add data to Google Sheets, find a spreadsheet, check sheet contents, export spreadsheet data, or get cell values. Lightweight integration with standalone OAuth authentication supporting full read/write access.",src/sanjay3290-ai-skills/skills/google-sheets/SKILL.md
google-sheets-automation,Lightweight Google Sheets integration with standalone OAuth authentication. No MCP server required. Full read/write access.,src/antigravity-awesome-skills/plugins/antigravity-bundle-documents-presentations/skills/google-sheets-automation/SKILL.md
google-slides,"Read and write Google Slides presentations - get text, find presentations, create presentations, add slides, replace text, and manage slide content. Use when user asks to: read a presentation, create slides, find slides, add a slide, replace text in a presentation, or manage presentation content. Lightweight integration with standalone OAuth authentication supporting full read/write access.",src/sanjay3290-ai-skills/skills/google-slides/SKILL.md
google-slides-automation,Lightweight Google Slides integration with standalone OAuth authentication. No MCP server required. Full read/write access.,src/antigravity-awesome-skills/plugins/antigravity-bundle-documents-presentations/skills/google-slides-automation/SKILL.md
aws-cost-operations,"AWS cost optimization, monitoring, and operational excellence expert. Use when analyzing AWS bills, estimating costs, setting up CloudWatch alarms, querying logs, auditing CloudTrail activity, or assessing security posture. Essential when user mentions AWS costs, spending, billing, budget, pricing, CloudWatch, observability, monitoring, alerting, CloudTrail, audit, or wants to optimize AWS infrastructure costs and operational efficiency.",src/zxkane-aws-skills/plugins/aws-cost-ops/skills/aws-cost-operations/SKILL.md
