skill_id,description,src_path
address-github-comments,Use when you need to address review or issue comments on an open GitHub Pull Request using the gh CLI.,lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/address-github-comments/SKILL.md
agent-framework-azure-ai-py,"Build Azure AI Foundry agents using the Microsoft Agent Framework Python SDK (agent-framework-azure-ai). Use when creating persistent agents with AzureAIAgentsProvider, using hosted tools (code interpreter, file search, web search), integrating MCP servers, managing conversation threads, or implementing streaming responses. Covers function tools, structured outputs, and multi-tool agents.",lib/microsoft-skills/.github/plugins/azure-sdk-python/skills/agent-framework-azure-ai-py/SKILL.md
git-commit,"Creates git commits following Conventional Commits format with type/scope/subject. Use when user wants to commit changes, create commit, save work, or stage and commit. Enforces project-specific conventions from CLAUDE.md.",lib/fvadicamo-dev-agent-skills/skills/git-commit/SKILL.md
github-pr-creation,"Creates GitHub Pull Requests with automated validation and task tracking. Use when user wants to create PR, open pull request, submit for review, or check if ready for PR. Analyzes commits, validates task completion, generates Conventional Commits title and description, suggests labels. NOTE - for merging existing PRs, use github-pr-merge instead.",lib/fvadicamo-dev-agent-skills/skills/github-pr-creation/SKILL.md
github-pr-merge,"Merges GitHub Pull Requests after validating pre-merge checklist. Use when user wants to merge PR, close PR, finalize PR, complete merge, approve and merge, or execute merge. Runs pre-merge validation (tests, lint, CI, comments), confirms with user, merges with proper format, handles post-merge cleanup.",lib/fvadicamo-dev-agent-skills/skills/github-pr-merge/SKILL.md
github-pr-review,"Handles PR review comments and feedback resolution. Use when user wants to resolve PR comments, handle review feedback, fix review comments, address PR review, check review status, respond to reviewer, verify PR readiness, review PR comments, analyze review feedback, evaluate PR comments, assess review suggestions, or triage PR comments. Fetches comments via GitHub CLI, classifies by severity, applies fixes with user confirmation, commits with proper format, replies to threads.",lib/fvadicamo-dev-agent-skills/skills/github-pr-review/SKILL.md
agents-v2-py,"Build container-based Foundry Agents using Azure AI Projects SDK with ImageBasedHostedAgentDefinition. Use when creating hosted agents that run custom code in Azure AI Foundry with your own container images. Triggers: ""ImageBasedHostedAgentDefinition"", ""hosted agent"", ""container agent"", ""Foundry Agent"", ""create_version"", ""ProtocolVersionRecord"", ""AgentProtocol.RESPONSES"", ""custom agent image"".",lib/microsoft-skills/.github/plugins/azure-sdk-python/skills/agents-v2-py/SKILL.md
app-store-changelog,Generate user-facing App Store release notes from git history since the last tag.,lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/app-store-changelog/SKILL.md
appinsights-instrumentation,"Guidance for instrumenting webapps with Azure Application Insights. Provides telemetry patterns, SDK setup, and configuration references. WHEN: how to instrument app, App Insights SDK, telemetry patterns, what is App Insights, Application Insights guidance, instrumentation examples, APM best practices.",lib/microsoft-skills/.github/plugins/azure-skills/skills/appinsights-instrumentation/SKILL.md
asc-whats-new-writer,"Generate engaging, localized App Store release notes (What's New) from git log, bullet points, or free text using canonical metadata under `./metadata`. Optionally pairs with promotional text updates.",lib/rudrankriyam-app-store-connect-cli-skills/skills/asc-whats-new-writer/SKILL.md
autofix,Auto-fix CodeRabbit review comments - get CodeRabbit review comments from GitHub and fix them interactively or in batch,lib/coderabbitai-skills/skills/autofix/SKILL.md
azure-ai,"Use for Azure AI: Search, Speech, OpenAI, Document Intelligence. Helps with search, vector/hybrid search, speech-to-text, text-to-speech, transcription, OCR. WHEN: AI Search, query search, vector search, hybrid search, semantic search, speech-to-text, text-to-speech, transcribe, OCR, convert text to speech.",lib/microsoft-skills/.github/plugins/azure-skills/skills/azure-ai/SKILL.md
azure-ai-agents-persistent-dotnet,"Azure AI Agents Persistent SDK for .NET. Low-level SDK for creating and managing AI agents with threads, messages, runs, and tools. Use for agent CRUD, conversation threads, streaming responses, function calling, file search, and code interpreter. Triggers: ""PersistentAgentsClient"", ""persistent agents"", ""agent threads"", ""agent runs"", ""streaming agents"", ""function calling agents .NET"".",lib/microsoft-skills/.github/plugins/azure-sdk-dotnet/skills/azure-ai-agents-persistent-dotnet/SKILL.md
azure-ai-agents-persistent-java,"Azure AI Agents Persistent SDK for Java. Low-level SDK for creating and managing AI agents with threads, messages, runs, and tools. Triggers: ""PersistentAgentsClient"", ""persistent agents java"", ""agent threads java"", ""agent runs java"", ""streaming agents java"".",lib/microsoft-skills/.github/plugins/azure-sdk-java/skills/azure-ai-agents-persistent-java/SKILL.md
azure-ai-anomalydetector-java,"Build anomaly detection applications with Azure AI Anomaly Detector SDK for Java. Use when implementing univariate/multivariate anomaly detection, time-series analysis, or AI-powered monitoring.",lib/microsoft-skills/.github/plugins/azure-sdk-java/skills/azure-ai-anomalydetector-java/SKILL.md
azure-ai-contentsafety-java,"Build content moderation applications with Azure AI Content Safety SDK for Java. Use when implementing text/image analysis, blocklist management, or harm detection for hate, violence, sexual content, and self-harm.",lib/microsoft-skills/.github/plugins/azure-sdk-java/skills/azure-ai-contentsafety-java/SKILL.md
azure-ai-contentsafety-py,"Azure AI Content Safety SDK for Python. Use for detecting harmful content in text and images with multi-severity classification. Triggers: ""azure-ai-contentsafety"", ""ContentSafetyClient"", ""content moderation"", ""harmful content"", ""text analysis"", ""image analysis"".",lib/microsoft-skills/.github/plugins/azure-sdk-python/skills/azure-ai-contentsafety-py/SKILL.md
azure-ai-contentsafety-ts,"Analyze text and images for harmful content using Azure AI Content Safety (@azure-rest/ai-content-safety). Use when moderating user-generated content, detecting hate speech, violence, sexual content, or self-harm, or managing custom blocklists.",lib/microsoft-skills/.github/plugins/azure-sdk-typescript/skills/azure-ai-contentsafety-ts/SKILL.md
azure-ai-contentunderstanding-py,"Azure AI Content Understanding SDK for Python. Use for multimodal content extraction from documents, images, audio, and video. Triggers: ""azure-ai-contentunderstanding"", ""ContentUnderstandingClient"", ""multimodal analysis"", ""document extraction"", ""video analysis"", ""audio transcription"".",lib/microsoft-skills/.github/plugins/azure-sdk-python/skills/azure-ai-contentunderstanding-py/SKILL.md
azure-ai-document-intelligence-dotnet,"Azure AI Document Intelligence SDK for .NET. Extract text, tables, and structured data from documents using prebuilt and custom models. Use for invoice processing, receipt extraction, ID document analysis, and custom document models. Triggers: ""Document Intelligence"", ""DocumentIntelligenceClient"", ""form recognizer"", ""invoice extraction"", ""receipt OCR"", ""document analysis .NET"".",lib/microsoft-skills/.github/plugins/azure-sdk-dotnet/skills/azure-ai-document-intelligence-dotnet/SKILL.md
azure-ai-document-intelligence-ts,"Extract text, tables, and structured data from documents using Azure Document Intelligence (@azure-rest/ai-document-intelligence). Use when processing invoices, receipts, IDs, forms, or building custom document models.",lib/microsoft-skills/.github/plugins/azure-sdk-typescript/skills/azure-ai-document-intelligence-ts/SKILL.md
azure-ai-formrecognizer-java,"Build document analysis applications with Azure Document Intelligence (Form Recognizer) SDK for Java. Use when extracting text, tables, key-value pairs from documents, receipts, invoices, or building custom document models.",lib/microsoft-skills/.github/plugins/azure-sdk-java/skills/azure-ai-formrecognizer-java/SKILL.md
azure-ai-language-conversations-py,"Implement Conversational Language Understanding (CLU) using the azure-ai-language-conversations Python SDK. Use when working with ConversationAnalysisClient to analyze conversation intent and entities, building NLP features, or integrating language understanding into applications.",lib/microsoft-skills/.github/plugins/azure-sdk-python/skills/azure-ai-language-conversations-py/SKILL.md
azure-ai-ml-py,"Azure Machine Learning SDK v2 for Python. Use for ML workspaces, jobs, models, datasets, compute, and pipelines. Triggers: ""azure-ai-ml"", ""MLClient"", ""workspace"", ""model registry"", ""training jobs"", ""datasets"".",lib/microsoft-skills/.github/plugins/azure-sdk-python/skills/azure-ai-ml-py/SKILL.md
azure-ai-openai-dotnet,"Azure OpenAI SDK for .NET. Client library for Azure OpenAI and OpenAI services. Use for chat completions, embeddings, image generation, audio transcription, and assistants. Triggers: ""Azure OpenAI"", ""AzureOpenAIClient"", ""ChatClient"", ""chat completions .NET"", ""GPT-4"", ""embeddings"", ""DALL-E"", ""Whisper"", ""OpenAI .NET"".",lib/microsoft-skills/.github/plugins/azure-sdk-dotnet/skills/azure-ai-openai-dotnet/SKILL.md
azure-ai-projects-dotnet,"Azure AI Projects SDK for .NET. High-level client for Azure AI Foundry projects including agents, connections, datasets, deployments, evaluations, and indexes. Use for AI Foundry project management, versioned agents, and orchestration. Triggers: ""AI Projects"", ""AIProjectClient"", ""Foundry project"", ""versioned agents"", ""evaluations"", ""datasets"", ""connections"", ""deployments .NET"".",lib/microsoft-skills/.github/plugins/azure-sdk-dotnet/skills/azure-ai-projects-dotnet/SKILL.md
