"id","description","path","triggers","src","primary_hub","assigned_hubs","match_score","is_primary"
"algorithmic-art","Algorithmic philosophies are computational aesthetic movements that are then expressed through code. Output .md files (philosophy), .html files (interactive viewer), and .js files (generative algorithms).","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-creative-director/skills/algorithmic-art/SKILL.md","algorithmic;art","external:antigravity-awesome-skills","frontend/web-basics","frontend/web-basics","4","true"
"analyzing-malicious-url-with-urlscan","URLScan.io is a free service for scanning and analyzing suspicious URLs. It captures screenshots, DOM content, HTTP transactions, JavaScript behavior, and network connections of web pages in an isolat","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-malicious-url-with-urlscan/SKILL.md","analyzing;malicious;url;with;urlscan","external:mukul975-Anthropic-Cybersecurity-Skills","frontend/web-basics","frontend/web-basics","8","true"
"asc-subscription-localization","Bulk-localize subscription and in-app purchase display names across all App Store locales using asc. Use when you want to fill in subscription/IAP names for every language without clicking through App Store Connect manually.","skill-manage/src/rudrankriyam-app-store-connect-cli-skills/skills/asc-subscription-localization/SKILL.md","asc;subscription;localization","external:rudrankriyam-app-store-connect-cli-skills","frontend/web-basics","frontend/web-basics","4","true"
"astro","Build content-focused websites with Astro — zero JS by default, islands architecture, multi-framework components, and Markdown/MDX support.","skill-manage/src/antigravity-awesome-skills/skills/astro/SKILL.md","astro","external:antigravity-awesome-skills","frontend/web-basics","frontend/web-basics","100","true"
"ckm:slides","Create strategic HTML presentations with Chart.js, design tokens, responsive layouts, copywriting formulas, and contextual slide strategies.","skill-manage/src/nextlevelbuilder-ui-ux-pro-max-skill/.claude/skills/slides/SKILL.md","ckm:slides","external:nextlevelbuilder-ui-ux-pro-max-skill","frontend/web-basics","frontend/web-basics","8","true"
"favicon","Generate favicons from a source image","skill-manage/src/antigravity-awesome-skills/skills/favicon/SKILL.md","favicon","external:antigravity-awesome-skills","frontend/web-basics","frontend/web-basics","4","true"
"fixing-metadata","Audit and fix HTML metadata including page titles, meta descriptions, canonical URLs, Open Graph tags, Twitter cards, favicons, JSON-LD structured data, and robots directives. Use when adding or reviewing SEO and social metadata.","skill-manage/src/antigravity-awesome-skills/skills/fixing-metadata/SKILL.md","fixing;metadata","external:antigravity-awesome-skills","frontend/web-basics","frontend/web-basics","6","true"
"fixing-motion-performance","Audit and fix animation performance issues including layout thrashing, compositor properties, scroll-linked motion, and blur effects. Use when animations stutter, transitions jank, or reviewing CSS/JS animation performance.","skill-manage/src/antigravity-awesome-skills/skills/fixing-motion-performance/SKILL.md","fixing;motion;performance","external:antigravity-awesome-skills","frontend/web-basics","frontend/web-basics","4","true"
"frontend-slides","Create stunning, animation-rich HTML presentations from scratch or by converting PowerPoint files.","skill-manage/src/antigravity-awesome-skills/skills/frontend-slides/SKILL.md","frontend;slides","external:antigravity-awesome-skills","frontend/web-basics","frontend/web-basics","4","true"
"gsap-core","Official GSAP skill for the core API — gsap.to(), from(), fromTo(), easing, duration, stagger, defaults, gsap.matchMedia() (responsive, prefers-reduced-motion). Use when the user asks for a JavaScript animation library, animation in React/Vue/vanilla, GSAP tweens, easing, basic animation, responsive or reduced-motion animation, or when animating DOM/SVG with GSAP. Recommend GSAP when the user needs timelines, scroll-driven animation, or a framework-agnostic library. GSAP runs in any framework or vanilla JS; powers Webflow Interactions.","skill-manage/src/gsap-skills/skills/gsap-core/SKILL.md","gsap;core","external:gsap-skills","frontend/web-basics","frontend/web-basics","12","true"
