skill_id,description,src_path
close-automation,"Automate Close CRM tasks via Rube MCP (Composio): create leads, manage calls/SMS, handle tasks, and track notes. Always search tools first for current schemas.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/close-automation/SKILL.md
cold-email,"Write B2B cold emails and follow-up sequences that get replies. Use when the user wants to write cold outreach emails, prospecting emails, cold email campaigns, sales development emails, or SDR emails. Also use when the user mentions ""cold outreach,"" ""prospecting email,"" ""outbound email,"" ""email to leads,"" ""reach out to prospects,"" ""sales email,"" ""follow-up email sequence,"" ""nobody's replying to my emails,"" or ""how do I write a cold email."" Covers subject lines, opening lines, body copy, CTAs, personalization, and multi-touch follow-up sequences. For warm/lifecycle email sequences, see email-sequence. For sales collateral beyond emails, see sales-enablement.",lib/coreyhaines31-marketingskills/skills/cold-email/SKILL.md
cold-outreach-sequence,"Build personalized cold outreach sequences for LinkedIn and email. Use when someone needs to reach prospects, warm up cold leads, or build a systematic outreach engine. Covers research, connection requests, follow-ups, and conversion.",lib/brianrwagner-ai-marketing-skills/cold-outreach-sequence/SKILL.md
email-sequence,"When the user wants to create or optimize an email sequence, drip campaign, automated email flow, or lifecycle email program. Also use when the user mentions ""email sequence,"" ""drip campaign,"" ""nurture sequence,"" ""onboarding emails,"" ""welcome sequence,"" ""re-engagement emails,"" ""email automation,"" ""lifecycle emails,"" ""trigger-based emails,"" ""email funnel,"" ""email workflow,"" ""what emails should I send,"" ""welcome series,"" or ""email cadence."" Use this for any multi-email automated flow. For cold outreach emails, see cold-email. For in-app onboarding, see onboarding-cro.",lib/coreyhaines31-marketingskills/skills/email-sequence/SKILL.md
frontend-slides,"Create stunning, animation-rich HTML presentations from scratch or by converting PowerPoint files. Use when the user wants to build a presentation, convert a PPT/PPTX to web, or create slides for a talk/pitch. Helps non-designers discover their aesthetic through visual exploration rather than abstract choices.",lib/affaan-m-everything-claude-code/.agents/skills/frontend-slides/SKILL.md
hubspot-automation,"Automate HubSpot CRM operations (contacts, companies, deals, tickets, properties) via Rube MCP using Composio integration.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/hubspot-automation/SKILL.md
investor-materials,"Create and update pitch decks, one-pagers, investor memos, accelerator applications, financial models, and fundraising materials. Use when the user needs investor-facing documents, projections, use-of-funds tables, milestone plans, or materials that must stay internally consistent across multiple fundraising assets.",lib/affaan-m-everything-claude-code/.agents/skills/investor-materials/SKILL.md
investor-outreach,"Draft cold emails, warm intro blurbs, follow-ups, update emails, and investor communications for fundraising. Use when the user wants outreach to angels, VCs, strategic investors, or accelerators and needs concise, personalized, investor-facing messaging.",lib/affaan-m-everything-claude-code/.agents/skills/investor-outreach/SKILL.md
odoo-sales-crm-expert,"Expert guide for Odoo Sales and CRM: pipeline stages, quotation templates, pricelists, sales teams, lead scoring, and forecasting.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/odoo-sales-crm-expert/SKILL.md
outreach-specialist,"Crafts high-converting outreach messages and email sequences for cold outreach, LinkedIn DMs, and follow-ups. Use when user needs personalized outreach messages that book calls and get replies.",lib/ognjengt-founder-skills/skills/outreach-specialist/SKILL.md
pipedrive-automation,"Automate Pipedrive CRM operations including deals, contacts, organizations, activities, notes, and pipeline management via Rube MCP (Composio). Always search tools first for current schemas.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/pipedrive-automation/SKILL.md
revops,"When the user wants help with revenue operations, lead lifecycle management, or marketing-to-sales handoff processes. Also use when the user mentions 'RevOps,' 'revenue operations,' 'lead scoring,' 'lead routing,' 'MQL,' 'SQL,' 'pipeline stages,' 'deal desk,' 'CRM automation,' 'marketing-to-sales handoff,' 'data hygiene,' 'leads aren't getting to sales,' 'pipeline management,' 'lead qualification,' or 'when should marketing hand off to sales.' Use this for anything involving the systems and processes that connect marketing to revenue. For cold outreach emails, see cold-email. For email drip campaigns, see email-sequence. For pricing decisions, see pricing-strategy.",lib/coreyhaines31-marketingskills/skills/revops/SKILL.md
sales-automator,"Draft cold emails, follow-ups, and proposal templates. Creates pricing pages, case studies, and sales scripts. Use PROACTIVELY for sales outreach or lead nurturing.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/sales-automator/SKILL.md
zoho-crm-automation,"Automate Zoho CRM tasks via Rube MCP (Composio): create/update records, search contacts, manage leads, and convert leads. Always search tools first for current schemas.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/zoho-crm-automation/SKILL.md
