skill_id,description,score,phase
agents-sdk,"Build AI agents on Cloudflare Workers using the Agents SDK. Load when creating stateful agents, durable workflows, real-time WebSocket apps, scheduled tasks, MCP servers, or chat applications. Covers Agent class, state management, callable RPC, Workflows integration, and React hooks. Biases towards retrieval from Cloudflare docs over pre-trained knowledge.",100,2
aws-serverless,Proper Lambda function structure with error handling,100,2
azure-cloud-migrate,"Assess and migrate cross-cloud workloads to Azure with migration reports and code conversion guidance. Supports AWS, GCP, and other providers. WHEN: migrate Lambda to Azure Functions, migrate AWS to Azure, Lambda migration assessment, convert AWS serverless to Azure, migration readiness report, migrate from AWS, migrate from GCP, cross-cloud migration.",100,2
building-ai-agent-on-cloudflare,"Builds AI agents on Cloudflare using the Agents SDK with state management, real-time WebSockets, scheduled tasks, tool integration, and chat capabilities. Generates production-ready agent code deployed to Workers. Use when: user wants to ""build an agent"", ""AI agent"", ""chat agent"", ""stateful agent"", mentions ""Agents SDK"", needs ""real-time AI"", ""WebSocket AI"", or asks about agent ""state management"", ""scheduled tasks"", or ""tool calling"". Biases towards retrieval from Cloudflare docs over pre-trained knowledge.",100,2
building-mcp-server-on-cloudflare,"Builds remote MCP (Model Context Protocol) servers on Cloudflare Workers with tools, OAuth authentication, and production deployment. Generates server code, configures auth providers, and deploys to Workers. Use when: user wants to ""build MCP server"", ""create MCP tools"", ""remote MCP"", ""deploy MCP"", add ""OAuth to MCP"", or mentions Model Context Protocol on Cloudflare. Also triggers on ""MCP authentication"" or ""MCP deployment"". Biases towards retrieval from Cloudflare docs over pre-trained knowledge.",100,2
cloudflare-d1,"Cloudflare D1 SQLite database with Workers, Drizzle ORM, migrations",100,2
cloudflare-workers-expert,"Expert in Cloudflare Workers and the Edge Computing ecosystem. Covers Wrangler, KV, D1, Durable Objects, and R2 storage.",100,2
hono,"Build ultra-fast web APIs and full-stack apps with Hono — runs on Cloudflare Workers, Deno, Bun, Node.js, and any WinterCG-compatible runtime.",100,2
latchbio-integration,"Latch platform for bioinformatics workflows. Build pipelines with Latch SDK, @workflow/@task decorators, deploy serverless workflows, LatchFile/LatchDir, Nextflow/Snakemake integration.",100,2
workers-best-practices,"Reviews and authors Cloudflare Workers code against production best practices. Load when writing new Workers, reviewing Worker code, configuring wrangler.jsonc, or checking for common Workers anti-patterns (streaming, floating promises, global state, secrets, bindings, observability). Biases towards retrieval from Cloudflare docs over pre-trained knowledge.",100,2
wrangler,"Cloudflare Workers CLI for deploying, developing, and managing Workers, KV, R2, D1, Vectorize, Hyperdrive, Workers AI, Containers, Queues, Workflows, Pipelines, and Secrets Store. Load before running wrangler commands to ensure correct syntax and best practices. Biases towards retrieval from Cloudflare docs over pre-trained knowledge.",100,2
