skill_id,description,src_path
api-design,"REST API design patterns including resource naming, status codes, pagination, filtering, error responses, versioning, and rate limiting for production APIs.",lib/affaan-m-everything-claude-code/.agents/skills/api-design/SKILL.md
api-design-principles,"Master REST and GraphQL API design principles to build intuitive, scalable, and maintainable APIs that delight developers and stand the test of time.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/api-design-principles/SKILL.md
api-documentation,"API documentation workflow for generating OpenAPI specs, creating developer guides, and maintaining comprehensive API documentation.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/api-documentation/SKILL.md
api-documenter,"Master API documentation with OpenAPI 3.1, AI-powered tools, and modern developer experience practices. Create interactive docs, generate SDKs, and build comprehensive developer portals.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/api-documenter/SKILL.md
api-endpoint-builder,"Builds production-ready REST API endpoints with validation, error handling, authentication, and documentation. Follows best practices for security and scalability.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/api-endpoint-builder/SKILL.md
api-patterns,"API design principles and decision-making. REST vs GraphQL vs tRPC selection, response formats, versioning, pagination.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/api-patterns/SKILL.md
api-security-testing,"API security testing workflow for REST and GraphQL APIs covering authentication, authorization, rate limiting, input validation, and security best practices.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/api-security-testing/SKILL.md
azure-ai-voicelive-dotnet,"Azure AI Voice Live SDK for .NET. Build real-time voice AI applications with bidirectional WebSocket communication. Use for voice assistants, conversational AI, real-time speech-to-speech, and voice-enabled chatbots. Triggers: ""voice live"", ""real-time voice"", ""VoiceLiveClient"", ""VoiceLiveSession"", ""voice assistant .NET"", ""bidirectional audio"", ""speech-to-speech"".",lib/microsoft-skills/.github/plugins/azure-sdk-dotnet/skills/azure-ai-voicelive-dotnet/SKILL.md
azure-aigateway,"Configure Azure API Management as an AI Gateway for AI models, MCP tools, and agents. WHEN: semantic caching, token limit, content safety, load balancing, AI model governance, MCP rate limiting, jailbreak detection, add Azure OpenAI backend, add AI Foundry model, test AI gateway, LLM policies, configure AI backend, token metrics, AI cost control, convert API to MCP, import OpenAPI to gateway.",lib/microsoft-skills/.github/plugins/azure-skills/skills/azure-aigateway/SKILL.md
comfyui-gateway,"REST API gateway for ComfyUI servers. Workflow management, job queuing, webhooks, caching, auth, rate limiting, and image delivery (URL + base64).",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/comfyui-gateway/SKILL.md
conducting-api-security-testing,"Conducts security testing of REST, GraphQL, and gRPC APIs to identify vulnerabilities in authentication, authorization, rate limiting, input validation, and business logic. The tester uses the OWASP API Security Top 10 as the testing framework, combining Burp Suite interception with Postman collections and custom scripts to test endpoint security at every privilege level. Activates for requests involving API security testing, REST API pentest, GraphQL security assessment, or API vulnerability testing.",lib/mukul975-anthropic-cybersecurity-skills/skills/conducting-api-security-testing/SKILL.md
database-lookup,"Search 78 public scientific, biomedical, materials science, and economic databases via their REST APIs and return structured JSON results. Covers physics/astronomy (NASA, NIST, SDSS, SIMBAD, Exoplanet Archive), earth/environment (USGS, NOAA, EPA, OpenWeatherMap), chemistry/drugs (PubChem, ChEMBL, DrugBank, FDA, KEGG, DailyMed, ZINC, BindingDB), materials science (Materials Project, COD), biology/genomics (Reactome, BRENDA, UniProt, STRING, Ensembl, NCBI Gene, GEO, GTEx, PDB, AlphaFold, InterPro, ChEBI, BioGRID, Gene Ontology, QuickGO, NCBI Protein/Taxonomy, dbSNP, SRA, ENA, gnomAD, UCSC Genome, ENCODE, JASPAR, MouseMine, PRIDE, LINCS L1000, Human Protein Atlas, Human Cell Atlas, RummaGEO, Metabolomics Workbench, EMDB, Addgene), disease/clinical (COSMIC, Open Targets, ClinPGx, ClinicalTrials.gov, OMIM, ClinVar, GDC/TCGA, cBioPortal, DisGeNET, GWAS Catalog, Monarch, HPO), regulatory (FDA, USPTO, SEC EDGAR), economics/finance (FRED, BEA, BLS, Federal Reserve, World Bank, ECB, US Treasury, Alpha Vantage, Data Commons), and demographics (US Census, Eurostat, WHO). Use this skill whenever the user wants to look up compounds, drugs, proteins, genes, pathways, enzymes, gene expression, variants, clinical trials, patents, SEC filings, economic indicators, crystal structures, astronomical objects, earthquakes, weather, or any data from a public database API. Also trigger when the user mentions any database by name or asks about molecular properties, drug-target interactions, binding affinities, protein interactions, pathway membership, pharmacogenomics, economic time series, materials properties, commercially available compounds, virtual screening, compound purchasability, chemical libraries, building blocks, cancer genomics, somatic mutations, tumor mutation profiles, nucleotide sequences, genome assemblies, sequencing reads, ENA accessions, INSDC data, or wants to cross-reference entities across sources.",lib/k-dense-ai-claude-scientific-skills/scientific-skills/database-lookup/SKILL.md
