"id","description","path","triggers","src","primary_hub","assigned_hubs","match_score","is_primary"
"billing-automation","Master automated billing systems including recurring billing, invoice generation, dunning management, proration, and tax calculation.","skill-manage/src/antigravity-awesome-skills/skills/billing-automation/SKILL.md","billing;automation","external:antigravity-awesome-skills","business/saas","business/saas","100","true"
"business-health-diagnostic","Diagnose SaaS business health across growth, retention, efficiency, and capital. Use when preparing a business review or prioritizing urgent fixes.","skill-manage/src/Product-Manager-Skills/skills/business-health-diagnostic/SKILL.md","business;health;diagnostic","external:Product-Manager-Skills","business/saas","business/saas","7","true"
"carrier-relationship-management","Codified expertise for managing carrier portfolios, negotiating freight rates, tracking carrier performance, allocating freight, and maintaining strategic carrier relationships.","skill-manage/src/antigravity-awesome-skills/skills/carrier-relationship-management/SKILL.md","carrier;relationship;management","external:antigravity-awesome-skills","business/saas","business/saas","100","true"
"charlie","Your AI CFO for bootstrapped startups, named after Charlie Munger who embodied the principle that capital discipline is a competitive advantage. Provides financial frameworks for cash management, runway calculations, unit economics (LTV:CAC), capital allocation, hiring ROI, burn rate analysis, working capital optimization, and forecasting. Use for questions like ""should we make this hire?"", ""how much runway do we need?"", ""what metrics should I track?"", ""how do I forecast revenue?"", or any strategic financial decision at a self-funded company.","skill-manage/src/charlie-cfo-skill/SKILL.md","charlie","external:charlie-cfo-skill","business/saas","business/saas","19","true"
"cohort-analysis","Perform cohort analysis on user engagement data — retention curves, feature adoption trends, and segment-level insights. Use when analyzing user retention by cohort, studying feature adoption over time, investigating churn patterns, or identifying engagement trends.","skill-manage/src/pm-skills/pm-data-analytics/skills/cohort-analysis/SKILL.md","cohort;analysis","external:pm-skills","business/saas","business/saas","5","true"
"finance-based-pricing-advisor","Evaluate pricing changes using ARPU, conversion, churn risk, NRR, and payback. Use when deciding whether a pricing move should ship.","skill-manage/src/Product-Manager-Skills/skills/finance-based-pricing-advisor/SKILL.md","finance;based;pricing;advisor","external:Product-Manager-Skills","business/saas","business/saas","9","true"
"finance-metrics-quickref","Look up SaaS finance metrics, formulas, and benchmarks fast. Use when you need a quick metric definition, formula, or benchmark during analysis.","skill-manage/src/Product-Manager-Skills/skills/finance-metrics-quickref/SKILL.md","finance;metrics;quickref","external:Product-Manager-Skills","business/saas","business/saas","15","true"
"flowio","Parse FCS (Flow Cytometry Standard) files v2.0-3.1. Extract events as NumPy arrays, read metadata/channels, convert to CSV/DataFrame, for flow cytometry data preprocessing.","skill-manage/src/K-Dense-AI-claude-scientific-skills/scientific-skills/flowio/SKILL.md","flowio","external:K-Dense-AI-claude-scientific-skills","business/saas","business/saas","5","true"
"get-available-resources","This skill should be used at the start of any computationally intensive scientific task to detect and report available system resources (CPU cores, GPUs, memory, disk space). It creates a JSON file with resource information and strategic recommendations that inform computational approach decisions such as whether to use parallel processing (joblib, multiprocessing), out-of-core computing (Dask, Zarr), GPU acceleration (PyTorch, JAX), or memory-efficient strategies. Use this skill before running analyses, training models, processing large datasets, or any task where resource constraints matter.","skill-manage/src/K-Dense-AI-claude-scientific-skills/scientific-skills/get-available-resources/SKILL.md","get;available;resources","external:K-Dense-AI-claude-scientific-skills","business/saas","business/saas","5","true"
"hubspot-integration","Authentication for single-account integrations","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-commerce-payments/skills/hubspot-integration/SKILL.md","hubspot;integration","external:antigravity-awesome-skills","business/saas","business/saas","100","true"
"implementing-zero-trust-for-saas-applications",">","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-zero-trust-for-saas-applications/SKILL.md","implementing;zero;trust;for;saas","external:mukul975-Anthropic-Cybersecurity-Skills","business/saas","business/saas","12","true"
"logistics-exception-management","Codified expertise for handling freight exceptions, shipment delays, damages, losses, and carrier disputes. Informed by logistics professionals with 15+ years operational experience.","skill-manage/src/antigravity-awesome-skills/skills/logistics-exception-management/SKILL.md","logistics;exception;management","external:antigravity-awesome-skills","business/saas","business/saas","100","true"
"market-research-reports","Generate comprehensive market research reports (50+ pages) in the style of top consulting firms (McKinsey, BCG, Gartner). Features professional LaTeX formatting, extensive visual generation with scientific-schematics and generate-image, deep integration with research-lookup for data gathering, and multi-framework strategic analysis including Porter Five Forces, PESTLE, SWOT, TAM/SAM/SOM, and BCG Matrix.","skill-manage/src/K-Dense-AI-claude-scientific-skills/scientific-skills/market-research-reports/SKILL.md","market;research;reports","external:K-Dense-AI-claude-scientific-skills","business/saas","business/saas","9","true"
"market-sizing","Estimate market size using TAM, SAM, and SOM with top-down and bottom-up approaches. Use when sizing a market opportunity, estimating addressable market, preparing for investor pitches, or evaluating market entry.","skill-manage/src/pm-skills/pm-market-research/skills/market-sizing/SKILL.md","market;sizing","external:pm-skills","business/saas","business/saas","17","true"
"market-sizing-analysis","Comprehensive market sizing methodologies for calculating Total Addressable Market (TAM), Serviceable Available Market (SAM), and Serviceable Obtainable Market (SOM) for startup opportunities.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-business-analyst/skills/market-sizing-analysis/SKILL.md","market;sizing;analysis","external:antigravity-awesome-skills","business/saas","business/saas","21","true"
"micro-saas-launcher","You ship fast and iterate. You know the difference between a side project and a business. You've seen what works in the indie hacker community. You help people go from idea to paying customers in weeks, not years. You focus on sustainable, profitable businesses - not unicorn hunting.","skill-manage/src/antigravity-awesome-skills/skills/micro-saas-launcher/SKILL.md","micro;saas;launcher","external:antigravity-awesome-skills","business/saas","business/saas","100","true"
"monetization","Estrategia e implementacao de monetizacao para produtos digitais - Stripe, subscriptions, pricing experiments, freemium, upgrade flows, churn prevention, revenue optimization e modelos de negocio SaaS.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-commerce-payments/skills/monetization/SKILL.md","monetization","external:antigravity-awesome-skills","business/saas","business/saas","19","true"
"odoo-accounting-setup","Expert guide for configuring Odoo Accounting: chart of accounts, journals, fiscal positions, taxes, payment terms, and bank reconciliation.","skill-manage/src/antigravity-awesome-skills/skills/odoo-accounting-setup/SKILL.md","odoo;accounting;setup","external:antigravity-awesome-skills","business/saas","business/saas","100","true"
"odoo-hr-payroll-setup","Expert guide for Odoo HR and Payroll: salary structures, payslip rules, leave policies, employee contracts, and payroll journal entries.","skill-manage/src/antigravity-awesome-skills/skills/odoo-hr-payroll-setup/SKILL.md","odoo;hr;payroll;setup","external:antigravity-awesome-skills","business/saas","business/saas","100","true"
"odoo-sales-crm-expert","Expert guide for Odoo Sales and CRM: pipeline stages, quotation templates, pricelists, sales teams, lead scoring, and forecasting.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-odoo-erp/skills/odoo-sales-crm-expert/SKILL.md","odoo;sales;crm;expert","external:antigravity-awesome-skills","business/saas","business/saas","100","true"
"pakistan-payments-stack","Design and implement production-grade Pakistani payment integrations (JazzCash, Easypaisa, bank/PSP rails, optional Raast) for SaaS with PKR billing, webhook reliability, and reconciliation.","skill-manage/src/antigravity-awesome-skills/skills/pakistan-payments-stack/SKILL.md","pakistan;payments;stack","external:antigravity-awesome-skills","business/saas","business/saas","100","true"
"payment-integration","Integrate Stripe, PayPal, and payment processors. Handles checkout flows, subscriptions, webhooks, and PCI compliance. Use PROACTIVELY when implementing payments, billing, or subscription features.","skill-manage/src/antigravity-awesome-skills/skills/payment-integration/SKILL.md","payment;integration","external:antigravity-awesome-skills","business/saas","business/saas","100","true"
"production-scheduling","Codified expertise for production scheduling, job sequencing, line balancing, changeover optimisation, and bottleneck resolution in discrete and batch manufacturing.","skill-manage/src/antigravity-awesome-skills/skills/production-scheduling/SKILL.md","production;scheduling","external:antigravity-awesome-skills","business/saas","business/saas","100","true"
"product-manager","Senior PM agent with 6 knowledge domains, 30+ frameworks, 12 templates, and 32 SaaS metrics with formulas. Pure Markdown, zero scripts.","skill-manage/src/antigravity-awesome-skills/skills/product-manager/SKILL.md","product;manager","external:antigravity-awesome-skills","business/saas","business/saas","11","true"
"research-grants","Write competitive research proposals for NSF, NIH, DOE, DARPA, and Taiwan NSTC. Agency-specific formatting, review criteria, budget preparation, broader impacts, significance statements, innovation narratives, and compliance with submission requirements.","skill-manage/src/K-Dense-AI-claude-scientific-skills/scientific-skills/research-grants/SKILL.md","research;grants","external:K-Dense-AI-claude-scientific-skills","business/saas","business/saas","5","true"
"returns-reverse-logistics","Codified expertise for returns authorisation, receipt and inspection, disposition decisions, refund processing, fraud detection, and warranty claims management.","skill-manage/src/antigravity-awesome-skills/skills/returns-reverse-logistics/SKILL.md","returns;reverse;logistics","external:antigravity-awesome-skills","business/saas","business/saas","100","true"
"revops","Design and improve revenue operations, lead lifecycle rules, scoring, routing, handoffs, and CRM process automation. Use when marketing, sales, and customer success workflows need clearer operational structure.","skill-manage/src/antigravity-awesome-skills/skills/revops/SKILL.md","revops","external:antigravity-awesome-skills","business/saas","business/saas","100","true"
"risk-metrics-calculation","Calculate portfolio risk metrics including VaR, CVaR, Sharpe, Sortino, and drawdown analysis. Use when measuring portfolio risk, implementing risk limits, or building risk monitoring systems.","skill-manage/src/antigravity-awesome-skills/skills/risk-metrics-calculation/SKILL.md","risk;metrics;calculation","external:antigravity-awesome-skills","business/saas","business/saas","100","true"
"saas-economics-efficiency-metrics","Evaluate SaaS unit economics and capital efficiency. Use when deciding whether the business can scale efficiently or needs correction.","skill-manage/src/Product-Manager-Skills/skills/saas-economics-efficiency-metrics/SKILL.md","saas;economics;efficiency;metrics","external:Product-Manager-Skills","business/saas","business/saas","16","true"
"saas-mvp-launcher","Use when planning or building a SaaS MVP from scratch. Provides a structured roadmap covering tech stack, architecture, auth, payments, and launch checklist.","skill-manage/src/antigravity-awesome-skills/skills/saas-mvp-launcher/SKILL.md","saas;mvp;launcher","external:antigravity-awesome-skills","business/saas","business/saas","100","true"
"saas-revenue-growth-metrics","Calculate SaaS revenue, retention, and growth metrics. Use when diagnosing momentum, churn, expansion, or product-market-fit signals.","skill-manage/src/Product-Manager-Skills/skills/saas-revenue-growth-metrics/SKILL.md","saas;revenue;growth;metrics","external:Product-Manager-Skills","business/saas","business/saas","24","true"
"startup-analyst","Expert startup business analyst specializing in market sizing, financial modeling, competitive analysis, and strategic planning for early-stage companies.","skill-manage/src/antigravity-awesome-skills/skills/startup-analyst/SKILL.md","startup;analyst","external:antigravity-awesome-skills","business/saas","business/saas","5","true"
"startup-business-analyst-financial-projections","Create detailed 3-5 year financial model with revenue, costs, cash","skill-manage/src/antigravity-awesome-skills/skills/startup-business-analyst-financial-projections/SKILL.md","startup;business;analyst;financial;projections","external:antigravity-awesome-skills","business/saas","business/saas","11","true"
"startup-business-analyst-market-opportunity","Generate comprehensive market opportunity analysis with TAM/SAM/SOM","skill-manage/src/antigravity-awesome-skills/skills/startup-business-analyst-market-opportunity/SKILL.md","startup;business;analyst;market;opportunity","external:antigravity-awesome-skills","business/saas","business/saas","15","true"
"startup-financial-modeling","Build comprehensive 3-5 year financial models with revenue projections, cost structures, cash flow analysis, and scenario planning for early-stage startups.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-business-analyst/skills/startup-financial-modeling/SKILL.md","startup;financial;modeling","external:antigravity-awesome-skills","business/saas","business/saas","9","true"
"startup-metrics-framework","Comprehensive guide to tracking, calculating, and optimizing key performance metrics for different startup business models from seed through Series A.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-business-analyst/skills/startup-metrics-framework/SKILL.md","startup;metrics;framework","external:antigravity-awesome-skills","business/saas","business/saas","5","true"
"storyboard","Create a six-frame storyboard that shows a user's journey from problem to solution. Use when you need a fast narrative for alignment, concept reviews, or demos.","skill-manage/src/Product-Manager-Skills/skills/storyboard/SKILL.md","storyboard","external:Product-Manager-Skills","business/saas","business/saas","5","true"
"stripe-integration","Master Stripe payment processing integration for robust, PCI-compliant payment flows including checkout, subscriptions, webhooks, and refunds.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-commerce-payments/skills/stripe-integration/SKILL.md","stripe;integration","external:antigravity-awesome-skills","business/saas","business/saas","100","true"
"subscription-lifecycle","When the user wants to optimize their subscription business end-to-end — from trial start through renewal, cancellation, and win-back. Use when the user mentions ""subscription lifecycle"", ""trial conversion"", ""churn"", ""cancellation"", ""win-back"", ""lapsed subscribers"", ""dunning"", ""billing retry"", ""grace period"", ""renewal rate"", ""subscriber LTV"", or ""resubscribe"". For paywall design and pricing strategy, see monetization-strategy. For subscription analytics dashboards, see app-analytics.","skill-manage/src/aso-skills/skills/subscription-lifecycle/SKILL.md","subscription;lifecycle","external:aso-skills","business/saas","business/saas","9","true"
"timesfm-forecasting","Zero-shot time series forecasting with Google's TimesFM foundation model. Use for any univariate time series (sales, sensors, energy, vitals, weather) without training a custom model. Supports CSV/DataFrame/array inputs with point forecasts and prediction intervals. Includes a preflight system checker script to verify RAM/GPU before first use.","skill-manage/src/K-Dense-AI-claude-scientific-skills/scientific-skills/timesfm-forecasting/SKILL.md","timesfm;forecasting","external:K-Dense-AI-claude-scientific-skills","business/saas","business/saas","5","true"
"tts","Use this skill whenever the user wants to convert text into speech, generate audio from text, or produce voiceovers. Triggers include: any mention of 'TTS', 'text to speech', 'speak', 'say', 'voice', 'read aloud', 'audio narration', 'voiceover', 'dubbing', or requests to turn written content into spoken audio. Also use when converting EPUB/PDF/SRT/articles to audio, cloning voices from reference audio, controlling emotion or speed in speech, aligning speech to subtitle timelines, or producing per-segment voice-mapped audio.","skill-manage/src/NoizAI-skills/skills/tts/SKILL.md","tts","external:NoizAI-skills","business/saas","business/saas","5","true"
"vaex","Use this skill for processing and analyzing large tabular datasets (billions of rows) that exceed available RAM. Vaex excels at out-of-core DataFrame operations, lazy evaluation, fast aggregations, efficient visualization of big data, and machine learning on large datasets. Apply when users need to work with large CSV/HDF5/Arrow/Parquet files, perform fast statistics on massive datasets, create visualizations of big data, or build ML pipelines that do not fit in memory.","skill-manage/src/K-Dense-AI-claude-scientific-skills/scientific-skills/vaex/SKILL.md","vaex","external:K-Dense-AI-claude-scientific-skills","business/saas","business/saas","5","true"
