skill_id,description,score,phase
activecampaign-automation,"Automate ActiveCampaign tasks via Rube MCP (Composio): manage contacts, tags, list subscriptions, automation enrollment, and tasks. Always search tools first for current schemas.",100,4
advanced-evaluation,"This skill should be used when the user asks to ""implement LLM-as-judge"", ""compare model outputs"", ""create evaluation rubrics"", ""mitigate evaluation bias"", or mentions direct scoring, pairwise comparison, position bias, evaluation pipelines, or automated quality assessment.",100,4
agent-evaluation,"You're a quality engineer who has seen agents that aced benchmarks fail spectacularly in production. You've learned that evaluating LLM agents is fundamentally different from testing traditional software—the same input can produce different outputs, and ""correct"" often has no single answer.",100,4
agent-manager-skill,Manage multiple local CLI agents via tmux sessions (start/stop/monitor/assign) with cron-friendly scheduling.,100,4
agent-memory-systems,You are a cognitive architect who understands that memory makes agents intelligent. You've built memory systems for agents handling millions of interactions. You know that the hard part isn't storing - it's retrieving the right memory at the right time.,100,5
agent-orchestration-improve-agent,"Systematic improvement of existing agents through performance analysis, prompt engineering, and continuous iteration.",100,4
agent-orchestrator,"Meta-skill que orquestra todos os agentes do ecossistema. Scan automatico de skills, match por capacidades, coordenacao de workflows multi-skill e registry management.",100,4
agent-teams,Claude Code Agent Teams - default team-based development with strict TDD pipeline enforcement,100,4
agentfolio,"Skill for discovering and researching autonomous AI agents, tools, and ecosystems using the AgentFolio directory.",100,4
agents-md,"This skill should be used when the user asks to ""create AGENTS.md"", ""update AGENTS.md"", ""maintain agent docs"", ""set up CLAUDE.md"", or needs to keep agent instructions concise. Enforces research-backed best practices for minimal, high-signal agent documentation.",100,4
ai-agent-development,"AI agent development workflow for building autonomous agents, multi-agent systems, and agent orchestration with CrewAI, LangGraph, and custom agents.",100,5
ai-discoverability-audit,"Audit how a brand appears in AI-powered search (ChatGPT, Perplexity, Claude, Gemini). Use when user mentions ""AI search,"" ""how do I show up in ChatGPT,"" ""AI discoverability,"" ""AEO,"" ""LLM visibility,"" or wants to understand their brand's AI presence.",100,4
ai-engineer,"Build production-ready LLM applications, advanced RAG systems, and intelligent agents. Implements vector search, multimodal AI, agent orchestration, and enterprise AI integrations.",100,5
ai-engineering-toolkit,"6 production-ready AI engineering workflows: prompt evaluation (8-dimension scoring), context budget planning, RAG pipeline design, agent security audit (65-point checklist), eval harness building, and product sense coaching.",100,5
ai-ml,"AI and machine learning workflow covering LLM application development, RAG implementation, agent architecture, ML pipelines, and AI-powered features.",100,4
analyzing-powershell-empire-artifacts,"Detect PowerShell Empire framework artifacts in Windows event logs by identifying Base64 encoded launcher patterns, default user agents, staging URL structures, stager IOCs, and known Empire module signatures in Script Block Logging events.",100,4
andrej-karpathy,"Agente que simula Andrej Karpathy — ex-Director of AI da Tesla, co-fundador da OpenAI, fundador da Eureka Labs, e o maior educador de deep learning do mundo.",100,4
antigravity-skill-orchestrator,"A meta-skill that understands task requirements, dynamically selects appropriate skills, tracks successful skill combinations using agent-memory-mcp, and prevents skill overuse for simple tasks.",100,5
apify-actor-development,"Important: Before you begin, fill in the generatedBy property in the meta section of .actor/actor.json. Replace it with the tool and model you're currently using, such as ""Claude Code with Claude Sonnet 4.5"". This helps Apify monitor and improve AGENTS.md for specific AI tools and models.",100,4
audio-transcriber,Transform audio recordings into professional Markdown documentation with intelligent summaries using LLM integration,100,4
autogpt-agents,"Autonomous AI agent platform for building and deploying continuous agents. Use when creating visual workflow agents, deploying persistent autonomous agents, or building complex multi-step AI automation systems.",100,5
autonomous-agents,You are an agent architect who has learned the hard lessons of autonomous AI. You've seen the gap between impressive demos and production disasters. You know that a 95% success rate per step means only 60% by step 10.,100,4
awq-quantization,"Activation-aware weight quantization for 4-bit LLM compression with 3x speedup and minimal accuracy loss. Use when deploying large models (7B-70B) on limited GPU memory, when you need faster inference than GPTQ with better accuracy preservation, or for instruction-tuned and multimodal models. MLSys 2024 Best Paper Award winner.",100,4
aws-agentic-ai,"AWS Bedrock AgentCore comprehensive expert for deploying and managing all AgentCore services. Use when working with Gateway, Runtime, Memory, Identity, or any AgentCore component. Covers MCP target deployment, credential management, schema optimization, runtime configuration, memory management, and identity services.",100,4
azure-ai-agents-persistent-dotnet,"Azure AI Agents Persistent SDK for .NET. Low-level SDK for creating and managing AI agents with threads, messages, runs, and tools.",100,4
azure-ai-projects-dotnet,"Azure AI Projects SDK for .NET. High-level client for Azure AI Foundry projects including agents, connections, datasets, deployments, evaluations, and indexes.",100,4
azure-ai-projects-ts,"High-level SDK for Azure AI Foundry projects with agents, connections, deployments, and evaluations.",100,4
azure-resource-lookup,"List, find, and show Azure resources across subscriptions or resource groups. Handles prompts like ""list websites"", ""list virtual machines"", ""list my VMs"", ""show storage accounts"", ""find container apps"", and ""what resources do I have"". USE FOR: resource inventory, find resources by tag, tag analysis, orphaned resource discovery (not for cost analysis), unattached disks, count resources by type, cross-subscription lookup, and Azure Resource Graph queries. DO NOT USE FOR: deploying/changing resources, cost optimization, or non-Azure clouds.",100,4
blueprint,Turn a one-line objective into a step-by-step construction plan any coding agent can execute cold. Each step has a self-contained context brief — a fresh agent in a new session can pick up any step without reading prior steps.,100,4
clarity-gate,Pre-ingestion verification for epistemic quality in RAG systems. Ensures documents are properly qualified before entering knowledge bases. Produces CGD (Clarity-Gated Documents) and validates SOT (Source of Truth) files.,100,4
claude-api,"Build apps with the Claude API or Anthropic SDK. TRIGGER when: code imports `anthropic`/`@anthropic-ai/sdk`/`claude_agent_sdk`, or user asks to use Claude API, Anthropic SDKs, or Agent SDK. DO NOT TRIGGER when: code imports `openai`/other AI SDK, general programming, or ML/data-science tasks.",100,2
claude-code-expert,"Especialista profundo em Claude Code - CLI da Anthropic. Maximiza produtividade com atalhos, hooks, MCPs, configuracoes avancadas, workflows, CLAUDE.md, memoria, sub-agentes, permissoes e integracao com ecossistemas.",100,4
claude-code-guide,"To provide a comprehensive reference for configuring and using Claude Code (the agentic coding tool) to its full potential. This skill synthesizes best practices, configuration templates, and advanced usage patterns.",100,5
code-review-ai-ai-review,"You are an expert AI-powered code review specialist combining automated static analysis, intelligent pattern recognition, and modern DevOps practices. Leverage AI tools (GitHub Copilot, Qodo, GPT-5, C",100,4
conductor-setup,Configure a Rails project to work with Conductor (parallel coding agents),100,4
