"id","description","path","triggers","src","primary_hub","assigned_hubs","match_score","is_primary"
"active-directory-attacks","Provide comprehensive techniques for attacking Microsoft Active Directory environments. Covers reconnaissance, credential harvesting, Kerberos attacks, lateral movement, privilege escalation, and domain dominance for red team operations and penetration testing.","skill-manage/src/antigravity-awesome-skills/skills/active-directory-attacks/SKILL.md","active;directory;attacks","external:antigravity-awesome-skills","security/core","security/core","100","True"
"analyzing-browser-forensics-with-hindsight","Analyze Chromium-based browser artifacts using Hindsight to extract browsing history, downloads, cookies, cached content, autofill data, saved passwords, and browser extensions from Chrome, Edge, Brave, and Opera for forensic investigation.","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-browser-forensics-with-hindsight/SKILL.md","analyzing;browser;forensics;with;hindsight","external:mukul975-Anthropic-Cybersecurity-Skills","security/core","security/core","7","True"
"analyzing-linux-elf-malware",">","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-linux-elf-malware/SKILL.md","analyzing;linux;elf;malware","external:mukul975-Anthropic-Cybersecurity-Skills","security/core","security/core","7","True"
"analyzing-macro-malware-in-office-documents",">","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-macro-malware-in-office-documents/SKILL.md","analyzing;macro;malware;in;office","external:mukul975-Anthropic-Cybersecurity-Skills","security/core","security/core","7","True"
"analyzing-malware-behavior-with-cuckoo-sandbox",">","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-malware-behavior-with-cuckoo-sandbox/SKILL.md","analyzing;malware;behavior;with;cuckoo","external:mukul975-Anthropic-Cybersecurity-Skills","security/core","security/core","7","True"
"analyzing-malware-family-relationships-with-malpedia","Use the Malpedia platform and API to research malware family relationships, track variant evolution, link families to threat actors, and integrate YARA rules for detection across malware lineages.","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-malware-family-relationships-with-malpedia/SKILL.md","analyzing;malware;family;relationships;with","external:mukul975-Anthropic-Cybersecurity-Skills","security/core","security/core","7","True"
"analyzing-malware-persistence-with-autoruns","Use Sysinternals Autoruns to systematically identify and analyze malware persistence mechanisms across registry keys, scheduled tasks, services, drivers, and startup locations on Windows systems.","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-malware-persistence-with-autoruns/SKILL.md","analyzing;malware;persistence;with;autoruns","external:mukul975-Anthropic-Cybersecurity-Skills","security/core","security/core","7","True"
"analyzing-malware-sandbox-evasion-techniques","Detect sandbox evasion techniques in malware samples by analyzing timing checks, VM artifact queries, user interaction detection, and sleep inflation patterns from Cuckoo/AnyRun behavioral reports","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-malware-sandbox-evasion-techniques/SKILL.md","analyzing;malware;sandbox;evasion;techniques","external:mukul975-Anthropic-Cybersecurity-Skills","security/core","security/core","7","True"
"analyzing-memory-forensics-with-lime-and-volatility",">","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-memory-forensics-with-lime-and-volatility/SKILL.md","analyzing;memory;forensics;with;lime","external:mukul975-Anthropic-Cybersecurity-Skills","security/core","security/core","7","True"
"analyzing-mft-for-deleted-file-recovery","Analyze the NTFS Master File Table ($MFT) to recover metadata and content of deleted files by examining MFT record entries, $LogFile, $UsnJrnl, and MFT slack space using MFTECmd, analyzeMFT, and X-Ways Forensics.","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-mft-for-deleted-file-recovery/SKILL.md","analyzing;mft;for;deleted;file","external:mukul975-Anthropic-Cybersecurity-Skills","security/core","security/core","7","True"
"analyzing-network-covert-channels-in-malware","Detect and analyze covert communication channels used by malware including DNS tunneling, ICMP exfiltration, steganographic HTTP, and protocol abuse for C2 and data exfiltration.","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-network-covert-channels-in-malware/SKILL.md","analyzing;network;covert;channels;in","external:mukul975-Anthropic-Cybersecurity-Skills","security/core","security/core","7","True"
"analyzing-network-traffic-of-malware",">","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-network-traffic-of-malware/SKILL.md","analyzing;network;traffic;of;malware","external:mukul975-Anthropic-Cybersecurity-Skills","security/core","security/core","7","True"
"analyzing-office365-audit-logs-for-compromise","Parse Office 365 Unified Audit Logs via Microsoft Graph API to detect email forwarding rule creation, inbox delegation, suspicious OAuth app grants, and other indicators of account compromise.","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-office365-audit-logs-for-compromise/SKILL.md","analyzing;office365;audit;logs;for","external:mukul975-Anthropic-Cybersecurity-Skills","security/core","security/core","7","True"
"analyzing-packed-malware-with-upx-unpacker",">","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-packed-malware-with-upx-unpacker/SKILL.md","analyzing;packed;malware;with;upx","external:mukul975-Anthropic-Cybersecurity-Skills","security/core","security/core","7","True"
"analyzing-pdf-malware-with-pdfid",">","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-pdf-malware-with-pdfid/SKILL.md","analyzing;pdf;malware;with;pdfid","external:mukul975-Anthropic-Cybersecurity-Skills","security/core","security/core","7","True"
