skill_id,description,src_path
docker-patterns,"Docker and Docker Compose patterns for local development, container security, networking, volume strategies, and multi-service orchestration. Use when setting up containerized development environments or reviewing Docker configurations.",lib/affaan-m-everything-claude-code/.kiro/skills/docker-patterns/SKILL.md
entra-agent-id,"Microsoft Entra Agent ID (preview) for creating OAuth2-capable AI agent identities via Microsoft Graph beta API. Covers Agent Identity Blueprints, BlueprintPrincipals, Agent Identities, required permissions, sponsors, and Workload Identity Federation. Includes Microsoft Entra SDK for AgentID (containerized sidecar) for polyglot agent authentication (Docker/Kubernetes), 3P agent integration, autonomous and interactive agent patterns. Triggers: ""agent identity"", ""agent id"", ""Agent Identity Blueprint"", ""BlueprintPrincipal"", ""entra agent"", ""agent identity provisioning"", ""Graph agent identity"", ""entra sidecar"", ""agent id sidecar"", ""auth sidecar"", ""3P agent"", ""third-party agent identity"", ""polyglot agent auth"".",lib/microsoft-skills/.github/skills/entra-agent-id/SKILL.md
implementing-image-provenance-verification-with-cosign,"Sign and verify container image provenance using Sigstore Cosign with keyless OIDC-based signing, attestations, and Kubernetes admission enforcement.",lib/mukul975-anthropic-cybersecurity-skills/skills/implementing-image-provenance-verification-with-cosign/SKILL.md
implementing-kubernetes-network-policy-with-calico,Implement Kubernetes network segmentation using Calico NetworkPolicy and GlobalNetworkPolicy for zero-trust pod-to-pod communication.,lib/mukul975-anthropic-cybersecurity-skills/skills/implementing-kubernetes-network-policy-with-calico/SKILL.md
implementing-opa-gatekeeper-for-policy-enforcement,"Enforce Kubernetes admission policies using OPA Gatekeeper with ConstraintTemplates, Rego rules, and the Gatekeeper policy library.",lib/mukul975-anthropic-cybersecurity-skills/skills/implementing-opa-gatekeeper-for-policy-enforcement/SKILL.md
mcp:setup-arxiv-mcp,Guide for setup arXiv paper search MCP server using Docker MCP,lib/neolabhq-context-engineering-kit/plugins/mcp/skills/setup-arxiv-mcp/SKILL.md
microsoft-foundry,"Deploy, evaluate, and manage Foundry agents end-to-end: Docker build, ACR push, hosted/prompt agent create, container start, batch eval, prompt optimization, prompt optimizer workflows, agent.yaml, dataset curation from traces. USE FOR: deploy agent to Foundry, hosted agent, create agent, invoke agent, evaluate agent, run batch eval, optimize prompt, improve prompt, prompt optimization, prompt optimizer, improve agent instructions, optimize agent instructions, optimize system prompt, deploy model, Foundry project, RBAC, role assignment, permissions, quota, capacity, region, troubleshoot agent, deployment failure, create dataset from traces, dataset versioning, eval trending, create AI Services, Cognitive Services, create Foundry resource, provision resource, knowledge index, agent monitoring, customize deployment, onboard, availability. DO NOT USE FOR: Azure Functions, App Service, general Azure deploy (use azure-deploy), general Azure prep (use azure-prepare).",lib/microsoft-skills/.github/plugins/azure-skills/skills/microsoft-foundry/SKILL.md
nemo-evaluator-sdk,"Evaluates LLMs across 100+ benchmarks from 18+ harnesses (MMLU, HumanEval, GSM8K, safety, VLM) with multi-backend execution. Use when needing scalable evaluation on local Docker, Slurm HPC, or cloud platforms. NVIDIA's enterprise-grade platform with container-first architecture for reproducible benchmarking.",lib/orchestra-research-ai-research-skills/11-evaluation/nemo-evaluator/SKILL.md
performing-container-image-hardening,"This skill covers hardening container images by minimizing attack surface, removing unnecessary packages, implementing multi-stage builds, configuring non-root users, and applying CIS Docker Benchmark recommendations to produce secure production-ready images.",lib/mukul975-anthropic-cybersecurity-skills/skills/performing-container-image-hardening/SKILL.md
windows-vm,"Create, manage, or connect to a headless Windows 11 VM running in Docker with SSH access. Use when the user wants to spin up, stop, restart, or SSH into a Windows VM.",lib/obra-superpowers-lab/skills/windows-vm/SKILL.md
