skill_id,description,src_path
apify-competitor-intelligence,"Analyze competitor strategies, content, pricing, ads, and market positioning across Google Maps, Booking.com, Facebook, Instagram, YouTube, and TikTok.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/apify-competitor-intelligence/SKILL.md
app-marketing-context,"When the user wants to create or update their app marketing context document. Also use when the user mentions ""app context"", ""marketing brief"", ""app positioning"", or when starting any ASO or app marketing project. This is the foundation skill — all other skills check for this context first.",lib/eronred-aso-skills/skills/app-marketing-context/SKILL.md
auri-core,"Auri: assistente de voz inteligente (Alexa + Claude claude-opus-4-20250805). Visao do produto, persona Vitoria Neural, stack AWS, modelo Free/Pro/Business/Enterprise, roadmap 4 fases, GTM, north star WAC e analise competitiva.",lib/sickn33-antigravity-awesome-skills/skills/auri-core/SKILL.md
beachhead-segment,"Identify the first beachhead market segment for a product launch. Evaluates segments against burning pain, willingness to pay, winnable market share, and referral potential. Use when choosing a first market, targeting an initial customer segment, or planning market entry strategy.",lib/phuryn-pm-skills/pm-go-to-market/skills/beachhead-segment/SKILL.md
business-model,"Generate a Business Model Canvas with all 9 building blocks. Use when creating a business model, documenting how a business creates value, or analyzing an existing business model.",lib/phuryn-pm-skills/pm-product-strategy/skills/business-model/SKILL.md
company-research,"Create a company research brief with executive quotes, product strategy, and org context. Use when preparing for interviews, competitive analysis, partnerships, or market-entry work.",lib/deanpeters-product-manager-skills/skills/company-research/SKILL.md
competitive-battlecard,"Create sales-ready competitive battlecards comparing your product against a specific competitor — positioning, feature comparison, objection handling, and win/loss patterns. Use when preparing sales teams, creating competitive materials, or responding to 'why not competitor X?'",lib/phuryn-pm-skills/pm-go-to-market/skills/competitive-battlecard/SKILL.md
competitive-landscape,"Comprehensive frameworks for analyzing competition, identifying differentiation opportunities, and developing winning market positioning strategies.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/competitive-landscape/SKILL.md
competitor-analysis,"When the user wants to analyze competitors' App Store strategy, find keyword gaps, or understand competitive positioning. Also use when the user mentions ""competitor analysis"", ""competitive research"", ""keyword gap"", ""what are my competitors doing"", or ""compare my app to"". For keyword-specific research, see keyword-research. For metadata writing, see metadata-optimization.",lib/eronred-aso-skills/skills/competitor-analysis/SKILL.md
competitor-intel,"Analyzes competitors using web research to provide verified business metrics, actionable leverage strategies, and predicted next moves. Use when user needs competitive intelligence, competitor analysis, market positioning insights, or strategic leverage opportunities.",lib/ognjengt-founder-skills/skills/competitor-intel/SKILL.md
content-idea-generator,"Generate content ideas rooted in positioning. Use when someone needs ""content ideas,"" ""what should I post,"" ""blog topics,"" ""LinkedIn ideas,"" or is stuck on what to create.",lib/brianrwagner-ai-marketing-skills/content-idea-generator/SKILL.md
copywriting,"When the user wants to write, rewrite, or improve marketing copy for any page — including homepage, landing pages, pricing pages, feature pages, about pages, or product pages. Also use when the user says ""write copy for,"" ""improve this copy,"" ""rewrite this page,"" ""marketing copy,"" ""headline help,"" ""CTA copy,"" ""value proposition,"" ""tagline,"" ""subheadline,"" ""hero section copy,"" ""above the fold,"" ""this copy is weak,"" ""make this more compelling,"" or ""help me describe my product."" Use this whenever someone is working on website text that needs to persuade or convert. For email copy, see email-sequence. For popup copy, see popup-cro. For editing existing copy, see copy-editing.",lib/coreyhaines31-marketingskills/skills/copywriting/SKILL.md
create-prd,"Create a Product Requirements Document using a comprehensive 8-section template covering problem, objectives, segments, value propositions, solution, and release planning. Use when writing a PRD, documenting product requirements, preparing a feature spec, or reviewing an existing PRD.",lib/phuryn-pm-skills/pm-execution/skills/create-prd/SKILL.md
epic-hypothesis,"Frame an epic as a testable hypothesis with target user, expected outcome, and validation method. Use when defining a major initiative before roadmap, discovery, or delivery planning.",lib/deanpeters-product-manager-skills/skills/epic-hypothesis/SKILL.md
experiment-plan,"Turn a refined research proposal or method idea into a detailed, claim-driven experiment roadmap. Use after `research-refine`, or when the user asks for a detailed experiment plan, ablation matrix, evaluation protocol, run order, compute budget, or paper-ready validation that supports the core problem, novelty, simplicity, and any LLM / VLM / Diffusion / RL-based contribution.",lib/wanshuiyin-auto-claude-code-research-in-sleep/skills/experiment-plan/SKILL.md
go-to-market-plan,"Analyzes the founder's business context to deliver 3 best go-to-market strategies tailored to their current stage, product, and market. Asks up to 10 diagnostic questions when needed to understand product readiness, target market clarity, competitive positioning, and distribution channels. Use when user needs go-to-market strategy, launch planning, market entry strategy, or actionable GTM roadmap.",lib/ognjengt-founder-skills/skills/go-to-market-plan/SKILL.md
growth-loops,"Identify growth loops (flywheels) for sustainable traction. Evaluates 5 loop types: Viral, Usage, Collaboration, User-Generated, and Referral. Use when designing growth mechanisms, building product-led traction, or understanding how growth loops work.",lib/phuryn-pm-skills/pm-go-to-market/skills/growth-loops/SKILL.md
gtm-motions,"Identify the best GTM motions and tools across 7 motion types: Inbound, Outbound, Paid Digital, Community, Partners, ABM, and PLG. Use when selecting marketing channels, choosing between inbound and outbound strategy, or planning cross-channel campaigns.",lib/phuryn-pm-skills/pm-go-to-market/skills/gtm-motions/SKILL.md
gtm-strategy,"Create a go-to-market strategy covering marketing channels, messaging, success metrics, and launch timeline. Use when planning a product launch, creating a GTM plan from scratch, or defining a launch strategy for a new market.",lib/phuryn-pm-skills/pm-go-to-market/skills/gtm-strategy/SKILL.md
ideal-customer-profile,"Identify the Ideal Customer Profile (ICP) from research data with demographics, behaviors, JTBD, and needs. Use when defining your ICP, analyzing PMF survey data, or understanding who your best customers are.",lib/phuryn-pm-skills/pm-go-to-market/skills/ideal-customer-profile/SKILL.md
identify-assumptions-new,"Identify risky assumptions for a new product idea across 8 risk categories including Go-to-Market, Strategy, and Team. Use when evaluating startup risks, assessing a new product concept, or mapping assumptions for a new venture.",lib/phuryn-pm-skills/pm-product-discovery/skills/identify-assumptions-new/SKILL.md
