skill_id,description,src_path
adhx,"Fetch any X/Twitter post as clean LLM-friendly JSON. Converts x.com, twitter.com, or adhx.com links into structured data with full article content, author info, and engagement metrics. No scraping or browser required.",lib/antigravity-awesome-skills/skills/adhx/SKILL.md
banner-creator,"Create banners using AI image generation. Discuss format/style, generate variations, iterate with user feedback, crop to target ratio. Use when user wants to create a banner, header, hero image, cover image, GitHub banner, Twitter header, or readme banner.",lib/ReScienceLab-opc-skills/skills/banner-creator/SKILL.md
case-study-builder,"Turn client wins into formatted case studies for proposals, social proof, and sales conversations. Use when someone needs to document results, build credibility, or create reusable proof assets.",lib/ai-marketing-skills/case-study-builder/SKILL.md
ckm:banner-design,"Design banners for social media, ads, website heroes, creative assets, and print. Multiple art direction options with AI-generated visuals. Actions: design, create, generate banner. Platforms: Facebook, Twitter/X, LinkedIn, YouTube, Instagram, Google Display, website hero, print. Styles: minimalist, gradient, bold typography, photo-based, illustrated, geometric, retro, glassmorphism, 3D, neon, duotone, editorial, collage. Uses ui-ux-pro-max, frontend-design, ai-artist, ai-multimodal skills.",lib/nextlevelbuilder-ui-ux-pro-max-skill/.claude/skills/banner-design/SKILL.md
cloud-uploader,Uploads promo videos and content to Cloudflare R2 or AWS S3. Use when the user wants to host promo content for social media or distribution.,lib/bitwize-music-studio-claude-ai-music-skills/skills/cloud-uploader/SKILL.md
conducting-external-reconnaissance-with-osint,"Conducts external reconnaissance using Open Source Intelligence (OSINT) techniques to map an organization's external attack surface without directly interacting with target systems. The tester gathers information from public sources including DNS records, certificate transparency logs, search engines, social media, code repositories, and data breach databases to build a comprehensive target profile. Activates for requests involving OSINT reconnaissance, external footprinting, attack surface mapping, or passive information gathering.",lib/mukul975-Anthropic-Cybersecurity-Skills/skills/conducting-external-reconnaissance-with-osint/SKILL.md
download-video,"Download videos from social media URLs (X/Twitter, YouTube, Instagram, TikTok, etc.) using yt-dlp. Use when saving a video locally, extracting content for transcription, or archiving video references.",lib/rameerez-claude-code-startup-skills/skills/download-video/SKILL.md
fixing-metadata,"Audit and fix HTML metadata including page titles, meta descriptions, canonical URLs, Open Graph tags, Twitter cards, favicons, JSON-LD structured data, and robots directives. Use when adding or reviewing SEO and social metadata.",lib/antigravity-awesome-skills/skills/fixing-metadata/SKILL.md
instagram,"Integracao completa com Instagram via Graph API. Publicacao, analytics, comentarios, DMs, hashtags, agendamento, templates e gestao de contas Business/Creator.",lib/antigravity-awesome-skills/skills/instagram/SKILL.md
lead-magnet-generator,Creates viral lead magnet posts that drive comments and DMs. Produces 2 versions - a quick punchy format and a detailed format with bullet points. Use when user needs social media posts to give away a lead magnet in exchange for engagement.,lib/founder-skills/skills/lead-magnet-generator/SKILL.md
pestle-analysis,"Perform a PESTLE analysis covering Political, Economic, Social, Technological, Legal, and Environmental factors. Use when assessing the macro environment, doing strategic planning, or evaluating external factors affecting your business.",lib/pm-skills/pm-product-strategy/skills/pestle-analysis/SKILL.md
promo-director,"Generates 15-second vertical promo videos for social media from mastered audio. Use after mastering is complete and before release, when the user wants social media content.",lib/bitwize-music-studio-claude-ai-music-skills/skills/promo-director/SKILL.md
promo-reviewer,Reviews and iterates on social media copy in album promo/ files. Use after populating promo templates and before release to polish platform-specific posts.,lib/bitwize-music-studio-claude-ai-music-skills/skills/promo-reviewer/SKILL.md
promo-writer,"Generates platform-specific social media copy from album themes, track concepts, and lyrics. Use when promo/ templates need to be populated before release.",lib/bitwize-music-studio-claude-ai-music-skills/skills/promo-writer/SKILL.md
seek-and-analyze-video,Seek and analyze video content using Memories.ai Large Visual Memory Model for persistent video intelligence,lib/antigravity-awesome-skills/skills/seek-and-analyze-video/SKILL.md
snipgrapher,"Configures and uses snipgrapher to generate polished code snippet images, including syntax-highlighted PNGs, SVGs, and WebP exports with custom themes, profiles, and styling options. Use when the user wants to create code screenshots, turn code into shareable images, generate pretty code snippets for docs or social posts, produce syntax-highlighted images from source files, or explicitly mentions snipgrapher. Supports single-file renders, batch jobs, watch mode, and reusable named profiles via the snipgrapher CLI or npx.",lib/mcollina-skills/skills/snipgrapher/SKILL.md
social-card-gen,"Generate platform-specific social post variants (Twitter/X, LinkedIn, Reddit) from one source input. Works with or without Node.js script. Includes platform reasoning, quality review, and guardrails against cross-posting spam.",lib/ai-marketing-skills/social-card-gen/SKILL.md
social-content,"You are an expert social media strategist with direct access to a scheduling platform that publishes to all major social networks. Your goal is to help create engaging content that builds audience, drives engagement, and supports business goals.",lib/antigravity-awesome-skills/skills/social-content/SKILL.md
social-orchestrator,"Orquestrador unificado de canais sociais — coordena Instagram, Telegram e WhatsApp em um unico fluxo de trabalho. Publicacao cross-channel, metricas unificadas, reutilizacao de conteudo por formato, agendamento sincronizado e gestao centralizada de campanhas em todos os canais simultaneamente.",lib/antigravity-awesome-skills/skills/social-orchestrator/SKILL.md
testimonial-collector,"Systematically gather, score, and format client testimonials. Use when someone needs social proof, wants to collect feedback, needs to turn happy clients into public advocates, or asks for help requesting or drafting a testimonial.",lib/ai-marketing-skills/testimonial-collector/SKILL.md
twitter,"Search and retrieve content from Twitter/X. Get user info, tweets, replies, followers, communities, spaces, and trends via twitterapi.io. Use when user mentions Twitter, X, or tweets.",lib/ReScienceLab-opc-skills/skills/twitter/SKILL.md
twitter-automation,"Automate Twitter/X tasks via Rube MCP (Composio): posts, search, users, bookmarks, lists, media. Always search tools first for current schemas.",lib/antigravity-awesome-skills/skills/twitter-automation/SKILL.md
viral-hook-creator,"Creates viral social media hooks using proven psychological patterns and trigger words. Use when user needs attention-grabbing openings for posts, threads, videos, or content.",lib/founder-skills/skills/viral-hook-creator/SKILL.md
x-article-publisher,"Publish Markdown articles to X (Twitter) Articles editor with proper formatting. Use when user wants to publish a Markdown file/URL to X Articles, or mentions ""publish to X"", ""post article to Twitter"", ""X article"", or wants help with X Premium article publishing. Handles cover image upload and converts Markdown to rich text automatically.",lib/x-article-publisher-skill/skills/x-article-publisher/SKILL.md
x-article-publisher-skill,Publish articles to X/Twitter,lib/antigravity-awesome-skills/skills/x-article-publisher-skill/SKILL.md
x-post,"Post to X (Twitter) from the command line. Text, images, and video.",lib/rameerez-claude-code-startup-skills/skills/x-post/SKILL.md
x-twitter-scraper,"X (Twitter) data platform skill — tweet search, user lookup, follower extraction, engagement metrics, giveaway draws, monitoring, webhooks, 19 extraction tools, MCP server.",lib/antigravity-awesome-skills/skills/x-twitter-scraper/SKILL.md
x-writer,"Creates viral X (Twitter) posts using proven formats, post templates, and creator voice matching. Use when user needs engaging, high-performing posts for X/Twitter.",lib/founder-skills/skills/x-writer/SKILL.md
