"id","description","path","triggers","src","primary_hub","assigned_hubs","match_score","is_primary"
"007","Security audit, hardening, threat modeling (STRIDE/PASTA), Red/Blue Team, OWASP checks, code review, incident response, and infrastructure security for any project.","skill-manage/src/antigravity-awesome-skills/skills/007/SKILL.md","007","external:antigravity-awesome-skills","devops/cloud","devops/cloud","8","True"
"analyzing-azure-activity-logs-for-threats",">","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-azure-activity-logs-for-threats/SKILL.md","analyzing;azure;activity;logs;for","external:mukul975-Anthropic-Cybersecurity-Skills","devops/cloud","devops/cloud","4","True"
"analyzing-cobalt-strike-beacon-configuration","Extract and analyze Cobalt Strike beacon configuration from PE files and memory dumps to identify C2 infrastructure, malleable profiles, and operator tradecraft.","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-cobalt-strike-beacon-configuration/SKILL.md","analyzing;cobalt;strike;beacon;configuration","external:mukul975-Anthropic-Cybersecurity-Skills","devops/cloud","devops/cloud","4","True"
"analyzing-ethereum-smart-contract-vulnerabilities","Perform static and symbolic analysis of Solidity smart contracts using Slither and Mythril to detect reentrancy, integer overflow, access control, and other vulnerability classes before deployment to Ethereum mainnet.","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-ethereum-smart-contract-vulnerabilities/SKILL.md","analyzing;ethereum;smart;contract;vulnerabilities","external:mukul975-Anthropic-Cybersecurity-Skills","devops/cloud","devops/cloud","6","True"
"analyzing-linux-audit-logs-for-intrusion",">","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-linux-audit-logs-for-intrusion/SKILL.md","analyzing;linux;audit;logs;for","external:mukul975-Anthropic-Cybersecurity-Skills","devops/cloud","devops/cloud","4","True"
"analyzing-linux-kernel-rootkits","Detect kernel-level rootkits in Linux memory dumps using Volatility3 linux plugins (check_syscall, lsmod, hidden_modules), rkhunter system scanning, and /proc vs /sys discrepancy analysis to identify hooked syscalls, hidden kernel modules, and tampered system structures.","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-linux-kernel-rootkits/SKILL.md","analyzing;linux;kernel;rootkits","external:mukul975-Anthropic-Cybersecurity-Skills","devops/cloud","devops/cloud","4","True"
"analyzing-linux-system-artifacts","Examine Linux system artifacts including auth logs, cron jobs, shell history, and system configuration to uncover evidence of compromise or unauthorized activity.","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-linux-system-artifacts/SKILL.md","analyzing;linux;system;artifacts","external:mukul975-Anthropic-Cybersecurity-Skills","devops/cloud","devops/cloud","8","True"
"analyzing-lnk-file-and-jump-list-artifacts","Analyze Windows LNK shortcut files and Jump List artifacts to establish evidence of file access, program execution, and user activity using LECmd, JLECmd, and manual binary parsing of the Shell Link Binary format.","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-lnk-file-and-jump-list-artifacts/SKILL.md","analyzing;lnk;file;and;jump","external:mukul975-Anthropic-Cybersecurity-Skills","devops/cloud","devops/cloud","8","True"
"analyzing-persistence-mechanisms-in-linux","Detect and analyze Linux persistence mechanisms including crontab entries, systemd service units, LD_PRELOAD hijacking, bashrc modifications, and authorized_keys backdoors using auditd and file integrity monitoring","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-persistence-mechanisms-in-linux/SKILL.md","analyzing;persistence;mechanisms;in;linux","external:mukul975-Anthropic-Cybersecurity-Skills","devops/cloud","devops/cloud","10","True"
"analyzing-powershell-empire-artifacts","Detect PowerShell Empire framework artifacts in Windows event logs by identifying Base64 encoded launcher patterns, default user agents, staging URL structures, stager IOCs, and known Empire module signatures in Script Block Logging events.","skill-manage/src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-powershell-empire-artifacts/SKILL.md","analyzing;powershell;empire;artifacts","external:mukul975-Anthropic-Cybersecurity-Skills","devops/cloud","devops/cloud","10","True"
