"id","description","path","triggers","src","primary_hub","assigned_hubs","match_score","is_primary"
"context-compression","When agent sessions generate millions of tokens of conversation history, compression becomes mandatory. The naive approach is aggressive compression to minimize tokens per request.","skill-manage/src/antigravity-awesome-skills/skills/context-compression/SKILL.md","context;compression","external:antigravity-awesome-skills","ai/prompting-builder","ai/prompting-builder","100","True"
"context-engineering-advisor","Diagnose context stuffing vs. context engineering. Use when an AI workflow feels bloated, brittle, or hard to steer reliably.","skill-manage/src/Product-Manager-Skills/skills/context-engineering-advisor/SKILL.md","context;engineering;advisor","external:Product-Manager-Skills","ai/prompting-builder","ai/prompting-builder","100","True"
"context-optimization","Context optimization extends the effective capacity of limited context windows through strategic compression, masking, caching, and partitioning. The goal is not to magically increase context windows but to make better use of available capacity.","skill-manage/src/antigravity-awesome-skills/skills/context-optimization/SKILL.md","context;optimization","external:antigravity-awesome-skills","ai/prompting-builder","ai/prompting-builder","5","True"
"enhance-prompt","Transforms vague UI ideas into polished, Stitch-optimized prompts. Enhances specificity, adds UI/UX keywords, injects design system context, and structures output for better generation results.","skill-manage/src/antigravity-awesome-skills/skills/enhance-prompt/SKILL.md","enhance;prompt","external:antigravity-awesome-skills","ai/prompting-builder","ai/prompting-builder","100","True"
"llm-application-dev-prompt-optimize","You are an expert prompt engineer specializing in crafting effective prompts for LLMs through advanced techniques including constitutional AI, chain-of-thought reasoning, and model-specific optimizati","skill-manage/src/antigravity-awesome-skills/skills/llm-application-dev-prompt-optimize/SKILL.md","llm;application;dev;prompt;optimize","external:antigravity-awesome-skills","ai/prompting-builder","ai/prompting-builder","100","True"
"llm-prompt-optimizer","Use when improving prompts for any LLM. Applies proven prompt engineering techniques to boost output quality, reduce hallucinations, and cut token usage.","skill-manage/src/antigravity-awesome-skills/skills/llm-prompt-optimizer/SKILL.md","llm;prompt;optimizer","external:antigravity-awesome-skills","ai/prompting-builder","ai/prompting-builder","100","True"
"llm-structured-output",">","skill-manage/src/antigravity-awesome-skills/skills/llm-structured-output/SKILL.md","llm;structured;output","external:antigravity-awesome-skills","ai/prompting-builder","ai/prompting-builder","100","True"
"prompt-caching","You're a caching specialist who has reduced LLM costs by 90% through strategic caching. You've implemented systems that cache at multiple levels: prompt prefixes, full responses, and semantic similarity matches.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-llm-application-developer/skills/prompt-caching/SKILL.md","prompt;caching","external:antigravity-awesome-skills","ai/prompting-builder","ai/prompting-builder","100","True"
"prompt-engineer","Transforms user prompts into optimized prompts using frameworks (RTF, RISEN, Chain of Thought, RODES, Chain of Density, RACE, RISE, STAR, SOAP, CLEAR, GROW)","skill-manage/src/antigravity-awesome-skills/skills/prompt-engineer/SKILL.md","prompt;engineer","external:antigravity-awesome-skills","ai/prompting-builder","ai/prompting-builder","100","True"
"prompt-engineering","Expert guide on prompt engineering patterns, best practices, and optimization techniques. Use when user wants to improve prompts, learn prompting strategies, or debug agent behavior.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-agent-architect/skills/prompt-engineering/SKILL.md","prompt;engineering","external:antigravity-awesome-skills","ai/prompting-builder","ai/prompting-builder","100","True"
"prompt-engineering-patterns","Master advanced prompt engineering techniques to maximize LLM performance, reliability, and controllability.","skill-manage/src/antigravity-awesome-skills/skills/prompt-engineering-patterns/SKILL.md","prompt;engineering;patterns","external:antigravity-awesome-skills","ai/prompting-builder","ai/prompting-builder","100","True"
"prompt-library","A comprehensive collection of battle-tested prompts inspired by [awesome-chatgpt-prompts](https://github.com/f/awesome-chatgpt-prompts) and community best practices.","skill-manage/src/antigravity-awesome-skills/skills/prompt-library/SKILL.md","prompt;library","external:antigravity-awesome-skills","ai/prompting-builder","ai/prompting-builder","100","True"
"rating-prompt-strategy","When the user wants to improve their app's star rating, increase ratings volume, optimize when and how they prompt users for a review, or recover from a bad rating period. Use when the user mentions ""app rating"", ""star rating"", ""review prompt"", ""SKStoreReviewRequest"", ""In-App Review API"", ""ask for review"", ""low rating"", ""rating drop"", ""get more reviews"", or ""recover from 1-star"". For responding to reviews, see review-management. For overall ASO health, see aso-audit.","skill-manage/src/aso-skills/skills/rating-prompt-strategy/SKILL.md","rating;prompt;strategy","external:aso-skills","ai/prompting-builder","ai/prompting-builder","100","True"
