skill_id,description,score,phase
Resume Tailor,Customize resume for specific job postings while maintaining truthfulness,100,4
advogado-criminal,"Advogado criminalista especializado em Maria da Penha, violencia domestica, feminicidio, direito penal brasileiro, medidas protetivas, inquerito policial e acao penal.",100,4
advogado-especialista,"Advogado especialista em todas as areas do Direito brasileiro: familia, criminal, trabalhista, tributario, consumidor, imobiliario, empresarial, civil e constitucional.",100,4
agentic-actions-auditor,"Audits GitHub Actions workflows for security vulnerabilities in AI agent integrations including Claude Code Action, Gemini CLI, OpenAI Codex, and GitHub AI Inference. Detects attack vectors where attacker-controlled input reaches. AI agents running in CI/CD pipelines.",100,4
analyze-feature-requests,"Analyze and prioritize a list of feature requests by theme, strategic alignment, impact, effort, and risk. Use when reviewing customer feature requests, triaging a backlog, or making prioritization decisions.",100,4
analyzing-heap-spray-exploitation,"Detect and analyze heap spray attacks in memory dumps using Volatility3 plugins to identify NOP sled patterns, shellcode landing zones, and suspicious large allocations in process virtual address space.",100,4
analyzing-macro-malware-in-office-documents,"Analyzes malicious VBA macros embedded in Microsoft Office documents (Word, Excel, PowerPoint) to identify download cradles, payload execution, persistence mechanisms, and anti-analysis techniques. Uses olevba, oledump, and VBA deobfuscation to extract the attack chain. Activates for requests involving Office macro analysis, VBA malware investigation, maldoc analysis, or document-based threat examination.",100,4
app-store-changelog,Generate user-facing App Store release notes from git history since the last tag.,100,4
arm-cortex-expert,"Senior embedded software engineer specializing in firmware and driver development for ARM Cortex-M microcontrollers (Teensy, STM32, nRF52, SAMD).",100,4
asc-ppp-pricing,"Set territory-specific pricing for subscriptions and in-app purchases using current asc setup, pricing summary, price import, and price schedule commands. Use when adjusting prices by country or implementing localized PPP strategies.",100,4
asc-workflow,"Define, validate, and run repo-local multi-step automations with `asc workflow` and `.asc/workflow.json`. Use when migrating from lane tools, wiring CI pipelines, or orchestrating repeatable `asc` + shell release flows with hooks, conditionals, and sub-workflows.",100,4
aso-audit,"When the user wants a full ASO health audit, review their App Store listing quality, or diagnose why their app isn't ranking. Also use when the user mentions ""ASO audit"", ""ASO score"", ""why am I not ranking"", ""listing review"", or ""optimize my app store page"". For keyword-specific research, see keyword-research. For metadata writing, see metadata-optimization.",100,4
autoplan,"Auto-review pipeline — reads the full CEO, design, and eng review skills from disk and runs them sequentially with auto-decisions using 6 decision principles. Surfaces taste decisions (close approaches, borderline scope, codex disagreements) at a final approval gate. One command, fully reviewed plan out. Use when asked to ""auto review"", ""autoplan"", ""run all reviews"", ""review this plan automatically"", or ""make the decisions for me"". Proactively suggest when the user has a plan file and wants to run the full review gauntlet without answering 15-30 intermediate questions.",100,4
azure-quotas,"Check/manage Azure quotas and usage across providers. For deployment planning, capacity validation, region selection. WHEN: ""check quotas"", ""service limits"", ""current usage"", ""request quota increase"", ""quota exceeded"", ""validate capacity"", ""regional availability"", ""provisioning limits"", ""vCPU limit"", ""how many vCPUs available in my subscription"".",100,4
bash-defensive-patterns,"Master defensive Bash programming techniques for production-grade scripts. Use when writing robust shell scripts, CI/CD pipelines, or system utilities requiring fault tolerance and safety.",100,5
bash-pro,"Master of defensive Bash scripting for production automation, CI/CD pipelines, and system utilities. Expert in safe, portable, and testable shell scripts.",100,4
building-devsecops-pipeline-with-gitlab-ci,"Design and implement a comprehensive DevSecOps pipeline in GitLab CI/CD integrating SAST, DAST, container scanning, dependency scanning, and secret detection.",100,5
c-pro,"Write efficient C code with proper memory management, pointer",100,4
c4-code,"Expert C4 Code-level documentation specialist. Analyzes code directories to create comprehensive C4 code-level documentation including function signatures, arguments, dependencies, and code structure.",100,4
c4-container,Expert C4 Container-level documentation specialist.,100,4
c4-context,"Expert C4 Context-level documentation specialist. Creates high-level system context diagrams, documents personas, user journeys, system features, and external dependencies.",100,4
cicd-automation-workflow-automate,"You are a workflow automation expert specializing in creating efficient CI/CD pipelines, GitHub Actions workflows, and automated development processes. Design and implement automation that reduces manual work, improves consistency, and accelerates delivery while maintaining quality and security.",100,4
citation-management,"Comprehensive citation management for academic research. Search Google Scholar and PubMed for papers, extract accurate metadata, validate citations, and generate properly formatted BibTeX entries. This skill should be used when you need to find papers, verify citation information, convert DOIs to BibTeX, or ensure reference accuracy in scientific writing.",100,4
claude-scientific-skills,Scientific research and analysis skills,100,4
clean-code,"This skill embodies the principles of ""Clean Code"" by Robert C. Martin (Uncle Bob). Use it to transform ""code that works"" into ""code that is clean.""",100,4
closed-loop-delivery,"Use when a coding task must be completed against explicit acceptance criteria with minimal user re-intervention across implementation, review feedback, deployment, and runtime verification.",100,4
cloud-devops,"Cloud infrastructure and DevOps workflow covering AWS, Azure, GCP, Kubernetes, Terraform, CI/CD, monitoring, and cloud-native development.",100,4
code-documentation-code-explain,"You are a code education expert specializing in explaining complex code through clear narratives, visual diagrams, and step-by-step breakdowns. Transform difficult concepts into understandable explanations for developers at all levels.",100,4
code-refactoring-tech-debt,"You are a technical debt expert specializing in identifying, quantifying, and prioritizing technical debt in software projects. Analyze the codebase to uncover debt, assess its impact, and create acti",100,4
code-review:review-local-changes,Comprehensive review of local uncommitted changes using specialized agents with code improvement suggestions,100,4
code-review:review-pr,Comprehensive pull request review using specialized agents,100,4
code-reviewer,Elite code review expert specializing in modern AI-powered code,100,4
code-simplifier,"Simplifies and refines code for clarity, consistency, and maintainability while preserving all functionality. Use when asked to ""simplify code"", ""clean up code"", ""refactor for clarity"", ""improve readability"", or review recently modified code for elegance. Focuses on project-specific best practices.",100,4
codebase-cleanup-tech-debt,"You are a technical debt expert specializing in identifying, quantifying, and prioritizing technical debt in software projects. Analyze the codebase to uncover debt, assess its impact, and create acti",100,4
codex-review,"OpenAI Codex CLI code review with GPT-5.2-Codex, CI/CD integration",100,4
comm-lit-review,"Communications-domain literature review and related-work search with database-aware source control. Use when the task is about communications, wireless, networking, satellite/NTN, Wi-Fi, cellular, transport protocols, congestion control, routing, scheduling, MAC/PHY, rate adaptation, channel estimation, beamforming, or communication-system research and the user wants papers, prior art, a survey, related work, or a landscape summary. Prioritize IEEE Xplore and ScienceDirect, prefer formal publications over preprints, and separate foundational work from recent progress.",100,5
comm-lit-review-claude-single,"Communications-domain literature review with Claude-style knowledge-base-first retrieval. Use when the task is about communications, wireless, networking, satellite/NTN, Wi-Fi, cellular, transport protocols, congestion control, routing, scheduling, MAC/PHY, rate adaptation, channel estimation, beamforming, or communication-system research and the user wants papers, related work, a survey, or a landscape summary. Search Zotero, Obsidian, and local paper folders first when available, then search IEEE Xplore, ScienceDirect, ACM Digital Library, and broader web in that order.",100,5
computer-vision-expert,"SOTA Computer Vision Expert (2026). Specialized in YOLO26, Segment Anything 3 (SAM 3), Vision Language Models, and real-time spatial analysis.",100,4
