skill_id,description,src_path
ab-test-setup,"When the user wants to plan, design, or implement an A/B test or experiment. Also use when the user mentions ""A/B test,"" ""split test,"" ""experiment,"" ""test this change,"" ""variant copy,"" ""multivariate test,"" ""hypothesis,"" ""should I test this,"" ""which version is better,"" ""test two versions,"" ""statistical significance,"" or ""how long should I run this test."" Use this whenever someone is comparing two approaches and wants to measure which performs better. For tracking implementation, see analytics-tracking. For page-level conversion optimization, see page-cro.",lib/coreyhaines31-marketingskills/skills/ab-test-setup/SKILL.md
album-dashboard,"Shows a structured progress dashboard for an album with percentage complete per phase, blocking items, and status breakdown. Use for a quick visual overview of album progress.",lib/bitwize-music-studio-claude-ai-music-skills/skills/album-dashboard/SKILL.md
analytics-tracking,"When the user wants to set up, improve, or audit analytics tracking and measurement. Also use when the user mentions ""set up tracking,"" ""GA4,"" ""Google Analytics,"" ""conversion tracking,"" ""event tracking,"" ""UTM parameters,"" ""tag manager,"" ""GTM,"" ""analytics implementation,"" ""tracking plan,"" ""how do I measure this,"" ""track conversions,"" ""attribution,"" ""Mixpanel,"" ""Segment,"" ""are my events firing,"" or ""analytics isn't working."" Use this whenever someone asks how to know if something is working or wants to measure marketing results. For A/B test measurement, see ab-test-setup.",lib/coreyhaines31-marketingskills/skills/analytics-tracking/SKILL.md
app-analytics,"When the user wants to set up, interpret, or improve their app analytics and tracking. Also use when the user mentions ""analytics"", ""tracking"", ""metrics"", ""KPIs"", ""App Store Connect analytics"", ""install tracking"", ""funnel"", ""attribution"", or ""how is my app performing"". For A/B testing, see ab-test-store-listing. For retention metrics, see retention-optimization.",lib/eronred-aso-skills/skills/app-analytics/SKILL.md
building-incident-response-dashboard,"Builds real-time incident response dashboards in Splunk, Elastic, or Grafana to provide SOC analysts and leadership with situational awareness during active incidents, tracking affected systems, containment status, IOC spread, and response timeline. Use when IR teams need unified visibility during incident coordination and post-incident reporting.",lib/mukul975-anthropic-cybersecurity-skills/skills/building-incident-response-dashboard/SKILL.md
building-soc-metrics-and-kpi-tracking,"Builds SOC performance metrics and KPI tracking dashboards measuring Mean Time to Detect (MTTD), Mean Time to Respond (MTTR), alert quality ratios, analyst productivity, and detection coverage using SIEM data. Use when SOC leadership needs operational visibility, continuous improvement tracking, or executive-level reporting on security operations effectiveness.",lib/mukul975-anthropic-cybersecurity-skills/skills/building-soc-metrics-and-kpi-tracking/SKILL.md
business-analyst,"Master modern business analysis with AI-powered analytics, real-time dashboards, and data-driven insights. Build comprehensive KPI frameworks, predictive models, and strategic recommendations.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/business-analyst/SKILL.md
charlie,"Your AI CFO for bootstrapped startups, named after Charlie Munger who embodied the principle that capital discipline is a competitive advantage. Provides financial frameworks for cash management, runway calculations, unit economics (LTV:CAC), capital allocation, hiring ROI, burn rate analysis, working capital optimization, and forecasting. Use for questions like ""should we make this hire?"", ""how much runway do we need?"", ""what metrics should I track?"", ""how do I forecast revenue?"", or any strategic financial decision at a self-funded company.",lib/everyinc-charlie-cfo-skill/SKILL.md
chat-widget,"Build a real-time support chat system with a floating widget for users and an admin dashboard for support staff. Use when the user wants live chat, customer support chat, real-time messaging, or in-app support.",lib/shpigford-skills/chat-widget/SKILL.md
ecom,"Claude-powered ecommerce business review toolkit for D2C stores. Single command: review. Analyzes order transaction data across multiple time periods (30d/90d/365d), produces KPI trees with health signals, structured findings, and concrete action plans. Triggers on: ""ecommerce review"", ""store review"", ""store health"", ""revenue analysis"", ""customer analysis"", ""product analysis"", ""business review"".",lib/takechanman1228-claude-ecom/skills/ecom/SKILL.md
google-analytics-automation,"Automate Google Analytics tasks via Rube MCP (Composio): run reports, list accounts/properties, funnels, pivots, key events. Always search tools first for current schemas.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/google-analytics-automation/SKILL.md
kpi-dashboard-design,Comprehensive patterns for designing effective Key Performance Indicator (KPI) dashboards that drive business decisions.,lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/kpi-dashboard-design/SKILL.md
llm-evaluation,"Master comprehensive evaluation strategies for LLM applications, from automated metrics to human evaluation and A/B testing.",lib/sickn33-antigravity-awesome-skills/plugins/antigravity-awesome-skills-claude/skills/llm-evaluation/SKILL.md
metrics-dashboard,"Define and design a product metrics dashboard with key metrics, data sources, visualization types, and alert thresholds. Use when creating a metrics dashboard, defining KPIs, setting up product analytics, or building a data monitoring plan.",lib/phuryn-pm-skills/pm-product-discovery/skills/metrics-dashboard/SKILL.md
posthog-analytics,"PostHog analytics, event tracking, feature flags, dashboards",lib/alinaqi-claude-bootstrap/skills/posthog-analytics/SKILL.md
