skill_id,description,src_path
analyzing-browser-forensics-with-hindsight,"Analyze Chromium-based browser artifacts using Hindsight to extract browsing history, downloads, cookies, cached content, autofill data, saved passwords, and browser extensions from Chrome, Edge, Brave, and Opera for forensic investigation.",lib/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-browser-forensics-with-hindsight/SKILL.md
azure-resource-manager-redis-dotnet,Azure Resource Manager SDK for Redis in .NET.,lib/antigravity-awesome-skills/skills/azure-resource-manager-redis-dotnet/SKILL.md
cache-integration,cache integration,lib/kreuzberg-dev-kreuzberg/.ai-rulez/domains/document-extraction/skills/cache-integration/SKILL.md
debug-buttercup,"All pods run in namespace crs. Use when pods in the crs namespace are in CrashLoopBackOff, OOMKilled, or restarting, multiple services restart simultaneously (cascade failure), or redis is unresponsive or showing AOF warnings.",lib/antigravity-awesome-skills/skills/debug-buttercup/SKILL.md
extracting-browser-history-artifacts,"Extract and analyze browser history, cookies, cache, downloads, and bookmarks from Chrome, Firefox, and Edge for forensic evidence of user web activity.",lib/mukul975-Anthropic-Cybersecurity-Skills/skills/extracting-browser-history-artifacts/SKILL.md
hugging-face-cli,"The hf CLI provides direct terminal access to the Hugging Face Hub for downloading, uploading, and managing repositories, cache, and compute resources.",lib/antigravity-awesome-skills/skills/hugging-face-cli/SKILL.md
netlify-caching,"Guide for controlling caching on Netlify's CDN. Use when configuring cache headers, setting up stale-while-revalidate, implementing on-demand cache purge, or understanding Netlify's CDN caching behavior. Covers Cache-Control, Netlify-CDN-Cache-Control, cache tags, durable cache, and framework-specific caching patterns.",lib/context-and-tools/codex/skills/netlify-caching/SKILL.md
performing-web-cache-deception-attack,Execute web cache deception attacks by exploiting path normalization discrepancies between CDN caching layers and origin servers to cache and retrieve sensitive authenticated content.,lib/mukul975-Anthropic-Cybersecurity-Skills/skills/performing-web-cache-deception-attack/SKILL.md
prompt-caching,"You're a caching specialist who has reduced LLM costs by 90% through strategic caching. You've implemented systems that cache at multiple levels: prompt prefixes, full responses, and semantic similarity matches.",lib/antigravity-awesome-skills/plugins/antigravity-bundle-llm-application-developer/skills/prompt-caching/SKILL.md
rwkv-architecture,"RNN+Transformer hybrid with O(n) inference. Linear time, infinite context, no KV cache. Train like GPT (parallel), infer like RNN (sequential). Linux Foundation AI project. Production at Windows, Office, NeMo. RWKV-7 (March 2025). Models up to 14B parameters.",lib/Orchestra-Research-AI-research-SKILLs/01-model-architecture/rwkv/SKILL.md
swift-valkey,"Expert guidance on using Valkey and Redis with Swift. Use when developers mention: (1) Valkey or Redis in Swift, (2) valkey-swift library, (3) RESP protocol or RESP3, (4) Redis cluster routing or hash slots, (5) pub/sub or subscriptions, (6) Redis transactions or MULTI/EXEC, (7) caching with Redis.",lib/Joannis-claude-skills/swift-valkey/SKILL.md
