"id","description","path","triggers","src","primary_hub","assigned_hubs","match_score","is_primary"
"algolia-search","Expert patterns for Algolia search implementation, indexing strategies, React InstantSearch, and relevance tuning Use when: adding search to, algolia, instantsearch, search api, search functionality.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-commerce-payments/skills/algolia-search/SKILL.md","algolia;search","external:antigravity-awesome-skills","frontend/react-nextjs","frontend/react-nextjs","4","true"
"clerk-auth","Expert patterns for Clerk auth implementation, middleware, organizations, webhooks, and user sync Use when: adding authentication, clerk auth, user authentication, sign in, sign up.","skill-manage/src/antigravity-awesome-skills/skills/clerk-auth/SKILL.md","clerk;auth","external:antigravity-awesome-skills","frontend/react-nextjs","frontend/react-nextjs","100","true"
"fp-react","Practical patterns for using fp-ts with React - hooks, state, forms, data fetching. Works with React 18/19, Next.js 14/15.","skill-manage/src/antigravity-awesome-skills/skills/fp-react/SKILL.md","fp;react","external:antigravity-awesome-skills","frontend/react-nextjs","frontend/react-nextjs","8","true"
"fp-ts-react","Practical patterns for using fp-ts with React - hooks, state, forms, data fetching. Use when building React apps with functional programming patterns. Works with React 18/19, Next.js 14/15.","skill-manage/src/antigravity-awesome-skills/skills/fp-ts-react/SKILL.md","fp;ts;react","external:antigravity-awesome-skills","frontend/react-nextjs","frontend/react-nextjs","8","true"
"frontend-developer","Build React components, implement responsive layouts, and handle client-side state management. Masters React 19, Next.js 15, and modern frontend architecture.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-full-stack-developer/skills/frontend-developer/SKILL.md","frontend;developer","external:antigravity-awesome-skills","frontend/react-nextjs","frontend/react-nextjs","4","true"
"netlify-frameworks","Guide for deploying web frameworks on Netlify. Use when setting up a framework project (Vite/React, Astro, TanStack Start, Next.js, Nuxt, SvelteKit, Remix) for Netlify deployment, configuring adapters or plugins, or troubleshooting framework-specific Netlify integration. Covers what Netlify needs from each framework and how adapters handle server-side rendering.","skill-manage/src/context-and-tools/codex/skills/netlify-frameworks/SKILL.md","netlify;frameworks","external:context-and-tools","frontend/react-nextjs","frontend/react-nextjs","14","true"
"nextjs-app-router-patterns","Comprehensive patterns for Next.js 14+ App Router architecture, Server Components, and modern full-stack React development.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-typescript-javascript/skills/nextjs-app-router-patterns/SKILL.md","nextjs;app;router;patterns","external:antigravity-awesome-skills","frontend/react-nextjs","frontend/react-nextjs","10","true"
"nextjs-best-practices","Next.js App Router principles. Server Components, data fetching, routing patterns.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-web-wizard/skills/nextjs-best-practices/SKILL.md","nextjs;best;practices","external:antigravity-awesome-skills","frontend/react-nextjs","frontend/react-nextjs","4","true"
"nextjs-supabase-auth","Expert integration of Supabase Auth with Next.js App Router Use when: supabase auth next, authentication next.js, login supabase, auth middleware, protected route.","skill-manage/src/antigravity-awesome-skills/skills/nextjs-supabase-auth/SKILL.md","nextjs;supabase;auth","external:antigravity-awesome-skills","frontend/react-nextjs","frontend/react-nextjs","100","true"
"react-best-practices","Comprehensive performance optimization guide for React and Next.js applications, maintained by Vercel. Use when writing new React components or Next.js pages, implementing data fetching (client or server-side), or reviewing code for performance issues.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-typescript-javascript/skills/react-best-practices/SKILL.md","react;best;practices","external:antigravity-awesome-skills","frontend/react-nextjs","frontend/react-nextjs","4","true"
