"id","description","path","triggers","src","primary_hub","assigned_hubs","match_score","is_primary"
"ab-test-setup","Structured guide for setting up A/B tests with mandatory gates for hypothesis, metrics, and execution readiness.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-data-analytics/skills/ab-test-setup/SKILL.md","ab;test;setup","external:antigravity-awesome-skills","marketing/content","marketing/content","7","True"
"ad-creative","When the user wants to generate, iterate, or scale ad creative — headlines, descriptions, primary text, or full ad variations — for any paid advertising platform. Also use when the user mentions 'ad copy variations,' 'ad creative,' 'generate headlines,' 'RSA headlines,' 'bulk ad copy,' 'ad iterations,' 'creative testing,' 'ad performance optimization,' 'write me some ads,' 'Facebook ad copy,' 'Google ad headlines,' 'LinkedIn ad text,' or 'I need more ad variations.' Use this whenever someone needs to produce ad copy at scale or iterate on existing ads. For campaign strategy and targeting, see paid-ads. For landing page copy, see copywriting.","skill-manage/src/marketingskills/skills/ad-creative/SKILL.md","ad;creative","external:marketingskills","marketing/content","marketing/content","9","True"
"ai-discoverability-audit","Audit how a brand appears in AI-powered search (ChatGPT, Perplexity, Claude, Gemini). Use when user mentions ""AI search,"" ""how do I show up in ChatGPT,"" ""AI discoverability,"" ""AEO,"" ""LLM visibility,"" or wants to understand their brand's AI presence.","skill-manage/src/ai-marketing-skills/ai-discoverability-audit/SKILL.md","ai;discoverability;audit","external:ai-marketing-skills","marketing/content","marketing/content","100","True"
"ai-seo","Optimize content for AI search and LLM citations across AI Overviews, ChatGPT, Perplexity, Claude, Gemini, and similar systems. Use when improving AI visibility, answer engine optimization, or citation readiness.","skill-manage/src/antigravity-awesome-skills/skills/ai-seo/SKILL.md","ai;seo","external:antigravity-awesome-skills","marketing/content","marketing/content","15","True"
"aso-audit","When the user wants a full ASO health audit, review their App Store listing quality, or diagnose why their app isn't ranking. Also use when the user mentions ""ASO audit"", ""ASO score"", ""why am I not ranking"", ""listing review"", or ""optimize my app store page"". For keyword-specific research, see keyword-research. For metadata writing, see metadata-optimization.","skill-manage/src/aso-skills/skills/aso-audit/SKILL.md","aso;audit","external:aso-skills","marketing/content","marketing/content","5","True"
"avoid-ai-writing","Audit and rewrite content to remove 21 categories of AI writing patterns with a 43-entry replacement table","skill-manage/src/antigravity-awesome-skills/skills/avoid-ai-writing/SKILL.md","avoid;ai;writing","external:antigravity-awesome-skills","marketing/content","marketing/content","5","True"
"azure-ai-contentsafety-ts","Analyze text and images for harmful content with customizable blocklists.","skill-manage/src/antigravity-awesome-skills/skills/azure-ai-contentsafety-ts/SKILL.md","azure;ai;contentsafety;ts","external:antigravity-awesome-skills","marketing/content","marketing/content","6","True"
"beautiful-prose","A hard-edged writing style contract for timeless, forceful English prose without modern AI tics. Use when users ask for prose or rewrites that must be clean, exact, concrete, and free of AI cadence, filler, or therapeutic tone.","skill-manage/src/antigravity-awesome-skills/skills/beautiful-prose/SKILL.md","beautiful;prose","external:antigravity-awesome-skills","marketing/content","marketing/content","100","True"
"citation-management","Manage citations systematically throughout the research and writing process.","skill-manage/src/antigravity-awesome-skills/skills/citation-management/SKILL.md","citation;management","external:antigravity-awesome-skills","marketing/content","marketing/content","5","True"
"competitor-alternatives","When the user wants to create competitor comparison or alternative pages for SEO and sales enablement. Also use when the user mentions 'alternative page,' 'vs page,' 'competitor comparison,' 'comparison page,' '[Product] vs [Product],' '[Product] alternative,' 'competitive landing pages,' 'how do we compare to X,' 'battle card,' or 'competitor teardown.' Use this for any content that positions your product against competitors. Covers four formats: singular alternative, plural alternatives, you vs competitor, and competitor vs competitor. For sales-specific competitor docs, see sales-enablement.","skill-manage/src/marketingskills/skills/competitor-alternatives/SKILL.md","competitor;alternatives","external:marketingskills","marketing/content","marketing/content","11","True"
"compress-images","Compress images for web/SEO performance using cwebp. Use when optimizing images for faster page loads, reducing file sizes, or converting JPG/PNG to WebP format.","skill-manage/src/rameerez-claude-code-startup-skills/skills/compress-images/SKILL.md","compress;images","external:rameerez-claude-code-startup-skills","marketing/content","marketing/content","7","True"
"content-creator","Professional-grade brand voice analysis, SEO optimization, and platform-specific content frameworks.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-creative-director/skills/content-creator/SKILL.md","content;creator","external:antigravity-awesome-skills","marketing/content","marketing/content","16","True"
"content-idea-generator","Generate content ideas rooted in positioning. Use when someone needs ""content ideas,"" ""what should I post,"" ""blog topics,"" ""LinkedIn ideas,"" or is stuck on what to create.","skill-manage/src/ai-marketing-skills/content-idea-generator/SKILL.md","content;idea;generator","external:ai-marketing-skills","marketing/content","marketing/content","10","True"
"content-marketer","Elite content marketing strategist specializing in AI-powered content creation, omnichannel distribution, SEO optimization, and data-driven performance marketing.","skill-manage/src/antigravity-awesome-skills/skills/content-marketer/SKILL.md","content;marketer","external:antigravity-awesome-skills","marketing/content","marketing/content","16","True"
"content-strategy","Plan a content strategy, topic clusters, editorial roadmap, and content mix for traffic, authority, and lead generation. Use when deciding what to publish, what topics to prioritize, or how to structure a content program.","skill-manage/src/antigravity-awesome-skills/skills/content-strategy/SKILL.md","content;strategy","external:antigravity-awesome-skills","marketing/content","marketing/content","10","True"
"copy-editing","When the user wants to edit, review, or improve existing marketing copy. Also use when the user mentions 'edit this copy,' 'review my copy,' 'copy feedback,' 'proofread,' 'polish this,' 'make this better,' 'copy sweep,' 'tighten this up,' 'this reads awkwardly,' 'clean up this text,' 'too wordy,' or 'sharpen the messaging.' Use this when the user already has copy and wants it improved rather than rewritten from scratch. For writing new copy, see copywriting.","skill-manage/src/marketingskills/skills/copy-editing/SKILL.md","copy;editing","external:marketingskills","marketing/content","marketing/content","13","True"
"copywriting","Write rigorous, conversion-focused marketing copy for landing pages and emails. Enforces brief confirmation and strict no-fabrication rules.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-startup-founder/skills/copywriting/SKILL.md","copywriting","external:antigravity-awesome-skills","marketing/content","marketing/content","4","True"
"cro-optimization","Analyzes landing pages and provides detailed CRO (Conversion Rate Optimization) recommendations. Use when user provides a landing page URL or HTML/CSS code and needs optimization advice to maximize conversions, signups, or sales. Extracts page elements, audits against proven CRO principles, and delivers actionable recommendations in report format.","skill-manage/src/founder-skills/skills/cro-optimization/SKILL.md","cro;optimization","external:founder-skills","marketing/content","marketing/content","100","True"
"data-storytelling","Transform raw data into compelling narratives that drive decisions and inspire action.","skill-manage/src/antigravity-awesome-skills/skills/data-storytelling/SKILL.md","data;storytelling","external:antigravity-awesome-skills","marketing/content","marketing/content","100","True"
"defuddle","Extract clean markdown content from web pages using Defuddle CLI, removing clutter and navigation to save tokens. Use instead of WebFetch when the user provides a URL to read or analyze, for online documentation, articles, blog posts, or any standard web page.","skill-manage/src/antigravity-awesome-skills/skills/defuddle/SKILL.md","defuddle","external:antigravity-awesome-skills","marketing/content","marketing/content","7","True"
"edit-article","Edit and improve articles by restructuring sections, improving clarity, and tightening prose. Use when user wants to edit, revise, or improve an article draft.","skill-manage/src/mattpocock-skills/edit-article/SKILL.md","edit;article","external:mattpocock-skills","marketing/content","marketing/content","5","True"
"form-cro","When the user wants to optimize any form that is NOT signup/registration — including lead capture forms, contact forms, demo request forms, application forms, survey forms, or checkout forms. Also use when the user mentions ""form optimization,"" ""lead form conversions,"" ""form friction,"" ""form fields,"" ""form completion rate,"" ""contact form,"" ""nobody fills out our form,"" ""form abandonment,"" ""too many fields,"" ""demo request form,"" or ""lead form isn't converting."" Use this for any non-signup form that captures information. For signup/registration forms, see signup-flow-cro. For popups containing forms, see popup-cro.","skill-manage/src/marketingskills/skills/form-cro/SKILL.md","form;cro","external:marketingskills","marketing/content","marketing/content","1","True"
"free-tool-strategy","When the user wants to plan, evaluate, or build a free tool for marketing purposes — lead generation, SEO value, or brand awareness. Also use when the user mentions ""engineering as marketing,"" ""free tool,"" ""marketing tool,"" ""calculator,"" ""generator,"" ""interactive tool,"" ""lead gen tool,"" ""build a tool for leads,"" ""free resource,"" ""ROI calculator,"" ""grader tool,"" ""audit tool,"" ""should I build a free tool,"" or ""tools for lead gen."" Use this whenever someone wants to build something useful and give it away to attract leads or earn links. For downloadable content lead magnets (ebooks, checklists, templates), see lead-magnets.","skill-manage/src/marketingskills/skills/free-tool-strategy/SKILL.md","free;tool;strategy","external:marketingskills","marketing/content","marketing/content","11","True"
"geo-fundamentals","Generative Engine Optimization for AI search engines (ChatGPT, Claude, Perplexity).","skill-manage/src/antigravity-awesome-skills/skills/geo-fundamentals/SKILL.md","geo;fundamentals","external:antigravity-awesome-skills","marketing/content","marketing/content","100","True"
"grammar-check","Identify grammar, logical, and flow errors in text and suggest targeted fixes without rewriting the entire text. Use when proofreading content, checking writing quality, or reviewing a draft.","skill-manage/src/pm-skills/pm-toolkit/skills/grammar-check/SKILL.md","grammar;check","external:pm-skills","marketing/content","marketing/content","5","True"
"latex-paper-conversion","This skill should be used when the user asks to convert an academic paper in LaTeX from one format (e.g., Springer, IPOL) to another format (e.g., MDPI, IEEE, Nature). It automates extraction, injection, fixing formatting, and compiling.","skill-manage/src/antigravity-awesome-skills/skills/latex-paper-conversion/SKILL.md","latex;paper;conversion","external:antigravity-awesome-skills","marketing/content","marketing/content","100","True"
"lead-magnets","When the user wants to create, plan, or optimize a lead magnet for email capture or lead generation. Also use when the user mentions ""lead magnet,"" ""gated content,"" ""content upgrade,"" ""downloadable,"" ""ebook,"" ""cheat sheet,"" ""checklist,"" ""template download,"" ""opt-in,"" ""freebie,"" ""PDF download,"" ""resource library,"" ""content offer,"" ""email capture content,"" ""Notion template,"" ""spreadsheet template,"" or ""what should I give away for emails."" Use this for planning what to create and how to distribute it. For interactive tools as lead magnets, see free-tool-strategy. For writing the actual content, see copywriting. For the email sequence after capture, see email-sequence.","skill-manage/src/marketingskills/skills/lead-magnets/SKILL.md","lead;magnets","external:marketingskills","marketing/content","marketing/content","10","True"
"localization","When the user wants to localize their App Store listing for international markets. Also use when the user mentions ""localization"", ""translate my app"", ""international markets"", ""expand to new countries"", ""localize metadata"", or ""which countries should I target"". For keyword research in specific markets, see keyword-research. For metadata writing, see metadata-optimization.","skill-manage/src/aso-skills/skills/localization/SKILL.md","localization","external:aso-skills","marketing/content","marketing/content","5","True"
"marketing-ideas","When the user needs marketing ideas, inspiration, or strategies for their SaaS or software product. Also use when the user asks for 'marketing ideas,' 'growth ideas,' 'how to market,' 'marketing strategies,' 'marketing tactics,' 'ways to promote,' 'ideas to grow,' 'what else can I try,' 'I don't know how to market this,' 'brainstorm marketing,' or 'what marketing should I do.' Use this as a starting point whenever someone is stuck or looking for inspiration on how to grow. For specific channel execution, see the relevant skill (paid-ads, social-content, email-sequence, etc.).","skill-manage/src/marketingskills/skills/marketing-ideas/SKILL.md","marketing;ideas","external:marketingskills","marketing/content","marketing/content","100","True"
