skill_id,description,src_path
activecampaign-automation,"Automate ActiveCampaign tasks via Rube MCP (Composio): manage contacts, tags, list subscriptions, automation enrollment, and tasks. Always search tools first for current schemas.",lib/antigravity-awesome-skills/skills/activecampaign-automation/SKILL.md
advanced-evaluation,"This skill should be used when the user asks to ""implement LLM-as-judge"", ""compare model outputs"", ""create evaluation rubrics"", ""mitigate evaluation bias"", or mentions direct scoring, pairwise comparison, position bias, evaluation pipelines, or automated quality assessment.",lib/antigravity-awesome-skills/skills/advanced-evaluation/SKILL.md
agent-evaluation,"You're a quality engineer who has seen agents that aced benchmarks fail spectacularly in production. You've learned that evaluating LLM agents is fundamentally different from testing traditional software—the same input can produce different outputs, and ""correct"" often has no single answer.",lib/antigravity-awesome-skills/plugins/antigravity-bundle-agent-architect/skills/agent-evaluation/SKILL.md
agent-manager-skill,Manage multiple local CLI agents via tmux sessions (start/stop/monitor/assign) with cron-friendly scheduling.,lib/antigravity-awesome-skills/skills/agent-manager-skill/SKILL.md
agent-memory-systems,You are a cognitive architect who understands that memory makes agents intelligent. You've built memory systems for agents handling millions of interactions. You know that the hard part isn't storing - it's retrieving the right memory at the right time.,lib/antigravity-awesome-skills/skills/agent-memory-systems/SKILL.md
agent-orchestration-improve-agent,"Systematic improvement of existing agents through performance analysis, prompt engineering, and continuous iteration.",lib/antigravity-awesome-skills/skills/agent-orchestration-improve-agent/SKILL.md
agent-orchestrator,"Meta-skill que orquestra todos os agentes do ecossistema. Scan automatico de skills, match por capacidades, coordenacao de workflows multi-skill e registry management.",lib/antigravity-awesome-skills/skills/agent-orchestrator/SKILL.md
agent-teams,Claude Code Agent Teams - default team-based development with strict TDD pipeline enforcement,lib/alinaqi-claude-bootstrap/skills/agent-teams/SKILL.md
agentfolio,"Skill for discovering and researching autonomous AI agents, tools, and ecosystems using the AgentFolio directory.",lib/antigravity-awesome-skills/skills/agentfolio/SKILL.md
agents-md,"This skill should be used when the user asks to ""create AGENTS.md"", ""update AGENTS.md"", ""maintain agent docs"", ""set up CLAUDE.md"", or needs to keep agent instructions concise. Enforces research-backed best practices for minimal, high-signal agent documentation.",lib/antigravity-awesome-skills/skills/agents-md/SKILL.md
ai-agent-development,"AI agent development workflow for building autonomous agents, multi-agent systems, and agent orchestration with CrewAI, LangGraph, and custom agents.",lib/antigravity-awesome-skills/skills/ai-agent-development/SKILL.md
ai-discoverability-audit,"Audit how a brand appears in AI-powered search (ChatGPT, Perplexity, Claude, Gemini). Use when user mentions ""AI search,"" ""how do I show up in ChatGPT,"" ""AI discoverability,"" ""AEO,"" ""LLM visibility,"" or wants to understand their brand's AI presence.",lib/ai-marketing-skills/ai-discoverability-audit/SKILL.md
ai-engineer,"Build production-ready LLM applications, advanced RAG systems, and intelligent agents. Implements vector search, multimodal AI, agent orchestration, and enterprise AI integrations.",lib/antigravity-awesome-skills/skills/ai-engineer/SKILL.md
ai-engineering-toolkit,"6 production-ready AI engineering workflows: prompt evaluation (8-dimension scoring), context budget planning, RAG pipeline design, agent security audit (65-point checklist), eval harness building, and product sense coaching.",lib/antigravity-awesome-skills/skills/ai-engineering-toolkit/SKILL.md
ai-ml,"AI and machine learning workflow covering LLM application development, RAG implementation, agent architecture, ML pipelines, and AI-powered features.",lib/antigravity-awesome-skills/skills/ai-ml/SKILL.md
analyzing-powershell-empire-artifacts,"Detect PowerShell Empire framework artifacts in Windows event logs by identifying Base64 encoded launcher patterns, default user agents, staging URL structures, stager IOCs, and known Empire module signatures in Script Block Logging events.",lib/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-powershell-empire-artifacts/SKILL.md
andrej-karpathy,"Agente que simula Andrej Karpathy — ex-Director of AI da Tesla, co-fundador da OpenAI, fundador da Eureka Labs, e o maior educador de deep learning do mundo.",lib/antigravity-awesome-skills/skills/andrej-karpathy/SKILL.md
antigravity-skill-orchestrator,"A meta-skill that understands task requirements, dynamically selects appropriate skills, tracks successful skill combinations using agent-memory-mcp, and prevents skill overuse for simple tasks.",lib/antigravity-awesome-skills/skills/antigravity-skill-orchestrator/SKILL.md
apify-actor-development,"Important: Before you begin, fill in the generatedBy property in the meta section of .actor/actor.json. Replace it with the tool and model you're currently using, such as ""Claude Code with Claude Sonnet 4.5"". This helps Apify monitor and improve AGENTS.md for specific AI tools and models.",lib/antigravity-awesome-skills/skills/apify-actor-development/SKILL.md
audio-transcriber,Transform audio recordings into professional Markdown documentation with intelligent summaries using LLM integration,lib/antigravity-awesome-skills/skills/audio-transcriber/SKILL.md
autogpt-agents,"Autonomous AI agent platform for building and deploying continuous agents. Use when creating visual workflow agents, deploying persistent autonomous agents, or building complex multi-step AI automation systems.",lib/Orchestra-Research-AI-research-SKILLs/14-agents/autogpt/SKILL.md
autonomous-agents,You are an agent architect who has learned the hard lessons of autonomous AI. You've seen the gap between impressive demos and production disasters. You know that a 95% success rate per step means only 60% by step 10.,lib/antigravity-awesome-skills/skills/autonomous-agents/SKILL.md
awq-quantization,"Activation-aware weight quantization for 4-bit LLM compression with 3x speedup and minimal accuracy loss. Use when deploying large models (7B-70B) on limited GPU memory, when you need faster inference than GPTQ with better accuracy preservation, or for instruction-tuned and multimodal models. MLSys 2024 Best Paper Award winner.",lib/Orchestra-Research-AI-research-SKILLs/10-optimization/awq/SKILL.md
aws-agentic-ai,"AWS Bedrock AgentCore comprehensive expert for deploying and managing all AgentCore services. Use when working with Gateway, Runtime, Memory, Identity, or any AgentCore component. Covers MCP target deployment, credential management, schema optimization, runtime configuration, memory management, and identity services.",lib/zxkane-aws-skills/plugins/aws-agentic-ai/skills/aws-agentic-ai/SKILL.md
azure-ai-agents-persistent-dotnet,"Azure AI Agents Persistent SDK for .NET. Low-level SDK for creating and managing AI agents with threads, messages, runs, and tools.",lib/antigravity-awesome-skills/skills/azure-ai-agents-persistent-dotnet/SKILL.md
azure-ai-projects-dotnet,"Azure AI Projects SDK for .NET. High-level client for Azure AI Foundry projects including agents, connections, datasets, deployments, evaluations, and indexes.",lib/antigravity-awesome-skills/skills/azure-ai-projects-dotnet/SKILL.md
azure-ai-projects-ts,"High-level SDK for Azure AI Foundry projects with agents, connections, deployments, and evaluations.",lib/antigravity-awesome-skills/skills/azure-ai-projects-ts/SKILL.md
azure-resource-lookup,"List, find, and show Azure resources across subscriptions or resource groups. Handles prompts like ""list websites"", ""list virtual machines"", ""list my VMs"", ""show storage accounts"", ""find container apps"", and ""what resources do I have"". USE FOR: resource inventory, find resources by tag, tag analysis, orphaned resource discovery (not for cost analysis), unattached disks, count resources by type, cross-subscription lookup, and Azure Resource Graph queries. DO NOT USE FOR: deploying/changing resources, cost optimization, or non-Azure clouds.",lib/microsoft-skills/.github/plugins/azure-skills/skills/azure-resource-lookup/SKILL.md
blueprint,Turn a one-line objective into a step-by-step construction plan any coding agent can execute cold. Each step has a self-contained context brief — a fresh agent in a new session can pick up any step without reading prior steps.,lib/antigravity-awesome-skills/skills/blueprint/SKILL.md
clarity-gate,Pre-ingestion verification for epistemic quality in RAG systems. Ensures documents are properly qualified before entering knowledge bases. Produces CGD (Clarity-Gated Documents) and validates SOT (Source of Truth) files.,lib/antigravity-awesome-skills/skills/clarity-gate/SKILL.md
claude-api,"Build apps with the Claude API or Anthropic SDK. TRIGGER when: code imports `anthropic`/`@anthropic-ai/sdk`/`claude_agent_sdk`, or user asks to use Claude API, Anthropic SDKs, or Agent SDK. DO NOT TRIGGER when: code imports `openai`/other AI SDK, general programming, or ML/data-science tasks.",lib/antigravity-awesome-skills/skills/claude-api/SKILL.md
claude-code-expert,"Especialista profundo em Claude Code - CLI da Anthropic. Maximiza produtividade com atalhos, hooks, MCPs, configuracoes avancadas, workflows, CLAUDE.md, memoria, sub-agentes, permissoes e integracao com ecossistemas.",lib/antigravity-awesome-skills/skills/claude-code-expert/SKILL.md
claude-code-guide,"To provide a comprehensive reference for configuring and using Claude Code (the agentic coding tool) to its full potential. This skill synthesizes best practices, configuration templates, and advanced usage patterns.",lib/antigravity-awesome-skills/skills/claude-code-guide/SKILL.md
code-review-ai-ai-review,"You are an expert AI-powered code review specialist combining automated static analysis, intelligent pattern recognition, and modern DevOps practices. Leverage AI tools (GitHub Copilot, Qodo, GPT-5, C",lib/antigravity-awesome-skills/skills/code-review-ai-ai-review/SKILL.md
conductor-setup,Configure a Rails project to work with Conductor (parallel coding agents),lib/Shpigford-skills/conductor-setup/SKILL.md
context-agent,"Agente de contexto para continuidade entre sessoes. Salva resumos, decisoes, tarefas pendentes e carrega briefing automatico na sessao seguinte.",lib/antigravity-awesome-skills/skills/context-agent/SKILL.md
context-compression,"When agent sessions generate millions of tokens of conversation history, compression becomes mandatory. The naive approach is aggressive compression to minimize tokens per request.",lib/antigravity-awesome-skills/skills/context-compression/SKILL.md
context-window-management,"You're a context engineering specialist who has optimized LLM applications handling millions of conversations. You've seen systems hit token limits, suffer context rot, and lose critical information mid-dialogue.",lib/antigravity-awesome-skills/plugins/antigravity-bundle-llm-application-developer/skills/context-window-management/SKILL.md
conversation-memory,"Persistent memory systems for LLM conversations including short-term, long-term, and entity-based memory Use when: conversation memory, remember, memory persistence, long-term memory, chat history.",lib/antigravity-awesome-skills/skills/conversation-memory/SKILL.md
creating-skills,"Guide for creating Claude Code skills following Anthropic's official best practices. Use when user wants to create a new skill, build a skill, write SKILL.md, update an existing skill, or needs skill creation guidelines. Provides structure, frontmatter fields, naming conventions, and new features like dynamic context injection and subagent execution.",lib/fvadicamo-dev-agent-skills/skills/creating-skills/SKILL.md
creem-heartbeat,"Periodic store monitoring routine for AI agents. Track transactions, subscriptions, and customers — notify your human when things change.",lib/creem/creem-heartbeat/SKILL.md
